Cofinancier,Country,Other Sources,Approval Year (Date of Approval ADB),Approval Year (ADB),Product Approval Number,Approval Numbers,Proj No,MFF Number,Equity Number,Country Mnemonic,Loan/Grant Title,Department,Division,Approval,OCR,ADF Loan,ADF Grant,SF ,Total,Grants,Loans,Commercial,Total CF,Type of Cofinancing,Agreement Type,Admin Arrangement,Source Classification,Source Subtype,ADB Fund Source,Sector Code,Sector,Subsector Code,Subsector,Approval Date CF,Date of Agreement Letter,Theme,Supplementary,cofinanceOfficer,Recording Date,Effectivity Date,Physical Closing Date,Financial Completion Date,statuscofinancing,Sov-NonSov,PCR Rating,Validation Rating,PPER Rating,Remarks,Publications
DFID,U.K.,,2011,2011,0281,0280/0281/0282,42094,,,AFG,Energy Sector Development Investment Program ﾖ Tranche 3,CWRD,CWEN,12/22/2011,,,,,0.00,20.00,,,20.00,DVA,PS,Full Administration,Bilateral,Grant,,3200,Energy,,Renewable Energy,,,,,,12/22/2011,03/20/2012,,,,Sovereign,,,,,
3.57,0.00,0.00,3.57,0.00,0.52,0.00,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"Australia,New Zealand,U.K.",,1976,1976,,0289,,,,SOL,Beef Cattle Development,PARD,,12/21/1976,0.00,3.57,0.00,,3.57,,,,,,,,,,ADF,3000,Agriculture and Natural Resources,,,,,Sustainable Economic Growth,,,,,,,,,,,,,
United Kingdom,U.K.,,1976,1976,,0289,,,,SOL,Beef Cattle Development,PARD,,12/21/1976,,,,,0.00,,0.52,,0.52,Non-DVA,,,Bilateral,Loan,ADF,3000,Agriculture and Natural Resources,,,,,,,,12/21/1976,,,,,Sovereign,,,,,
0.00,21.00,0.00,21.00,4.00,0.00,0.00,4.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,U.K.,,2012,2012,0306,0305/0306/0368,36172-063,,,NEP,Strengthening Public Management Program,SARD,SAPF,09/26/2012,,,21.00,,21.00,,,,,,,,,,,3600,Public Sector Management,3604,Decentralization,,,Sustainable Economic Growth,,,,,,,,,,,,with grant component 0305 and piggy-backed TA8173; GR0368 from EU cancelled Feb 2014,"DR 2012. para in SARD section on New Joint Initiatives, pp 21."
DFID,U.K.,,2012,2012,0306,0305/0306/0368,36172-063,,,NEP,Strengthening Public Management Program,SARD,SAPF,09/26/2012,,,,,0.00,4.00,,,4.00,DVA,PS,Full Administration,Bilateral,Grant,,3600,Public Sector Management,,Decentralization,,,,No,,09/26/2012,,,,Under Administration,Sovereign,,,,,"DR 2012. para in SARD section on New Joint Initiatives, pp 21."
0.00,0.00,0.00,16.20,0.00,9.10,0.00,9.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"U.K.,EIB,World Bank","EIB,World Bank",1978,1978,,0345,,,,FIJ,Second Power,PARD,PARD,06/29/1978,16.20,0.00,0.00,,16.20,,,,,,,,,,OCR,3200,Energy,,,,,Sustainable Economic Growth,,,,,,,,,,,,,
CDC,U.K.,,1978,1978,,0345,,,,FIJ,Second Power,PARD,PARD,06/29/1978,,,,,0.00,,9.10,,9.10,Non-DVA,,,Bilateral,Loan,OCR,3200,Energy,,,,,,,,06/29/1978,,,,,Sovereign,,,,,
0.00,0.00,0.00,16.00,0.00,12.11,0.00,12.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"U.K.,EIB",EIB,1981,1981,,0536,,,,FIJ,Third Power,PARD,,11/10/1981,16.00,0.00,0.00,,16.00,,,,,,,,,,OCR,3200,Energy,,,,,Sustainable Economic Growth,,,,,,,,,,,,,
CDC,U.K.,,1981,1981,,0536,,,,FIJ,Third Power,PARD,,11/10/1981,,,,,0.00,,12.11,,12.11,Non-DVA,,,Bilateral,Loan,OCR,3200,Energy,,,,,,,,11/10/1981,,,,,Sovereign,,,,,
16.10,0.00,0.00,16.10,0.19,0.00,0.00,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"Sweden,U.K.,UNDP",UNDP,1982,1982,,0585,,,,SRI,Technical Education,SARD,,09/30/1982,0.00,16.10,0.00,,16.10,,,,,,,,,,ADF,3100,Education,,"Technical education, vocational training, and skills development",,,Inclusive Social and Gender Development,,,,,,,,,,,,,
DFID,U.K.,,1982,1982,,0585,,,,SRI,Technical Education,SARD,,09/30/1982,,,,,0.00,0.19,,,0.19,Non-DVA,,,Bilateral,Grant,ADF,3100,Education,,,,,,,,09/30/1982,,,,,Sovereign,,,,,
120.00,0.00,0.00,120.00,0.00,22.20,0.00,22.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,U.K.,,1984,1984,,0683,,,,BAN,Sixth Power (Sector Loan),SARD,,06/14/1984,0.00,120.00,0.00,,120.00,,,,,,,,,,ADF,3200,Energy,,,,,Sustainable Economic Growth,,,,,,,,,,,,,
DFID,U.K.,,1984,1984,,0683,,,,BAN,Sixth Power (Sector Loan),SARD,,06/14/1984,,,,,0.00,,22.20,,22.20,Non-DVA,,,Bilateral,Loan,ADF,3200,Energy,,,,,,,,06/14/1984,,,,,Sovereign,,,,,
122.00,0.00,0.00,122.00,0.00,35.70,0.00,35.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"Canada,U.K.,Switzerland,Saudi Arabia,IsDB,OFID,World Bank","IsDB,OFID,World Bank",1984,1984,,0700,17055,,,PAK,Left Bank Outfall Drain (Stage I),CWRD,SAAE,10/25/1984,0.00,122.00,0.00,,122.00,,,,,,,,,,ADF,3000,Agriculture and Natural Resources,,,,,Sustainable Economic Growth,,,,,,,,,S,,,,
DFID,U.K.,,1984,1984,,0700,17055,,,PAK,Left Bank Outfall Drain (Stage I),CWRD,SAAE,10/25/1984,,,,,0.00,,35.70,,35.70,Non-DVA,,,Bilateral,Loan,ADF,3000,Agriculture and Natural Resources,,,,,,,,10/25/1984,,,,,Sovereign,S,,,,
45.00,0.00,0.00,45.00,0.00,5.50,0.00,5.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"Netherlands,Norway,U.K.,World Bank",World Bank,1984,1984,,0712,,,,SRI,Plantation Sector,SARD,SAAE,12/04/1984,0.00,45.00,0.00,,45.00,,,,,,,,,,ADF,3000,Agriculture and Natural Resources,,,,,Sustainable Economic Growth,,,,,,,,,,,,,
DFID,U.K.,,1984,1984,,0712,,,,SRI,Plantation Sector,SARD,SAAE,12/04/1984,,,,,0.00,,5.50,,5.50,Non-DVA,,,Bilateral,Loan,ADF,3000,Agriculture and Natural Resources,,,,,,,,12/04/1984,,,,,Sovereign,,,,,
30.40,0.00,0.00,30.40,0.00,3.70,0.00,3.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,U.K.,,1987,1987,,0850,,,,PAK,Third Health,CWRD,,10/29/1987,0.00,30.40,0.00,,30.40,,,,,,,,,,ADF,3400,Health and Social Protection,,,,,Inclusive Social and Gender Development,,,,,,,,,,,,,
DFID,U.K.,,1987,1987,,0850,,,,PAK,Third Health,CWRD,,10/29/1987,,,,,0.00,,3.70,,3.70,Non-DVA,,,Bilateral,Loan,ADF,3400,Health and Social Protection,,,,,,,,10/29/1987,,,,,Sovereign,,,,,
0.00,0.00,0.00,2.50,0.00,2.50,0.00,2.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,U.K.,,1987,1987,,0858,,,,BAN,"Padma Textile Mills, Ltd.",SARD,,11/10/1987,2.50,0.00,0.00,,2.50,,,,,,,,,,OCR,3500,Industry and Trade,,,,,Private Sector Development,,,,,,,,,,,,,
United Kingdom,U.K.,,1987,1987,,0858,,,,BAN,"Padma Textile Mills, Ltd.",SARD,,11/10/1987,,,,,0.00,,2.50,,2.50,Non-DVA,,,Bilateral,Loan,OCR,3500,Industry and Trade,,,,,,,,11/10/1987,,,,,Sovereign,,,,,
0.00,0.00,0.00,4.00,0.00,3.20,0.00,3.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,U.K.,,1988,1988,,0893,,,,IND,"Andhra Petrochemicals, Ltd.",SARD,,06/30/1988,4.00,0.00,0.00,,4.00,,,,,,,,,,OCR,3500,Industry and Trade,,,,,Private Sector Development,,,,,,,,,,,,,
CDC,U.K.,,1988,1988,,0893,,,,IND,"Andhra Petrochemicals, Ltd.",SARD,,11/01/1988,,,,,0.00,,3.20,,3.20,Non-DVA,,,Bilateral,Loan,OCR,3500,Industry and Trade,,,,,,,,11/01/1988,,,,,Sovereign,,,,,
0.00,0.00,0.00,100.00,0.00,12.20,0.00,12.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"Japan,U.K.",,1988,1988,,0925,17003,,,PAK,KESC Fifth Power (Sector),CWRD,,11/24/1988,100.00,0.00,0.00,,100.00,,,,,,,,,,OCR,3200,Energy,,,,,Sustainable Economic Growth,,,,,,,,,PS,,,,
DFID,U.K.,,1988,1988,,0925,17003,,,PAK,KESC Fifth Power (Sector),CWRD,,11/01/1988,,,,,0.00,,12.20,,12.20,Non-DVA,,,Bilateral,Loan,OCR,3200,Energy,,,,,,,,11/01/1988,,,,,Sovereign,PS,,,,
165.00,0.00,0.00,165.00,0.00,98.00,0.00,98.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,U.K.,,1989,1989,,0963,,,,BAN,Eighth Power,SARD,SAID,07/11/1989,0.00,165.00,0.00,,165.00,,,,,,,,,,ADF,3200,Energy,,,,,Sustainable Economic Growth,,,,,,,,,,,,,
DFID,U.K.,,1989,1989,,0963,,,,BAN,Eighth Power,SARD,SAID,07/11/1989,,,,,0.00,,98.00,,98.00,Non-DVA,,,Bilateral,Loan,ADF,3200,Energy,,,,,,,,07/11/1989,,,,,Sovereign,,,,PCR Jan03.,
85.00,0.00,0.00,85.00,0.00,2.40,0.00,2.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,U.K.,,1989,1989,,1001,,,,PAK,Karachi Sewerage,CWRD,SAAE,12/14/1989,0.00,85.00,0.00,,85.00,,,,,,,,,,ADF,3800,Water and Other Municipal Infrastructure and Services,,,,,,,,,,,,,,,,,,
DFID,U.K.,,1989,1989,,1001,,,,PAK,Karachi Sewerage,CWRD,SAAE,12/14/1989,,,,,0.00,,2.40,,2.40,Non-DVA,,,Bilateral,Loan,ADF,3800,Water and Other Municipal Infrastructure and Services,,,,,,,,12/14/1989,,,,,Sovereign,,,,ODA/CDC to DFID.  From $53.4 to $2.4 ref PCR - Adj Dec07,
0.00,0.00,0.00,30.00,0.00,15.00,0.00,15.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,U.K.,,1989,1989,,1003,,,,PAK,"Fauji Fertilizer Co., Ltd.",PSOD,PSOD,12/19/1989,30.00,0.00,0.00,,30.00,,,,,,,,,,OCR,3500,Industry and Trade,,,,,,,,,,,,,,,,,,
CDC,U.K.,,1989,1989,,1003,,,,PAK,"Fauji Fertilizer Co., Ltd.",PSOD,PSOD,12/19/1989,,,,,0.00,,15.00,,15.00,Non-DVA,,,Bilateral,Loan,OCR,3500,Industry and Trade,,,,,,,,12/19/1989,,,,,Non-Sovereign,,,,,
0.00,0.00,0.00,4.80,0.00,4.70,0.00,4.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"Germany,U.K.",,1991,1991,,1085,,,,PHI,Shemberg Biotech Corporation,SERD,,06/06/1991,4.80,0.00,0.00,,4.80,,,,,,,,,,OCR,3500,Industry and Trade,,,,,Private Sector Development,,,,,,,,,,,,,
CDC,U.K.,,1991,1991,,1085,,,,PHI,Shemberg Biotech Corporation,SERD,,06/06/1991,,,,,0.00,,4.70,,4.70,Non-DVA,,,Bilateral,Loan,OCR,3500,Industry and Trade,,,,,,,,06/06/1991,,,,,Sovereign,,,,,
16.71,0.00,0.00,16.71,0.00,15.80,0.00,15.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,U.K.,,1991,1991,,1101,,,,PAK,Kotri Barrage Rehabilitation,CWRD,,09/26/1991,0.00,16.71,0.00,,16.71,,,,,,,,,,ADF,3000,Agriculture and Natural Resources,,,,,,,,,,,,,,,,,,
DFID,U.K.,,1991,1991,,1101,,,,PAK,Kotri Barrage Rehabilitation,CWRD,,09/26/1991,,,,,0.00,,15.80,,15.80,Non-DVA,,,Bilateral,Loan,ADF,3000,Agriculture and Natural Resources,,,,,,,,09/26/1991,,,,,Sovereign,,,,Adj Dec05: Loan amt $18 - 16.71; ODA  $15.7 to $15.804 ($15.80)ref PCR.,
0.00,0.00,0.00,32.00,0.00,32.00,0.00,32.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"U.K.,World Bank",World Bank,1991,1991,,1142,,,,IND,CESC Limited II,SARD,,12/13/1991,32.00,0.00,0.00,,32.00,,,,,,,,,,OCR,3200,Energy,,,,,Sustainable Economic Growth,,,,,,,,,,,,,
CDC,U.K.,,1991,1991,,1142,,,,IND,CESC Limited II,SARD,,12/13/1991,,,,,0.00,,32.00,,32.00,Non-DVA,,,Bilateral,Loan,OCR,3200,Energy,,,,,,,,12/13/1991,,,,,Sovereign,,,,,
0.00,0.00,0.00,250.00,0.00,88.73,0.00,88.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"U.K.,U.S.A.,World Bank",World Bank,1992,1992,,1161,,,,IND,Power Efficiency (Sector),SARD,,03/26/1992,250.00,0.00,0.00,,250.00,,,,,,,,,,OCR,3200,Energy,,,,,Sustainable Economic Growth,,,,,,,,,,,,,
DFID,U.K.,,1992,1992,,1161,,,,IND,Power Efficiency (Sector),SARD,,03/26/1992,,,,,0.00,,88.73,,88.73,Non-DVA,,,Bilateral,Loan,OCR,3200,Energy,,,,,,,,03/26/1992,,,,,Sovereign,,,,,
10.20,0.00,0.00,10.20,6.30,0.00,0.00,6.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,U.K.,,1992,1992,,1196,,,,NEP,Secondary Education Development,SARD,NRM,11/24/1992,0.00,10.20,0.00,,10.20,,,,,,,,,,ADF,3100,Education,,Basic education,,,Inclusive Social and Gender Development,,,,,,,,,,,,,
DFID,U.K.,,1992,1992,,1196,,,,NEP,Secondary Education Development,SARD,NRM,11/24/1992,,,,,0.00,6.30,,,6.30,Non-DVA,,,Bilateral,Grant,ADF,3100,Education,,,,,,,,11/24/1992,,,,,Sovereign,,,,"ODA was changed to DFID. Cf amt from $6.4 to $6.3 ref PCR IN301-01, 24Dec01; from loan to grant. (14Jan03)",
0.00,0.00,0.00,17.00,0.00,20.00,0.00,20.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,U.K.,,1993,1993,,1227,,,,INO,P.T. Wiraswasta Gemilang Indonesia,SERD,,04/22/1993,17.00,0.00,0.00,,17.00,,,,,,,,,,OCR,3500,Industry and Trade,,,,,Private Sector Development,,,,,,,,,,,,,
CDC,U.K.,,1993,1993,,1227,,,,INO,P.T. Wiraswasta Gemilang Indonesia,SERD,,04/22/1993,,,,,0.00,,20.00,,20.00,Non-DVA,,,Bilateral,Loan,OCR,3500,Industry and Trade,,,,,,,,04/22/1993,,,,,Sovereign,,,,,
0.00,0.00,0.00,40.00,0.00,35.00,0.00,35.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"U.K.,World Bank",World Bank,1993,1993,,1230,,,,PHI,Hopewell Power (Philippines) Corp.,PSOD,PSOD,05/18/1993,40.00,0.00,0.00,,40.00,,,,,,,,,,OCR,3200,Energy,,,,,Sustainable Economic Growth,,,,,,,,,,,,,
CDC,U.K.,,1993,1993,,1230,,,,PHI,Hopewell Power (Philippines) Corp.,PSOD,PSOD,05/18/1993,,,,,0.00,,35.00,,35.00,Non-DVA,,,Bilateral,Loan,OCR,3200,Energy,,,,,,,,05/18/1993,,,,,Non-Sovereign,,,,,
0.00,0.00,0.00,4.60,0.00,6.80,0.00,6.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,U.K.,,1993,1993,,1252,,,,PHI,Bukidnon Resources Co. Inc.,SERD,,09/21/1993,4.60,0.00,0.00,,4.60,,,,,,,,,,OCR,3500,Industry and Trade,,,,,,,,,,,,,,,,,,
CDC,U.K.,,1993,1993,,1252,,,,PHI,Bukidnon Resources Co. Inc.,SERD,,09/21/1993,,,,,0.00,,6.80,,6.80,Non-DVA,,,Bilateral,Loan,OCR,3500,Industry and Trade,,,,,,,,09/21/1993,,,,,Sovereign,,,,,
0.00,0.00,0.00,19.00,0.00,18.00,0.00,18.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"U.K.,Korea",,1993,1993,,1255,,,,PAK,Fauji Oil Terminal & Distribution Co.Ltd.,PSOD,,09/30/1993,19.00,0.00,0.00,,19.00,,,,,,,,,,OCR,3700,Transport and ICT,,,,,Sustainable Economic Growth,,,,,,,,,,,,,
CDC,U.K.,,1993,1993,,1255,,,,PAK,Fauji Oil Terminal & Distribution Co.Ltd.,PSOD,,09/30/1993,,,,,0.00,,18.00,,18.00,Non-DVA,,,Bilateral,Loan,OCR,3700,Transport and ICT,,,,,,,,09/30/1993,,,,,Non-Sovereign,,,,,
0.00,0.00,0.00,15.00,0.00,10.00,0.00,10.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,U.K.,,1993,1993,,1263,,,,PHI,"Primofina Oleochemicals, Inc",PSOD,,11/09/1993,15.00,0.00,0.00,,15.00,,,,,,,,,,OCR,3500,Industry and Trade,,,,,Private Sector Development,,,,,,,,,,,,,
CDC,U.K.,,1993,1993,,1263,,,,PHI,"Primofina Oleochemicals, Inc",PSOD,,11/09/1993,,,,,0.00,,10.00,,10.00,Non-DVA,,,Bilateral,Loan,OCR,3500,Industry and Trade,,,,,,,,11/09/1993,,,,,Non-Sovereign,,,,,
0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DFID,U.K.,,1996,1996,,1473,,,,PHI,Sixth Road,SERD,,09/30/1996,,,,,0.00,0.20,,,0.20,Non-DVA,,,Bilateral,Grant,OCR,3700,Transport and ICT,,,,,,,,09/30/1996,,,,,Sovereign,Succesful,,,,
0.00,0.00,0.00,167.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"Japan,U.K.,Kuwait,OFID",OFID,1996,1996,,1473/8170,23233,,,PHI,Sixth Road,SERD,,09/30/1996,167.00,0.00,0.00,,167.00,,,,,,,,,,OCR,3700,Transport and ICT,,,,,Sustainable Economic Growth,,,,,,,,,Succesful,,,from 148.58 to 167 partial cancellation of 18.42 on 26 Feb 2007,
200.00,0.00,0.00,200.00,0.00,30.00,0.00,30.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"Netherlands,U.K.,EC,World Bank","EC,World Bank",1996,1996,,1493,,,,PAK,Social Action Program (Sector) Project II,CWRD,,11/28/1996,0.00,200.00,0.00,,200.00,,,,,,,,,,ADF,3900,Multisector,3900,Multisector,,,,,,,,,,,,,,,,
DFID,U.K.,,1996,1996,,1493,,,,PAK,Social Action Program (Sector) Project II,CWRD,,11/28/1996,,,,,0.00,,30.00,,30.00,Non-DVA,,,Bilateral,Loan,ADF,3900,Multisector,3900,,,,,,,11/28/1996,,,,,Sovereign,,,,PCR Dec2004.,
0.00,0.00,0.00,40.00,0.00,30.50,0.00,30.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"U.K.,EIB,World Bank","EIB,World Bank",1997,1997,,1597,,,,BAN,Lafarge Surma Cement Ltd,PSOD,,12/18/1997,40.00,0.00,0.00,,40.00,,,,,,,,,,OCR,3500,Industry and Trade,,,,,Private Sector Development,,,,,,,,,,,,,
CDC,U.K.,,1997,1997,,1597,,,,BAN,Lafarge Surma Cement Ltd,PSOD,,12/18/1997,,,,,0.00,,30.50,,30.50,Non-DVA,,,Bilateral,Loan,OCR,3500,Industry and Trade,,,,,,,,12/18/1997,,,,,Non-Sovereign,,,,,
0.00,0.00,0.00,16.70,0.00,31.60,0.00,31.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"U.K.,Norway,World Bank",World Bank,1998,1998,,1603,,,,BAN,Grameenphone Telecommunications,PSOD,PSOD,01/20/1998,16.70,0.00,0.00,,16.70,,,,,,,,,,OCR,3700,Transport and ICT,,,,,Sustainable Economic Growth,,,,,,,,,,,,,
CDC,U.K.,,1998,1998,,1603,,,,BAN,Grameenphone Telecommunications,PSOD,PSOD,01/20/1998,,,,,0.00,,31.60,,31.60,Non-DVA,,,Bilateral,Loan,OCR,3700,Transport and ICT,,,,,,,,01/20/1998,,,,,Non-Sovereign,,,,Loan - $30M & Equity - $1.6M.,
0.00,0.00,0.00,35.00,0.00,35.00,0.00,35.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"U.K.,World Bank", World Bank,1999,1999,,1689,,,,SRI,South Asia Gateway Terminals (Private) Limited for the Colombo Port Development,PSOD,PSOD,05/11/1999,35.00,0.00,0.00,,35.00,,,,,,,,,,OCR,3700,Transport and ICT,,,,,Sustainable Economic Growth,,,,,,,,,,,,,
CDC,U.K.,,1999,1999,,1689,,,,SRI,South Asia Gateway Terminals (Private) Limited for the Colombo Port Development,PSOD,PSOD,05/11/1999,,,,,0.00,,35.00,,35.00,Non-DVA,,,Bilateral,Loan,OCR,3700,Transport and ICT,,,,,,,,05/11/1999,,,,,Non-Sovereign,,,,,
0.00,0.00,0.00,250.00,30.00,0.00,0.00,30.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,U.K.,,2000,2000,,1813,29466-01,,,IND,Calcutta Environmental Improvement,SARD,SASS,12/19/2000,250.00,0.00,0.00,,250.00,,,,,,,,,,OCR,3900,Multisector,3900,Multisector,,,Environment Sustainability,,,,,,,,,,,,,
DFID,U.K.,,2000,2000,,1813,29466-01,,,IND,Calcutta Environmental Improvement,SARD,SASS,12/19/2000,,,,,0.00,30.00,,,30.00,Non-DVA,,,Bilateral,Grant,OCR,3900,Multisector,3900,,,,,,,12/19/2000,,,,,Sovereign,,,,,
46.00,0.00,0.00,46.00,9.60,0.00,0.00,9.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,U.K.,,2001,2001,,1876/3785(L),29472,,,NEP,Road Network Development,SARD,NRM,12/13/2001,0.00,46.00,0.00,,46.00,,,,,,,,,,ADF,3700,Transport and ICT,,,,,Sustainable Economic Growth,,,,,,,,,Succesful,,,,"DR 2012. line on big Development Partnership Results, pp1; para in SARD section on Partnership Results, pp 19."
DFID,U.K.,,2001,2001,3785(L),1876/3785(L),29472,,,NEP,Road Network Development,SARD,NRM,12/13/2001,,,,,0.00,9.60,,,9.60,DVA,PS,Full Administration,Bilateral,Grant,ADF,3700,Transport and ICT,,,,,,,,12/07/2001,03/11/2003,,01/11/2010,,Sovereign,Succesful,,,Adj Dec06. DFID amt from $9.6 to $8.4 ref BTOR Midterm RM 7Jul06. #3785(L). returned to $9.6 to reflect original approval,"DR 2012. line on big Development Partnership Results, pp1; para in SARD section on Partnership Results, pp 19."
65.00,0.00,0.00,65.00,12.00,0.00,0.00,12.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,U.K.,,2002,2002,3899,1881/3899(L),31309,,,BAN,Post-Literacy and Continuing Education,SARD,SASS,07/12/2002,0.00,65.00,0.00,,65.00,,,,,,,,,,ADF,3100,Education,,,,,Inclusive Social and Gender Development,,,,,,,,,,,,"Anchor loan was approved in 2001 while cofinancing was approved the following year, per MF and LTAA",
DFID,U.K.,,2002,2002,3899(L),1881/3899(L),31309,,,BAN,Post-Literacy and Continuing Education,SARD,SASS,07/12/2002,,,,,0.00,12.00,,,12.00,DVA,PS,Full Administration,Bilateral,Grant,ADF,3100,Education,,,,,,,,07/12/2002,06/28/2002,,,,Sovereign,,,,"Untied, ADB administered. Anchor loan was approved on 13-Dec-01. Adj Dec04 from 2002 was transferred to 2001 DFID app 12Jul02.",
43.09,0.00,0.00,43.09,16.45,0.00,0.00,16.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,U.K.,,2001,2001,,1883/3800(L),33301,,,VIE,Central Region Livelihood Improvement,SERD,SEAE,12/17/2001,0.00,43.09,0.00,,43.09,,,,,,,,,,ADF,3000,Agriculture and Natural Resources,,,,,,,,,,,,,,Succesful,,,,
DFID,U.K.,,2001,2001,3800(L),1883/3800(L),33301,,,VIE,Central Region Livelihood Improvement,SERD,SEAE,12/17/2001,,,,,0.00,16.45,,,16.45,DVA,PS,Full Administration,Bilateral,Grant,ADF,3000,Agriculture and Natural Resources,,,,,,,,12/17/2001,09/15/2002,,04/28/2010,,Sovereign,Succesful,,,"Adj Dec04  $16.40 to $16.45. ADB admin grant.  Ref 16Apr08 VRM email, cf amt $13.033. Ref PPR $3.4 was cancelled, Adj Dec08 from $16.45 to $13.033 (ref amendment to MOU 2May07). Adj 7Jun'14 to reflect approval of $16.45",
20.00,0.00,0.00,20.00,22.20,0.00,0.00,22.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"U.K.,World Bank",World Bank,2002,2002,,1940/3994(L),32430,,,CAM,Health Sector Support,SERD,SESS,11/21/2002,0.00,20.00,0.00,,20.00,,,,,,,,,,ADF,3400,Health and Social Protection,,,,,Inclusive Social and Gender Development,,,,,,,,,Succesful,,,,
DFID,U.K.,,2002,2002,3994(L),1940/3994(L),32430,,,CAM,Health Sector Support,SERD,SESS,11/21/2002,,,,,0.00,10.36,,,10.36,DVA,,Full Administration,Bilateral,Grant,ADF,3400,Health and Social Protection,,,,,,,,11/21/2002,,,,,Sovereign,Successful,,,,
DFID,U.K.,,2002,2002,,1940/3994(L),32430,,,CAM,Health Sector Support,SERD,SESS,11/21/2002,,,,,0.00,11.84,,,11.84,Non-DVA,,,Bilateral,Grant,ADF,3400,Health and Social Protection,,,,,,,,11/21/2002,02/28/2003,,10/22/2009,,Sovereign,Successful,,,,
0.00,0.00,0.00,0.00,1.80,0.00,0.00,1.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,U.K.,,2008,2008,,1940/3994(L),32430,,,CAM,Health Sector Support (Supplementary),SERD,SESS,03/31/2008,0.00,0.00,0.00,,0.00,,,,,,,,,,ADF,3400,Health and Social Protection,,,,,,,,,,,,,,Successful,,,,
