proj_no,project_title,approval_number,Type,status
N/A-N/A,IMPL OF ACTION PROG TO REH BAN SHILPA BANK & BAN SHILPA RIN SANGSTHA,0933,TA,FIN COMPL
N/A-N/A,OIL & GAS DEVELOPMENT PROJECT(BANK/UNDP),0934,TA,FIN COMPL
N/A-N/A,FRUIT & VEGETABLE MARKETING PROJECT (UNDP FINANCED),0935,TA,FIN COMPL
N/A-N/A,INSTITUTIONAL DEVELOPMENT OF HNPGC (UNDP FINANCED),0938,TA,FIN COMPL
N/A-N/A,FIFTH AGRICULTURAL CREDIT PROJECT,0971,TA,FIN COMPL
N/A-N/A,MASTER PLAN FOR FORESTRY DEVELOPMENT,0983,TA,FIN COMPL
N/A-N/A,MASTER PLAN FOR FORESTRY DEVELOPMENT(JSF/FINNIDA),0993,TA,FIN COMPL
N/A-N/A,INDUSTRY ENERGY CONSERVATION PROGRAM,1021,TA,FIN COMPL
N/A-N/A,TA FOR WOMEN IN DEVELOPMENT (WID) PROFILES IN HIGHLAND LVSTC DEVT.,1030,TA,FIN COMPL
N/A-N/A,INSTITUTIONAL BUILDING OF RDFC (UNDP FINANCED),1034,TA,CANCELLED
N/A-N/A,PILOT ASSISTANCE PROGRAM FOR MICRO INDUSTRIES,1035,TA,CANCELLED
N/A-N/A,INSTITUTIONALL-BUILDING FOR PROVINCIAL SMALL INDUSTRIES CORPORATION,1036,TA,FIN COMPL
N/A-N/A,PROMOTION OF SUBCONTRACTING BETWEEN SSIS & LARGE-SCALE INDUSTRIES,1037,TA,CANCELLED
N/A-N/A,PREPARATION OF A ROAD MASTER PLAN (UNDP),1053,TA,FIN COMPL
N/A-N/A,MANILA METROPOLITAN REGIONAL ENVIRONMENTAL IMPROVEMENT STUDY,1057,TA,FIN COMPL
N/A-N/A,LAND RESOURCE PLANNING,1065,TA,FIN COMPL
N/A-N/A,INSTL SUPPORT TO DEPT OF IRRIGATION (UNDP-FINANCED),1071,TA,FIN COMPL
N/A-N/A,"REGULATION, REGISTRATION & USE OF PESTICIDES (UNDP-FINANCED)",1073,TA,FIN COMPL
N/A-N/A,BICOL RIVER BASIN FLOOD CONTROL AND IRRIGATION DEVT. (BANK/JSF/UNDP),1087,TA,FIN COMPL
N/A-N/A,MICROENTERPRISE SECTOR,1092,TA,FIN COMPL
N/A-N/A,INSTITUTIONAL STRENGTHENING OF NGO'S (SWISS),1093,TA,FIN COMPL
N/A-N/A,PALAWAN INTEGRATED AREA DEVELOPMENT-PHASE II (CO-FINANCED WITH UNDP),1097,TA,FIN COMPL
N/A-N/A,RURAL DEVELOPMENT STRATEGY FOR SIND ARID ZONE(CO-FIN W/ UNDP & SWISS),1099,TA,FIN COMPL
N/A-N/A,IMPLEMENTATN OF THE MASTR PLAN FOR THE FORSTRY SECTR (CO-FIN FINNIDA),1120,TA,FIN COMPL
N/A-N/A,AGRICULTURAL RESEARCH (UNDP-FINANCED),1134,TA,FIN COMPL
N/A-N/A,UPAZILA AFFORESTATION & NURSERY DEV.(UNDP-FINANCED),1142,TA,FIN COMPL
N/A-N/A,AGRICULTURAL TECHNOLOGY SCHOOLS (JSF & NORWAY),1147,TA,FIN COMPL
N/A-N/A,FORESTRY SECTOR MASTER PLAN (BANK/JSF/UNDP),1170,TA,FIN COMPL
N/A-N/A,SECOND ROAD IMPROVEMENT (FIN BY SWISS GOV'T),1177,TA,FIN COMPL
N/A-N/A,FERTILIZER SECTOR MANAGEMENT STUDY(UNDP FINANCED),1186,TA,FIN COMPL
N/A-N/A,"PROG BUDGETING,PROJ MONITORING & MGT INFO SYS(PHASE 3)(CO-FIN W/UNDP)",1196,TA,FIN COMPL
N/A-N/A,MARINE OUTFALL STUDY,1245,TA,FIN COMPL
N/A-N/A,HORTICULTURE DEVELOPMENT PROJECT (UNDP-FINANCED),1256,TA,FIN COMPL
N/A-N/A,SECOND FORESTRY DEVELOPMENT(INSTITUTIONAL SUPPORT)-(CO-FINCD W/ UNDP),1262,TA,FIN COMPL
N/A-N/A,PREPARATION OF AN EDUCATION PROJECT (FRENCH TA FUND-FINANCED),1289,TA,FIN COMPL
N/A-N/A,A VOLUNTEER PROGRAM FOR NATURAL RESOURCE & ENVIRONMENT CONSERVATION,1292,TA,FIN COMPL
N/A-N/A,NAM NGUM-LUANG PRABANG POWER TRANSMISSION PROJECT-(PART C) (SWISS),1301,TA,FIN COMPL
N/A-N/A,DHAKA INTEGRATED FLOOD PROTECTION (ADB/FIN),1318,TA,FIN COMPL
N/A-N/A,VADODARA-BOMBAY EXPRESSWAY PROJECT,1325,TA,FIN COMPL
N/A-N/A,SOUTHERN PROVINCE DEVELOPMENT(JSF/NORWAY),1337,TA,FIN COMPL
N/A-N/A,URBAN WATER SUPPLY AND SANITATION,1349,TA,FIN COMPL
N/A-N/A,FORESTRY MASTER PLAN (UNDP & JSF-FINANCED),1355,TA,FIN COMPL
N/A-N/A,BARANI FARMING SYSTEM TRAINING AND RESEARCH (UNDP-FINANCED),1357,TA,FIN COMPL
N/A-N/A,TEACHER TRAINING PROJECT (FINANCED BY JSF & GOV'T. OF NORWAY),1386,TA,FIN COMPL
N/A-N/A,LOAN/TA GRANT-STRENGTHENING OF SCI TERM LENDING CAPABILITIES OF PCB'S,1445,TA,CANCELLED
N/A-N/A,GANGES-KOBADAK IRRIGATION REHABILITATION (PHASE II) - UNDP-FINANCED,1454,TA,FIN COMPL
N/A-N/A,LOAN AND TA GRANT - STUDY ON FOODCROP POLICIES (TASF),1467,TA,FIN COMPL
N/A-N/A,SOCIAL PREPARATORY AND TRAINING OF BENEFICIARIES PROJ STAFF (NORWAY),1470,TA,FIN COMPL
N/A-N/A,THIRD ON-FARM WATER MANAGEMENT PROJECT (FINANCED BY SWISS GOV'T.),1477,TA,FIN COMPL
N/A-N/A,SOUTHWEST AREA WATER RESOURCES MANAGEMENT STUDY (UNDP/JSF-FINANCED),1498,TA,FIN COMPL
N/A-N/A,SMALL-SCALE TA FOR AGRICULTURAL PRICING POLICY,1507,TA,FIN COMPL
N/A-N/A,XESET HYDROPOWER (SUPPLEMENTARY),1511,TA,FIN COMPL
N/A-N/A,MANILA NORTH-EAST WATER SUPPLY (FINANCED BY GOV'T. OF FRANCE),1513,TA,FIN COMPL
N/A-N/A,T. A. FOR THE ADVISER TO MONGOLIAN STOCK EXCHANGE,1536,TA,FIN COMPL
N/A-N/A,LOAN AND TA GRANT - POWER SYSTEM PLANNING (JSF-FINANCED),1544,TA,FIN COMPL
N/A-N/A,EAST JAVA RAINFED AGRICULTURE PROJECT (DUTCH GRANT),1554,TA,FIN COMPL
N/A-N/A,CURRICULUM DEVELOPMENT FOR TEACHER EDUCATION (NORWAY),1570,TA,FIN COMPL
N/A-N/A,ENERGY CONSERVATION STUDY(FRANCE),1574,TA,FIN COMPL
N/A-N/A,SECOND WATER SUPPLY SECTOR,1584,TA,FIN COMPL
N/A-N/A,REHABILITATION & UPGRADING OF WATER SUPPLY SYSTEMS,1603,TA,FIN COMPL
N/A-N/A,HIGHER SECONDARY EDUCATION,1608,TA,CANCELLED
N/A-N/A,ENV'L. SAFETY & EFFICIENCY IMPROVEMENTS OF SSGC'S OPS.(FRANCE),1619,TA,FIN COMPL
N/A-N/A,ENERGY-CUM-ELECTRICITY DEMAND & SUPPLY ANALYSIS,1628,TA,FIN COMPL
N/A-N/A,"LOAN/TA GRANT - ENVIRONMENTAL PROTECTION STUDY OF PHEWA LAKE, POKHARA",1663,TA,FIN COMPL
N/A-N/A,SECOND TECHNICAL EDUCATION,1672,TA,FIN COMPL
N/A-N/A,STRENGTHENING MACROECONOMIC MANAGEMENT,1694,TA,FIN COMPL
N/A-N/A,ASSESSMENT OF THE ROLE AND IMPACT OF NGOS,1695,TA,FIN COMPL
N/A-N/A,INSTITUTIONAL SUPPORT TO WATER SUPPLY ENTERPRISES(FRANCE),1713,TA,FIN COMPL
N/A-N/A,SMALL-SCALE TA - ASSESSMENT OF NATIONAL RENEWAL FUND(NETHERLANDS),1722,TA,FIN COMPL
N/A-N/A,POWER SECTOR INSTITUTIONAL AND FINANCIAL DEVELOPMENT(NORWAY),1729,TA,FIN COMPL
N/A-N/A,SMALL-SCALE TA FOR INSTITUTION BLDG FOR ENERGY CONSERVATION,1730,TA,FIN COMPL
N/A-N/A,"KALI GANDAKI ""A"" HYDROELECTRIC(UNDP/FINNIDA)",1737,TA,FIN COMPL
N/A-N/A,STRENGTHENING AND RESTRUCTURING IRRIGATION DEVELOPMENT(BANK/NETHERLAND,1764,TA,FIN COMPL
N/A-N/A,INSTITUTIONAL STRENGTHENING FOR BIODIVERSITY CONSERVATION(NORWAY),1782,TA,FIN COMPL
N/A-N/A,FEASIBI'TY STUDY OF CONST. OF COPRA & COCOA STORAGE FACILITIES,1783,TA,FIN COMPL
N/A-N/A,INS'L. STRNG. OF BANGLADESH RURAL DEV'T. BOARD(NORWAY),1807,TA,FIN COMPL
N/A-N/A,INSTITUTIONAL STRENGTHENING OF COOPERATIVES(JSF/NORWAY),1810,TA,FIN COMPL
N/A-N/A,TREE AND PALM PLANTATION PROJ IN CYCLONE-PRONE AREAS,1816,TA,FIN COMPL
N/A-N/A,POWER SECTOR DEVELOPMENT(NORWAY),1827,TA,FIN COMPL
N/A-N/A,PREPARATION OF HEALTH & POPULATION PROJECT(NORWAY),1833,TA,FIN COMPL
N/A-N/A,PRIMARY EDUCATION DEVELOPMENT(NORWAY),1838,TA,FIN COMPL
N/A-N/A,SSTA FOR DRAFTING IMPLEMENTATION ORDERS FOR THE ENERGY CONSERVATION P,1858,TA,FIN COMPL
N/A-N/A,TRANSPORT REHABILITATION STUDY(UNDP/SWEDEN),1866,TA,FIN COMPL
N/A-N/A,INSTITUTIONAL STRENGHTENING OF ADBN(UNDP),1871,TA,FIN COMPL
N/A-N/A,SPECIAL REHABILITATION ASSISTANCE   (SWEDEN),1878,TA,FIN COMPL
N/A-N/A,EMERGENCY TRAINING OF TEACHERS(SWEDEN),1889,TA,FIN COMPL
N/A-N/A,LOAN & TA GRANT - MANAGEMENT STRENGTHENING OF THE NWSDB(NORWAY),1900,TA,FIN COMPL
N/A-N/A,INSTITUTIONAL SUPPORT TO NGO'S (NORWAY),1904,TA,FIN COMPL
N/A-N/A,URBAN TRANSPORT PLANNING(FRANCE),1958,TA,FIN COMPL
N/A-N/A,PREPARATION OF POWER SYSTEM MASTERPLAN,1962,TA,FIN COMPL
N/A-N/A,NONFORMAL EDUCATION PROJECT (NORWAY),2036,TA,FIN COMPL
N/A-N/A,STRENGTHENING ECONOMIC AND FINANCIAL MANAGEMENT (CO-FINANCED BY UNDP),2047,TA,FIN COMPL
N/A-N/A,AGRICULTURE SECTOR STRATEGY STUDY(AUSTRALIA),2139,TA,FIN COMPL
N/A-N/A,ECONOMIC MANAGEMENT STUDY(AUSTRALIA),2172,TA,FIN COMPL
N/A-N/A,LOAN RELATED-ENERGY EFFICIENCY SUPPORT (NETHERLANDS),2193,TA,FIN COMPL
N/A-N/A,BEIJING URBAN TRANSPORT(FRANCE),2212,TA,FIN COMPL
N/A-N/A,BASIC HEALTH SERVICES(DANIDA),2223,TA,FIN COMPL
N/A-N/A,STRENGT'NG THE INSTITUT'L & LEGAL FRAMEWORK FOR THE ENER & MIN SECTOR,2241,TA,FIN COMPL
N/A-N/A,IMPACT ASSESSMENT OF POLICY & INSTITUTIONAL REFORM MEASURES(NETHERLAND,2289,TA,FIN COMPL
N/A-N/A,NONGKAI-UDONTHANI WATER SUPPLY AND SANITATION PROJECT(FRANCE),2292,TA,FIN COMPL
N/A-N/A,POLICY ADVISORY TEAM FOR ECONOMIC MANAGEMENT(BANK/JSF/US),2294,TA,FIN COMPL
N/A-N/A,POLICY ADVISORY TEAM FOR ECONOMIC MANAGEMENT(BANK/JSF/US),2295,TA,FIN COMPL
N/A-N/A,STRENGTHENING SOCIAL FORESTRY IN THE COASTAL REGION(NORWAY),2304,TA,FIN COMPL
N/A-N/A,MARINE EXPORT DEVELOPMENT (AUSTRALIA),2360,TA,FIN COMPL
N/A-N/A,COMMUNITY ENVIRON'L HEALTH IMPROVEMENTS FOR THE PROV TOWNS (DANIDA),2376,TA,FIN COMPL
N/A-N/A,AGRICULTURE SECTOR STUDY (AUSAID),2387,TA,FIN COMPL
N/A-N/A,SECONDARY TOWNS INTEGRATED URBAN DEVELOPMENT,2396,TA,FIN COMPL
N/A-N/A,ENERGY & ENV'L. MGNT. OF THE IND'L. DEV'T. BANK OF INDIA,2403,TA,FIN COMPL
N/A-N/A,STRENGTHENING THE DEPT OF ETHNIC MINORITY EDUCATION (NORWAY),2455,TA,FIN COMPL
N/A-N/A,PILOT ENVIRONMENTAL PLANS FOR SELECTED MEDIUM SIZE CITIES (DENMARK),2456,TA,FIN COMPL
N/A-N/A,PREPARATION OF A NATIONAL TRANSPORT STRATEGY (FRANCE),2487,TA,FIN COMPL
N/A-N/A,CAPACITY BUILDING AT THE MINISTRY OF PLANNING & INVESTMENT (TASF/NETH),2489,TA,FIN COMPL
N/A-N/A,EMPLOYMENT PROMOTION FOR WOMEN PROJECT (JSF/NETHERLAND),2503,TA,FIN COMPL
N/A-N/A,CAPACITY BLDG IN HUMAN SETTLEMENTS INFRA MGMT (JSF AND DENMARK),2517,TA,FIN COMPL
N/A-N/A,POWER EFFICIENCY PROJECT (FRANCE AND BANK),2525,TA,CANCELLED
N/A-N/A,COASTAL COMMUNITY DEVT AND FISHERIES RESOURCES CONSERV'N (DENMARK),2529,TA,FIN COMPL
N/A-N/A,INSTITUTIONAL DEVELOPMENT OF THE DIRECTORATE OF NONFORMAL EDUCATION,2534,TA,FIN COMPL
N/A-N/A,LOAN RELATED: FORESTRY SECTOR PROJECT  (NETHERLANDS),2563,TA,FIN COMPL
N/A-N/A,LOAN RELATED: BENEFICIARY PARTICIPATION AND PROJECT MANAGEMENT (NETH),2564,TA,FIN COMPL
N/A-N/A,NATURAL GAS IMPORT STUDY  (FRANCE),2594,TA,FIN COMPL
N/A-N/A,RED RIVER WATERWAYS PROJECT (JSF/DENMARK),2615,TA,FIN COMPL
N/A-N/A,NATIONAL REFORM PROGRAM,2617,TA,FIN COMPL
N/A-N/A,POWER REHABILITATION II  (FRANCE),2629,TA,FIN COMPL
N/A-N/A,LOAN/TA GRANTS:RESTRUCTNG/CONSOLIDATION OF STATE-OWNED COML BANKS(FRA),2642,TA,FIN COMPL
N/A-N/A,INST'L STRENGTHNG AND EXPANDING EIA CAPACITY (DENMARK/TASF),2723,TA,FIN COMPL
N/A-N/A,NAM NGUM WATERSHED MANAGEMENT (JSF/DENMARK),2734,TA,FIN COMPL
N/A-N/A,CAP. BLDG. OF WASTEWATER TREATMENT OPER.IN ANHUI PROV.(DANIDA-FINANCED,2751,TA,FIN COMPL
N/A-N/A,FUZHOU WATER SUPPLY AND WASTEWATER TREATMENT(DANIDA- FINANCED),2770,TA,FIN COMPL
N/A-N/A,MINDANAO BASIC EDUCATION DEVELOPMENT (JSF/BELGIUM),2794,TA,FIN COMPL
N/A-N/A,REPRODUCTIVE HEALTH CARE (FRANCE),2839,TA,FIN COMPL
N/A-N/A,THIRD LIVESTOCK DEVELOPMENT (AUSTRALIA),2851,TA,FIN COMPL
N/A-N/A,FORESTRY SECTOR(NETHERLANDS),2852,TA,FIN COMPL
N/A-N/A,RED RIVER BASIN WATER RESOURCES MGT. (JSF),2871,TA,FIN COMPL
N/A-N/A,AERIAL PHOTOGRAPHY AND MAPPING OF TARAWA (AUSTRALIA),2885,TA,FIN COMPL
N/A-N/A,PRIMARY SCHOOL PERFORMANCE MONITORING,2921,TA,FIN COMPL
N/A-N/A,CHINA NAT'L AUTOMATED PAYMENTS SYSTEM (COFINANCED BY GOV'T OF FRANCE),2938,TA,FIN COMPL
N/A-N/A,PREPARATION OF A DEVELOPMENT STRATEGY FOR THE CENTRAL REGION OFVIETNAM,2959,TA,FIN COMPL
N/A-N/A,COCONUT SECTOR DEVELOPMENT STUDY,2994,TA,FIN COMPL
N/A-N/A,EDUCATION SECTOR DEVELOPMENT PLAN(CO-FINANCED BY THE GOV'T OF BELGIUM),3014,TA,FIN COMPL
N/A-N/A,"ECONOMIC POLICY REFORM AND MANAGEMENT (TASF, JSF, US)",3024,TA,FIN COMPL
N/A-N/A,STRENGTHENING RISK MANAGEMENT OF THE AGRICULTURAL BANK OF CHINA,3026,TA,FIN COMPL
32102-012,MONITORING AND EVALUATING THE SOCIAL PROTECTION SECTOR DEVT PROG (JSF),3041,TA,FIN COMPL
N/A-N/A,LOWER SECONDARY EDUCATION DEVELOPMENT (FINANCED BY GOVT OF BELGIUM),3091,TA,FIN COMPL
N/A-N/A,PROVL LEGISLATION ON ENVL PROTECTION & NATURAL RESOURCES CONSERVATION,3123,TA,FIN COMPL
32099-012,LOAN & TA GRANT-CAPACITY BUILDING FOR FINANCIAL & ECONOMIC MANAGEMENT,3125,TA,FIN COMPL
N/A-N/A,WATER SUPPLY AND SANITATION SECTOR (FINANCED BY GOVT OF DENMARK),3137,TA,FIN COMPL
N/A-N/A,SUNDARBANS BIODIVERSITY CONSERVATION (FINANCED BY GEF),3158,TA,FIN COMPL
31381-022,PROTECTED AREA MANAGEMENT AND WILDLIFE CONSERVATION,3273,TA,FIN COMPL
N/A-N/A,MARINE BIODIVERSITY CONSERVATION,3277,TA,FIN COMPL
33145-012,THE GOVERNANCE AND PUBLIC SECTOR REFORM PROGRAM,3280,TA,FIN COMPL
N/A-N/A,CAPACITY BUILDING FOR TEACHER TRAINING PROJECT,3322,TA,FIN COMPL
28315-012,3RD PROVINCIAL TOWNS WATER SUPPLY AND SANITATION (COFIN GOV OF FRANCE),3323,TA,FIN COMPL
N/A-N/A,CAPACITY BLDG FOR URBAN DEV ADMIN AUTHORITIES (FNCED BY GOV OF NORWAY),3331,TA,FIN COMPL
N/A-N/A,STRENGTHENING MICROFINANCE INSTITUTIONS FOR URBAN & ENVIRON INFRA FIN.,3344,TA,FIN COMPL
N/A-N/A,STRENGTHENING ENVIRONMENTAL MANAGEMENT (GOVT OF FIN),3350,TA,FIN COMPL
N/A-N/A,CAP BLDNG IN PUBLIC DEBT MNGMT OFFICE OF THE MIN OF FIN (SWISS GOVT),3363,TA,FIN COMPL
N/A-N/A,YUNNAN COMPREHENSIVE AGRI DEV'T & BIODIVERSITY CONSERVATION (JSF/GEF),3372,TA,FIN COMPL
33437-012,"SONGHUA RIVER FLOOD, WETLAND, AND BIODIVERSITY MANAGEMENT (JSF/GEF)",3376,TA,FIN COMPL
N/A-N/A,LOAN & TA PRIMARY ROADS RESTORATION (AUSTRALIA),3398,TA,FIN COMPL
33159-012,SKILLS DEVELOPMENT,3437,TA,FIN COMPL
34007-012,DECENTRALIZED HEALTH SERVICES PROJECT,3448,TA,FIN COMPL
31137-012,PREPARATION OF THE DECENTRALIZED BASIC EDUCATION PROJECT,3456,TA,FIN COMPL
N/A-N/A,LOAN & TA GRANT - COASTAL RESOURCE MANAGEMENT (NETHERLANDS),3477,TA,FIN COMPL
33193-012,ENVIRONMENTAL MONITORING & MANAGEMENT CAPACITY BUILDING II (FINLAND),3499,TA,FIN COMPL
N/A-N/A,L/TA - MICROFINANCE AND EMPLOYMENT (AUSAID),3520,GRNT,FIN COMPL
31364-012,CAP BLDG FOR WATER RESOURCES MANAGEMENT (JSF AND NETHERLANDS),3528,TA,FIN COMPL
34050-012,2NDARY EDUCATION SECTOR MASTER PLAN (COFINANCED BY GOVT OF BELGIUM),3560,TA,FIN COMPL
34142-012,LOANS & GRANT-SUPPORT FOR HEALTH SECTOR POLICY REFORMS,3579,TA,FIN COMPL
34465-012,MAE MOH ENVIRONMENT EVALUATION(FINANCED BY GOVT OF SWITZERLAND,3583,TA,FIN COMPL
33183-012,CAPACITY BUILDING FOR ENVIRONMENTAL ASSESSMENT & MONITORING(FINLAND),3614,TA,FIN COMPL
32184-022,REHAB OF THE MARITIME NAVIGATION AIDS SYSTEM (GOVT OF AUSTRALIA),3619,TA,FIN COMPL
34059-012,FISCAL DECENTRALIZATION,3621,TA,FIN COMPL
34472-012,WUHAN WASTEWATER TREATMENT PROJECT (FRANCE),3638,TA,FIN COMPL
33401-012,URBAN POVERTY REDUCTION (ACCSF),3646,TA,FIN COMPL
34366-012,INSTITUTIONAL SUPPORT TO THE OFFICE OF THE GOVERNMENT (NEW ZEALAND),3652,TA,FIN COMPL
34075-012,IMPROVING POVERTY MONITORING SURVEYS (NEW ZEALAND),3656,TA,FIN COMPL
34474-012,PRC-GEF PARTNERSHIP ON LAND DEGRADATION IN DRYLAND ECOSYSTEM,3657,TA,FIN COMPL
35072-012,HEALTH POLICY SUPPORT,3660,TA,FIN COMPL
35114-012,ENERGY SECTOR STUDY (COFIN GOVT OF FINLAND),3674,TA,CANCELLED
33276-012,INTEGRATED COASTAL RESOURCE MANAGEMENT (JSF),3692,TA,FIN COMPL
35045-012,MADHYA PRADESH INTEGRATED WATER RESOURCES MANAGEMENT STUDY (UK),3715,TA,FIN COMPL
35115-012,IMPACT ON POVERTY REDUCTION OF FINANCIAL SECTOR POLICIES & REFORMS UKG,3739,TA,FIN COMPL
32254-012,INTEGRATED URBAN DEVELOPMENT IN MADHYA PRADESH (GOVT OF UK),3759,TA,FIN COMPL
34343-012,ROAD MAP FOR POWER SECTOR REFORM (GOVT OF FRANCE),3763,TA,FIN COMPL
35439-012,CAPACITY BUILDING FOR BANKING AND FINANCIAL MANAGEMENT (FRANCE),3769,TA,FIN COMPL
35041-012,SUPP FOR IMPRVMNTS IN THE ACCTG SYSTM OF THE CALCUTTA MUN CORP (UK),3770,TA,FIN COMPL
33301-022,CAP BLDG FOR CENTRAL REGION POVERTY REDUCTION (UK AND JSF),3772,TA,FIN COMPL
33469-012,NINGXIA ROADS DEVELOPMENT (ITALY AND JSF),3776,TA,FIN COMPL
35015-012,COMPRHNSVE MEDTERM STRTGY FOR IMPRVNG THE LIVING STD OF UZB (OCR/CFPR),3781,TA,FIN COMPL
33402-012,REFORM OF WATER ENTERPRISES (FRANCE),3782,TA,FIN COMPL
33316-012,"ECONOMIC POLICY REFORM AND CAPACITY BLDG, PHASE I (US AND OCR)",3783,TA,FIN COMPL
34272-012,CONSERVATION AND LIVELIHOOD IMPROVEMENT IN THE INDIAN SUNDARBANS (UK),3784,TA,FIN COMPL
N/A-N/A,L/GRANT: ROAD NETWORK DEVELOPMENT (DFID),3785,TA,FIN COMPL
N/A-N/A,L/GRNT: CENTRAL REGION LIVELIHOOD IMPROVEMENT (DFID),3800,TA,FIN COMPL
35130-012,RURAL MICROFINANCE (GOVT OF FRANCE),3810,TA,FIN COMPL
34341-012,FORESTS FOR LIVELIHOOD IMPROVEMENT IN THE CENTRAL HIGHLANDS (JSF/NETH),3818,TA,FIN COMPL
32023-013,L/TA: SUPPRTNG & MNTRNG PROGRESS UNDER THE ACCESS TO JUSTICE PROGRAM,3823,TA,FIN COMPL
34342-012,ASSESSMENT AND STRENGTHENING OF COASTAL MANAGEMENT INSTITUTIONS,3830,TA,FIN COMPL
35356-012,GENDER REFORM PROGRAM (TASF/NETH),3832,TA,FIN COMPL
35429-012,OPPORTUNITIES FOR THE CLEAN DEVT MECH IN THE ENERGY SECTOR (CANADA),3840,TA,FIN COMPL
36004-012,MADHYA PRADESH STATE ROAD DEVELOPMENT (UK),3845,TA,FIN COMPL
35006-012,RESTRUCTURING THE POWER SECTOR - PHASE II,3857,TA,FIN COMPL
36051-012,PARTICIPATIVE AND PRO-POOR FISCAL AND ADMIN REFORMS IN KERALA (DFID),3869,TA,FIN COMPL
36048-012,STRENGTHENING STATE GOVT EFFECTIVENESS & ACCOUNTBLTY IN KERALA (DFID),3870,TA,FIN COMPL
36139-012,CAPACITY BUILDING FOR RECONSTRUCTION AND DEVELOPMENT (TA CLUSTER),3874,TA,FIN COMPL
36180-012,DISASTER PREPAREDNESS AND MANAGEMENT CAPACITY BUILDING,3875,TA,FIN COMPL
36042-012,INTEGRATING POVERTY REDUCTION IN PROGRAMS AND PROJECTS (DFID),3880,TA,FIN COMPL
35343-022,IMPLEMENTATION OF THE PUBLIC ADMINISTRATION REFORM PROGRAM,3886,TA,FIN COMPL
N/A-N/A,L/G: SECOND RED RIVER BASIN SECTOR PROJECT,3892,TA,FIN COMPL
35143-012,SHELTER SECTOR PROJECT (GOVT OF UK AND NORTH IRELAND),3895,TA,FIN COMPL
35258-012,NORTH EASTERN REGION URBAN SECTOR PROFILE (DFID),3902,TA,FIN COMPL
33459-012,XI'AN URBAN TRANSPORT (SPAIN/ITALY),3907,TA,FIN COMPL
30500-012,AMU ZHANG WATER RESOURCES MANAGEMENT (ITALY),3908,TA,FIN COMPL
34047-032,PARTICIPATORY POVERTY ASSESSMENT AT THE STATE LEVEL II (UK),3911,TA,FIN COMPL
36320-042,ECONOMIC STUDIES FOR THE RURAL ROADS SECTOR DEVELOPMENT (DFID),3914,TA,FIN COMPL
36320-022,ENGINEERING STUDIES FOR THE RURAL ROADS SECTOR DEVELOPMENT (DFID),3915,TA,FIN COMPL
36320-072,ENVIRONMENTAL ANALYSIS FOR THE RURAL ROADS SECTOR DEVELOPMENT (DFID),3916,TA,FIN COMPL
36320-012,INSTTTNL & POLICY DEVT STUDIES FOR THE RURAL ROADS SECTOR DEVT (DFID),3917,TA,FIN COMPL
36320-062,SOCIAL ANALYSIS FOR THE RURAL ROADS SECTOR DEVELOPMENT (DFID),3918,TA,FIN COMPL
34080-012,PROMOTION OF CLEANER PRODUCTION,3921,TA,FIN COMPL
35338-012,HUNAN ROADS DEVELOPMENT (ITALY),3929,TA,FIN COMPL
35276-012,SUSTAINABLE EMPLOYMENT PROMOTION FOR POOR WOMEN (UKNI),3947,TA,FIN COMPL
36627-012,ENGAGEMENT OF A POVERTY CONSULTANT AT THE CAMBODIA RESIDENT MISSION,3955,TA,FIN COMPL
34147-012,INTGRTION OF POVERTY CONSIDERATIONS IN DECENTRALIZED EDUC MANAGEMENT,3957,TA,FIN COMPL
36255-012,RENEWABLE ENERGY DEVELOPMENT IN SMALL TOWNS AND RURAL AREAS (DENMARK),3965,TA,FIN COMPL
36201-012,LOCAL GOVT PROVISION OF MINIMUM BASIC SERVICES FOR THE POOR (UK),3967,TA,FIN COMPL
34247-012,STRENGTHENING ACCOUNTABILITY MECHANISMS II (GOV COOP FUND),3976,TA,FIN COMPL
33182-012,STRENGTHENING CORPORATE AND FINANCIAL GOVERNANCE REFORMS (SPAIN),3987,TA,FIN COMPL
36005-012,CHHATTISGARH STATE ROADS SECTOR DEVELOPMENT (UK),3995,TA,FIN COMPL
36176-012,CHONG KNEAS ENVIRONMENTAL IMPROVEMENT (FINLAND),3997,TA,FIN COMPL
30292-022,CENTRAL REGION WATER RESOURCES SECTOR (JSF & NETHERLANDS),4001,TA,FIN COMPL
33359-013,L/TA: STRENGTHENING CORPORATE GOVERNANCE FOR BANKING SECTOR REFORM,4002,TA,FIN COMPL
N/A-N/A,L/TA: COMMUNE COUNCIL DEVELOPMENT (SIDA),4007,TA,FIN COMPL
N/A-N/A,L/TA:COMMUNE COUNCIL DEVELOPMENT PROJECT (NETHERLANDS),4008,TA,FIN COMPL
36625-012,SOCIAL PROTECTION IN THE LAO PDR: ISSUES AND OPTIONS (PVRTY REDN FD),4009,TA,FIN COMPL
34263-013,L/TA: INSTITUTIONAL STRNGTHNNG & CAP BLDG MADHYA PRADESH STATE RD SECT,4013,TA,FIN COMPL
35340-012,FUZHOU ENVIRONMENTAL IMPROVEMENT (SPAIN),4014,TA,FIN COMPL
36057-012,ENHANCING CAPACITY FOR RESOURCE MANAGEMENT AND POVERTY REDN IN PUNJAB,4015,TA,FIN COMPL
36679-012,REACHING THE RURAL POOR WITH PRIMARY HEALTH CARE (WB),4016,TA,FIN COMPL
