,,Approval Year (Date of Approval ADB),Approval Year (ADB),Product Approval Number,Approval Numbers,Proj No,MFF Number,Equity Number,Country Mnemonic,Loan/Grant Title,Department,Division,Approval,OCR,ADF Loan,ADF Grant,SF ,Total,Grants,Loans,Commercial,Cofinance Amount/ Total CF,Approved Cofin Amt,Type of Cofinancing,Agreement Type,Admin Arrangement,Source Classification,Source Subtype,ADB Fund Source,Sector Code,Sector,Subsector Code,Subsector,Approval Date CF,Date of Agreement Letter,Theme,Supplementary,cofinanceOfficer,Recording Date,Effectivity Date,Physical Closing Date,Financial Completion Date,statuscofinancing,Sov-NonSov,Proc Arrangement,PCR Rating,Validation Rating,PPER Rating,Remarks,Publications
,Germany,2008,2008,,2476,,,,IND,Rural Electrification of India,SARD,SAGF,11/27/2008,225,0,0,,225,,80,,80,,Non-DVA,,,Bilateral,Loan,OCR,3200,Energy,,,,,,,,11/27/2008,,,,,Non-Sovereign,,,,,From collaborative to non DVA (24Mar10),
,Germany,2010,2010,2696 (CG),2696,40515,,,BAN,Sustainable Rural Infrastructure Improvement,SARD,SANS,11/11/2010,0,60,0,,60,15.9,,,15.9,15.9,DVA,Others,Collaborative,Bilateral,Grant,ADF,3000,Agriculture and Natural Resources,,,,,,,,11/11/2010,05/10/2011,,,,Sovereign,,,,,KfW ero 13m grant cf parallel basis.  Collaborative grant cf.,
,Germany,2010,2010,,2620,,,,ARM,Zvartnots Airport Expansion Project (Phase 2),PSOD,PSIF,03/26/2010,40,0,0,,40,,20,,20,,Non-DVA,,,Bilateral,Loan,OCR,3700,Transport and ICT,,,,,,,,03/26/2010,,,,,Non-Sovereign,,,,,Borrower - Armenia International Airport.,
,Germany,2010,2010,,2632/0202/0203,,,,PRC,Integrated Renewable Biomass Energy Development Sector,EARD,,04/16/2010,66.08,0,0,,66.08,4.6,,,4.6,,Non-DVA,,,Bilateral,Grant,OCR,3900,Multisector,3900,,,,,,,04/16/2010,,,,,Sovereign,,,,,,
,Germany,2010,2010,,2731,39500,,,VIE,Ho Chi Minh City Urban Mass Rapid Transit Line 2 Investment Program - Tranche 1,SERD,,12/22/2010,40,0,0,,40,,36.4,,36.4,36.4,DVA,PS,Collaborative,Bilateral,Loan,OCR,3700,Transport and ICT,,,,,,,,12/22/2010,12/20/2011,,,,Sovereign,,,,,"KfW parallel cofinancing, not administered by ADB",
,Germany,2011,2011,2695 (CG),2695/0323,39298-013,,,BAN,City Region Development,SARD,SAUW,10/31/2011,,120,,,120,14.86,,,14.86,,DVA,,Collaborative,Bilateral,Grant,,3800,Water and Other Municipal Infrastructure and Services,,,,,,,,10/31/2011,09/23/2011,,,,Sovereign,,,,,"Project approved in 10Nov2010, Cofinancing in 2011",
,Germany,2012,2012,2913 (CG),2913/0310/8258,45084-002,,,BAN,Coastal Climate-Resilient Infrastructure,SARD,SAER,09/28/2012,,20,,,20,8.8,,,8.8,,DVA,PS,Collaborative,Bilateral,Grant,,3700,Transport and ICT,,,,,,,,09/28/2012,,,,Approved,Sovereign,Parallel,,,,,"DR 2012. para in SARD section on New Joint Initiatives, pp 21."
,Germany,2012,2012,2914 (CL),2914,41627-053,MFF0023,,IND,Himachal Pradesh Clean Energy Development Investment Program - Tranche 4,SARD,SAEN,10/02/2012,315,,,,315,,200,,200,,DVA,PS,Collaborative,Bilateral,Loan,,3200,Energy,,Large Hydropower,,,,No,,10/02/2012,,,,Approved,Sovereign,Parallel,,,,,"DR 2012. para in SARD section on New Joint Initiatives, pp 21."
,Germany,2012,2012,,2956,39500-033,52,,VIE,Ho Chi Minh City Urban Mass Rapid Transit Line 2 Investment Program - Tranche 2,SERD,SETC,11/27/2012,500,,,,500,,276.6,,276.6,,DVA,PS,Collaborative,Bilateral,Loan,,3700,Transport and ICT,,Urban Transport,,,,Yes,,11/27/2012,,,,,Sovereign,,,,,,"DR 2012. para in SERD section on New Initiatives, pp 25."
,Germany,2014,2014,3164 (CL),3164,48134-001,,,INO,Stepping Up Investments for Growth Acceleration Program ﾖ Subprogram 1,SERD,SEPF,09/25/2014,400,,,,400,,200,,200,,DVA,FW,Collaborative,Bilateral,Loan,,3600,Public Sector Management,,Public Expenditure and Fiscal Management,,,,No,,09/25/2014,,,,,Sovereign,Parallel,,,,,
,Germany,2015,2015,,3303/8293,49043-001,,,INO,Sustainable and Inclusive Energy Program (Subprogram 1),SERD,SEEN,09/30/2015,400,,,,400,,200,,200,200,DVA,FW,Collaborative,Bilateral,Loan,,3200,Energy,,,,,,No,,09/30/2015,,,,Approved,Sovereign,Parallel,,,,,
,Germany,No Approval Date,2003,,2063,32499,,,PHI,Development of Poor Urban Communities Sector,SERD,SESS,,0,0,0,0,0,0.4,,,0.4,,Non-DVA,,,Bilateral,Grant,,3900,Multisector,3900,,,,,,,,,,,,Sovereign,,,,,,
,"Germany,Germany",2014,2014,3119 (CG),3119/3120,42251-018,,,SRI,Skills Sector Enhancement Program,SARD,SAHS,03/28/2014,50,50,,,100,15.4,,,15.4,,Non-DVA,PS,,Bilateral,Grant,,3100,Education,,Technical Education and Vocational Skills Training,,,,No,,03/28/2014,,,,,Sovereign,Parallel,,,,"Per Nikki email to Michelle  13 January 2015, GIZ cof of $15.40 million was reclassified to non DVA since the project is without MOU under GIZ. GER requested removal and not counted in GER cof fact sheet.  SPD removed this also from their numbers (26 Apr 2016 phone conversation between M Tumilba and G Sevilla)",
,"Germany,KfW",2015,2015,3356,3356,49232-001,,,PRC,Beijing-Tianjin-Hebei Air Quality Improvement-Hebei Policy Reforms Program,EARD,EASS,12/10/2015,300,,,,300,,166.65,,166.65,166.65,DVA,FW,Collaborative,Bilateral,Loan,,3200,Energy,,,,,,No,,12/10/2015,,,,Approved,Sovereign,Parallel,,,,,
,"Germany,KfW",2015,2015,3374,3374,42039-036,,,VIE,Power Transmission Investment Program-Tranche 3,SERD,SEEN,12/18/2015,231.31,,,,231.31,,71,,71,71,DVA,FW,Collaborative,Bilateral,Loan,,3200,Energy,,,,,,No,,12/18/2015,,,,Approved,Sovereign,Parallel,,,,,
,"Germany,KfW",2015,2015,,3083/8276,42362-013,,,INO,Java-Bali 500-Kilovolt Power Transmission CrossingﾗAdditional Cofinancing,SERD,SEEN,10/28/2015,,,,,0,,57,,57,,DVA,FW,Collaborative,Bilateral,Loan,,3200,Energy,,Electricity Transmission and Distribution,,,,Yes,,10/28/2015,,,,,Sovereign,Parallel,,,,,
,"Germany,KfW",2015,2015,,3365,44426-016,,,IND,Green Energy Corridor and Grid Strengthening,SARD,SAEN,12/09/2015,500,,,,500,,625,,625,625,DVA,FW,Collaborative,Bilateral,Loan,,3200,Energy,3211,Electricity Transmission and Distribution,,,,No,,12/09/2015,,,,Approved,Sovereign,Parallel,,,,,
GPE,GPE,,,,,,,,,,,,,0,120,0,0,120,100,0,0,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GPE,2015,2015,,3256,42122-013,,,BAN,Third Primary Education DevelopmentﾗAdditional Financing,SARD,SAHS,05/20/2015,,120,,,120,100,,,100,,DVA,PS,Collaborative,Multilateral,Grant,,3100,Education,,Pre-Primary and Primary,,,,No,,05/20/2015,,,,,Sovereign,Parallel,,,,,
HFPF-RMTF,HFPF-RMTF,,,,,,,,,,,,,0,27,22,0,27,9.5,0,0,9.5,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HFPF-RMTF,2015,2015,448,2699/0231/0448,41505-013,,,CAM,Second Greater Mekong Subregion Regional Communicable Diseases ControlﾗAdditional Financing,SERD,SEHS,10/26/2015,,27,10,,27,4,,,4,4,DVA,CFA/TF,Full Administration,Multi-Donor Trust Fund,Grant,,3400,Health,,,07/23/2015,,,Yes,,10/26/2015,,,,,Sovereign,Joint,,,,,
,HFPF-RMTF,2015,2015,449,2699/0232/0449,41507-013,,,LAO,Second Greater Mekong Subregion Regional Communicable Diseases ControlﾗAdditional Financing,SERD,SEHS,10/26/2015,,,12,,0,3,,,3,3,DVA,CFA/TF,Full Administration,Multi-Donor Trust Fund,Grant,,3400,Health,,,07/23/2015,,,Yes,,10/26/2015,,,,Approved,Sovereign,Joint,,,,,
,HFPF-RMTF,2015,2015,450,2699/0450,41508-014,,,VIE,Second Greater Mekong Subregion Regional Communicable Diseases ControlﾗAdditional Financing,SERD,SEHS,10/26/2015,,,,,0,2.5,,,2.5,2.5,DVA,CFA/TF,Full Administration,Multi-Donor Trust Fund,Grant,,3400,Health,,,07/15/2015,,,Yes,,10/26/2015,,,,Approved,Sovereign,Joint,,,,,
HIV/AIDS Cooperation Fund,HIV/AIDS Cooperation Fund,,,,,,,,,,,,,60,40,0,0,100,0.75,0,0,0.75,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HIV/AIDS Cooperation Fund,2007,2007,102,2398-2399/0102,40037,,,PNG,Lae Port Development,PARD,PAHQ,12/18/2007,60,40,0,,100,0.75,,,0.75,,DVA,,Full Administration,Multi-Donor Trust Fund,Grant,OCR,3700,Transport and ICT,,,,,,,,12/18/2007,10/30/2008,,,,Sovereign,,,,,,
IFAD,IFAD,,,,,,,,,,,,,366.06,805.59,48,1.4,1173.05,27.69,477.83,0,505.52,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IFAD,1977,1977,,0324/0612,15048,,,SRI,Kirindi Oya Irrigation and Settlement,SARD,,12/09/1977,0,24,0,,24,,12,,12,,DVA,,,Multilateral,Loan,ADF,3000,Agriculture and Natural Resources,,,,,,,,12/09/1977,04/28/1978,,01/29/1987,,Sovereign,,PS,,,From multisector to Agriculture,
,IFAD,1978,1978,,378,11040,,,BAN,Pabna Irrigation and Rural Development,SARD,SAAE,12/12/1978,0,38,0,,38,,30,,30,,DVA,PS,Full Administration,Multilateral,Loan,ADF,3000,Agriculture and Natural Resources,,,,,,,,12/12/1978,05/08/1979,,09/27/1993,,Sovereign,,,,,From multisector to agriculture,
,IFAD,1978,1978,,387,,,,NEP,Integrated Rural Development,SARD,SAAE,12/20/1978,0,14,0,,14,,13,,13,,DVA,,,Multilateral,Loan,ADF,3000,Agriculture and Natural Resources,,,,,,,,12/20/1978,07/05/1979,,07/13/1989,,Sovereign,,,,,From multisector to Agriculture,
,IFAD,1979,1979,,396,,,,BAN,Ashuganj Fertilizer (Supplementary),SARD,BRM,04/26/1979,0,25,0,,25,,8,,8,,DVA,PS,Full Administration,Multilateral,Loan,ADF,3500,Industry and Trade,,,,,,,,04/26/1979,09/14/1979,,02/02/1983,,Sovereign,,,,,,
,IFAD,1979,1979,,418,,,,LAO,Casier Sud Pioneer Agricultural,SERD,SEAE,10/29/1979,0,7,0,,7,,6.1,,6.1,,DVA,PS,,Multilateral,Loan,ADF,3000,Agriculture and Natural Resources,,,,,,,,10/29/1979,02/15/1980,,03/25/1982,,Sovereign,,,,,From multisector to Agriculture,
,IFAD,1979,1979,,428,12035,,,PAK,South Rohri Fresh Groundwater Irrigation,CWRD,SAAE,11/27/1979,0,47,0,,47,,16,,16,,DVA,,,Multilateral,Loan,ADF,3000,Agriculture and Natural Resources,,,,,,,,11/27/1979,03/28/1980,,01/22/1992,,Sovereign,,,,,,
,IFAD,1980,1980,,496,13045,,,SRI,Anuradhapura Dry Zone Agriculture,SARD,SAAE,12/15/1980,0,15,0,,15,,14.5,,14.5,,DVA,,Partial Administration,Multilateral,Loan,ADF,3000,Agriculture and Natural Resources,,,,,,,,12/15/1980,05/22/1981,,09/24/1990,,Sovereign,,,,,,
,IFAD,1981,1981,,526,,,,SRI,Coconut Development,SARD,SAAE,09/24/1981,0,12,0,,12,,8,,8,,DVA,,Collaborative,Multilateral,Loan,ADF,3000,Agriculture and Natural Resources,,,,,,,,09/24/1981,07/16/1982,,09/12/1989,,Sovereign,,,,,,
,IFAD,1981,1981,,548,,,,PHI,Smallholder Livestock Development,SERD,,11/25/1981,8,0,0,,8,,8,,8,,DVA,,Collaborative,Multilateral,Loan,OCR,3000,Agriculture and Natural Resources,,,,,,,,11/25/1981,08/19/1982,,12/04/1987,,Sovereign,,,,,,
,IFAD,1981,1981,,560,14049,,,NEP,Command Area Development,SARD,SAAE,12/15/1981,13.5,0,0,,13.5,,11.1,,11.1,,DVA,PS,Collaborative,Multilateral,Loan,OCR,3000,Agriculture and Natural Resources,,,,,,,,12/15/1981,08/05/1982,,05/11/1990,,Sovereign,,,,,,
,IFAD,1982,1982,,0324/0612,15048,,,SRI,Kirindi Oya Irrigation and Settlement (Supp.),SARD,,12/09/1982,0,10,0,,10,,6,,6,,DVA,,Collaborative,Multilateral,Loan,ADF,3000,Agriculture and Natural Resources,,,,,,,,12/09/1982,04/21/1983,,10/03/1989,,Sovereign,,PS,,,,
,IFAD,1982,1982,,615,15077,,,BAN,Northwest Rural Development,SARD,SAAE,12/14/1982,0,45,0,,45,,14.5,,14.5,,DVA,PS,Full Administration,Multilateral,Loan,ADF,3000,Agriculture and Natural Resources,,,,,,,,12/14/1982,09/27/1983,,04/22/1992,,Sovereign,,,,,,
,IFAD,1983,1983,,624,16125,,,TON,Development and Redevelopment,PARD,,04/26/1983,0,2.2,0,,2.2,,1,,1,,DVA,,,Multilateral,Loan,ADF,3900,Multisector,3900,,,,,,,04/26/1983,08/04/1983,,08/24/1988,,Sovereign,,,,,,
,IFAD,1983,1983,,627,16003,,,INO,Irrigation Package II,SERD,SEAE,05/19/1983,52,0,0,,52,,25,,25,,DVA,,,Multilateral,Loan,OCR,3000,Agriculture and Natural Resources,,,,,,,,05/19/1983,08/02/1983,,10/28/1992,,Sovereign,,,,,,
,IFAD,1983,1983,,646,17086,,,SOL,Agricultural Development,PARD,,10/29/1983,0,7.75,0,,7.75,,1.5,,1.5,,DVA,PS,,Multilateral,Loan,ADF,3000,Agriculture and Natural Resources,,,,,,,,10/29/1983,03/02/1984,,04/15/1992,,Sovereign,,,,,,
,IFAD,1985,1985,,734,17017,,,PAK,Gujranwala Agricultural Development,CWRD,,02/19/1985,0,28,0,,28,,8.5,,8.5,,DVA,,,Multilateral,Loan,ADF,3000,Agriculture and Natural Resources,,,,,,,,02/19/1985,12/27/1985,,11/21/1994,,Sovereign,,,,,,
,IFAD,1985,1985,,772,18100,,,PAK,Pat Feeder Canal Rehabilitation and Improvement,CWRD,,12/17/1985,117,0,0,,117,,28.55,,28.55,,DVA,,,Multilateral,Loan,OCR,3000,Agriculture and Natural Resources,,,,,,,,12/17/1985,06/09/1987,,04/03/2000,,Sovereign,,PS,,,Cf approval 1995.  PCR was sent to IFAD on 3Aug05. Additional cf from IFAD.,
,IFAD,1986,1986,,792,18095,,,NEP,Second Aquaculture Development,SARD,AWAR,10/09/1986,0,11,0,,11,,5,,5,,DVA,,Collaborative,Multilateral,Loan,ADF,3000,Agriculture and Natural Resources,,,,,,,,10/09/1986,09/18/1987,,11/25/1994,,Sovereign,,PS,,,,
,IFAD,1986,1986,,802,16115,,,PHI,Highland Agriculture Development,SERD,,11/25/1986,18.8,0,0,,18.8,,4.6,,4.6,,DVA,,Collaborative,Multilateral,Loan,OCR,3000,Agriculture and Natural Resources,,,,,,,,11/25/1986,06/22/1987,,05/11/1994,,Sovereign,,,,,From multisector to Agriculture,
,IFAD,1987,1987,,838,20171,,,PAK,Chitral Area Development,CWRD,,08/27/1987,0,23.5,0,,23.5,,11.1,,11.1,,DVA,PS,,Multilateral,Loan,ADF,3000,Agriculture and Natural Resources,,,,,,,,08/27/1987,11/23/1988,,10/29/1997,,Sovereign,,GS,,,,
,IFAD,1990,1990,,1012,21220,,,PAK,Second Barani Area Development,CWRD,,02/20/1990,0,25,0,,25,,19.4,,19.4,,DVA,,,Multilateral,Loan,ADF,3000,Agriculture and Natural Resources,,,,,,,,02/20/1990,12/06/1990,,12/24/1998,,Sovereign,,PS,,,PCR Aug00.  From multisector to Agri,
,IFAD,1990,1990,,1044,23373,,,PAK,Agricultural Credit,CWRD,SAGF,11/06/1990,0,150,0,,150,,25,,25,,DVA,PS,,Multilateral,Loan,ADF,3000,Agriculture and Natural Resources,,,,,,,,11/06/1990,03/26/1991,,06/30/1994,,Sovereign,,US,,,PCR Dec95.  Files sent to OAS Feb08.,
,IFAD,1996,1996,,1381/2564,,,,BAN,Beneficiary Participation and Project Management,SARD,AWAR,05/02/1996,0,32,0,,32,,10.4,,10.4,,DVA,,Partial Administration,Multilateral,Loan,ADF,3000,Agriculture and Natural Resources,,,,,,,,05/02/1996,04/08/1996,,01/15/2003,,Sovereign,,S,,,"YL: PCR was sent to IFAD on 01Aug05.  Adj Dec05 from $10.4 to $8.801 ($8.80) ref PCR. MBT: Anchor loan was approved on 26 Sep 1995, Board doc on admin of IFAD loan and NET grant was approved on 2 May 1996 per MF and LTAA.  Change in Title based on PPER, MF and LTAA, amount based on RRP and subsequent board doc. Amount reverted to $10.40m.",
,IFAD,1996,1996,,1421,,,,PHI,Cordillera Highland Agricultural Resource (blended 1421/1422),SERD,,01/11/1996,7.48,7.48,0,,14.96,,5.32,,5.32,,DVA,,,Multilateral,Loan,"OCR,ADF",3000,Agriculture and Natural Resources,,,,,,,,01/11/1996,06/03/1997,,05/16/2005,,Sovereign,,S,,,,
,IFAD,1996,1996,,1435,,,,PHI,Rural Microenterprise Finance,SERD,,04/23/1996,0,17.56,0,,17.56,,13.49,,13.49,,DVA,,,Multilateral,Loan,ADF,3300,Finance,,,,,,,,04/23/1996,04/18/1997,,09/26/2003,,Sovereign,,HS,,,PCR was sent to IFAD on 16Jun06.  Adj Dec05  from $14.7 to 13.49.  File sent to OAS Jan08.,
,IFAD,1997,1997,,1581,28023,,,BAN,Third Rural Infrastructure Development,SARD,SAAE,11/20/1997,0,62.4,0,,62.4,,11,,11,,DVA,,Full Administration,Multilateral,Loan,ADF,3900,Multisector,3900,,,,,,,11/20/1997,07/01/1998,,07/01/2005,,Sovereign,,HS,,,Adj Dec06 from $11.7 to $11. ADB $70 to $62.4. IFAD closed 19Sep05. PCR sent,
,IFAD,1997,1997,,1583,29456,,,INO,Rural Income Generation,SERD,SEAE,11/25/1997,49.28,0,0,,49.28,,20.28,,20.28,,DVA,,,Multilateral,Loan,OCR,3000,Agriculture and Natural Resources,,,,,,,,11/25/1997,06/18/1998,,11/14/2008,,Sovereign,,Succesful,,,"#8172 - IFAD Ln closing 31Dec08 (amt cancelled - SDR 5,938,682.74). PCR sent 1Jul09. Adj Dec09, ADB from 78.6 to mt (ref PCR Dec08). From multisector to agri. File to OAS Aug10.",
,IFAD,2000,2000,,1787/8195,29586,,,PAK,North West Frontier Province Barani Area Development - Phase II,CWRD,SAAE,11/28/2000,0,52,0,,52,,14.8,,14.8,,DVA,PS,Partial Administration,Multilateral,Loan,ADF,3000,Agriculture and Natural Resources,,,,,,,,11/28/2000,02/04/2002,,06/30/2010,,Sovereign,,Succesful,,,Joint cf. Actual IFAD cf $9.3 ref PCR Dec. 2010. Not adjusted.,
,IFAD,2006,2006,8229,2259/0056/8229,35297,,,LAO,Northern Region Sustainable Livelihoods through Livestock Development,SERD,SEAE,09/29/2006,0,9.3,0.7,,9.3,,3,,3,,DVA,,Partial Administration,Multilateral,Loan,ADF,3000,Agriculture and Natural Resources,,,,,,,,09/29/2006,06/28/2007,,,,Sovereign,,,,,,
,IFAD,2009,2009,145,0144-0145,,,,LAO,Sustainable Natural Resource Management and Productivity Enhancement,SERD,,02/23/2009,0,0,20,,0,15,,,15,,DVA,,Partial Administration,Multilateral,Grant,ADF Grant,3000,Agriculture and Natural Resources,,,,,,,,02/23/2009,01/31/1974,,01/13/1982,,Sovereign,,,,,,
,IFAD,2009,2009,192,2599/0186/0191/0192/8243,,,,CAM,Tonle Sap Poverty Reduction and Smallholder Development,SERD,,12/08/2009,0,3.4,27.3,,3.4,6.69,,,6.69,,DVA,,Full Administration,Multilateral,Grant,ADF,3000,Agriculture and Natural Resources,,,,,,,,12/08/2009,,,,,Sovereign,,,,,,
,IFAD,2009,2009,8243,2599/0186/0191/0192/8243,41435,,,CAM,Tonle Sap Poverty Reduction and Smallholder Development,SERD,,12/08/2009,0,0,0,0,0,,6.69,,6.69,,DVA,,Partial Administration,Multilateral,Loan,,3000,Agriculture and Natural Resources,,,,,,,,12/08/2009,03/31/2010,,,,Sovereign,,,,,,
,IFAD,2009,2009,8248,2542,39432,,,BAN,Participatory Small-Scale Water Resources Sector,SARD,SANS,09/04/2009,0,55,0,,55,,22,,22,,DVA,PS,Partial Administration,Multilateral,Loan,ADF,3000,Agriculture and Natural Resources,,,,,,,,09/04/2009,11/12/2009,,,,Sovereign,,,,,IFAD loan signing scheduled for 6Nov09.,
,IFAD,2010,2010,,2542,39432,,,BAN,Participatory Small-Scale Water Resources Sector (Supplementary),SARD,SANS,07/29/2010,0,0,0,,0,,10,,10,,DVA,PS,Partial Administration,Multilateral,Loan,ADF,3000,Agriculture and Natural Resources,,,,,,Yes,,07/29/2010,11/12/2001,,,,Sovereign,,,,,IFAD approved on 22Apr10.  Paper on ADB administration of cofinancing approved 29Jul2010.  #8250-BAN,
,IFAD,2012,2012,2913 (CG),2913/0310/8258,45084-002,,,BAN,Coastal Climate-Resilient Infrastructure,SARD,SAER,09/28/2012,,20,,,20,1,,,1,,DVA,PS,Collaborative,Multilateral,Grant,,3700,Transport and ICT,,,,,,No,,09/28/2012,,,,Approved,Sovereign,Parallel,,,,,"DR 2012. para in SARD section on New Joint Initiatives, pp 21."
,IFAD,2012,2012,2913 (CL),2913/0310/8258,45084-002,,,BAN,Coastal Climate-Resilient Infrastructure,SARD,SAER,09/28/2012,,20,,,20,,59,,59,,DVA,PS,Collaborative,Multilateral,Loan,,3700,Transport and ICT,,,,,,No,,09/28/2012,,,,Approved,Sovereign,Parallel,,,,,"DR 2012. para in SARD section on New Joint Initiatives, pp 21."
,IFAD,2012,2012,8266,2957/0324-0325/8266,41220-013,,,PHI,Integrated Natural Resources and Environmental Management,SERD,SEER,12/03/2012,100,,,1.4,101.4,,20,,20,,DVA,PS,Partial Administration,Multilateral,Loan,,3000,Agriculture and Natural Resources,,Land-Based Natural Resources Management,,,,No,,12/03/2012,,,,,Sovereign,,,,,,
,IFAD,2014,2014,,3198,47300-002,,,LAO,Northern Smallholder Livestock Commercialization,SERD,SEER,11/24/2014,,21,,,21,,5,,5,,DVA,PS,Collaborative,Multilateral,Loan,,3000,"Agriculture, Natural Resources and Rural Development",,"Rural Market Infrastructure, Livestock, Agricultural Policy, Institutional and Capacity Development",,,,No,,11/24/2014,,,,Closed/Completed,Sovereign,Parallel,,,,,
,IFAD,2014,2014,,3198,47300-002,,,LAO,Northern Smallholder Livestock Commercialization,SERD,SEER,11/24/2014,,21,,,21,5,,,5,,DVA,PS,Collaborative,Multilateral,Grant,,3000,"Agriculture, Natural Resources and Rural Development",,"Rural Market Infrastructure, Livestock, Agricultural Policy, Institutional and Capacity Development",,,,No,,11/24/2014,,,,,Sovereign,Parallel,,,,,
ILO,ILO,,,,,,,,,,,,,75,0,0,0,75,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ILO,2000,2000,,1772,30552,,,PHI,Infrastructure for Rural Productivity Enhancement Sector,SERD,SEAE,10/31/2000,75,0,0,,75,1,,,1,,Non-DVA,,,Multilateral,Grant,OCR,3900,Multisector,3900,,,,,,,10/31/2000,,,,,Sovereign,,,,,,
IMF,IMF,,,,,,,,,,,,,0,30,0,0,30,0,30,0,30,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IMF,1991,1991,,1109,,,,MON,Special Assistance,EARD,,10/29/1991,0,30,0,,30,,30,,30,,Non-DVA,,,Multilateral,Loan,ADF,3500,Industry and Trade,,,,,,,,10/29/1991,,,,,Sovereign,,,,,,
India,India,,,,,,,,,,,,,140,80.5,50.5,0,220.5,0,71.32,0,71.32,58.82,,,,,,,,,,,,,,,,,,,,,,,,,,,
,India,1975,1975,,231,,,,SRI,Urea Fertilizer,SARD,,09/18/1975,0,30,0,,30,,12.5,,12.5,,Non-DVA,,,Bilateral,Loan,ADF,3500,Industry and Trade,,,,,,,,09/18/1975,,,,,Sovereign,,,,,,
,"India,Export-Import Bank of India",2015,2015,3225/3226,3225/3226,44444-013,,,BHU,Second Green Power Development,SARD,SAEN,11/01/2015,70,25.25,25.25,,95.25,,17.16,,17.16,17.16,DVA,PS,Collaborative,Bilateral,Loan,,3200,Energy,,,11/01/2015,,,Yes,,11/01/2015,,,,Approved,Sovereign,Parallel,,,,,
,"India,State Bank of India",2015,2015,3225/3226,3225/3226,44444-013,,,BHU,Second Green Power Development,SARD,SAEN,11/01/2015,70,25.25,25.25,,95.25,,41.66,,41.66,41.66,DVA,PS,Collaborative,Bilateral,Loan,,3200,Energy,,,11/01/2015,,,Yes,,11/01/2015,,,,Approved,Sovereign,Parallel,,,,,
International Federation of Red Cross and Red Crescent Society,International Federation of Red Cross and Red Crescent Society,,,,,,,,,,,,,150,0,0,0,150,1.5,0,0,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,International Federation of Red Cross and Red Crescent Society,2010,2010,246,2626/0246,44065-013,,,SRI,Conflict-Affected Region Emergency,SARD,SLRM,04/15/2010,150,0,0,,150,1.5,,,1.5,,DVA,PS,Full Administration,Multilateral,Grant,OCR,3700,Transport,,,,,,,,04/15/2010,09/02/2010,,,,Sovereign,,,,,IFRC contribution of 1.6 million CHF,
Iran,Iran,,,,,,,,,,,,,38,30,0,0,68,0,24.5,0,24.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Iran,1975,1975,,217,44236-01,,,BAN,Ashuganj Fertilizer,SARD,BRM,02/20/1975,0,30,0,,30,,12.5,,12.5,,Non-DVA,,,Bilateral,Loan,ADF,3500,Industry and Trade,,,,,,,,02/20/1975,,,,,Sovereign,,,,,,
,Iran,2002,2002,,1903,35496,,,UZB,Western Uzbekistan Rural Water Supply,CWRD,URM,05/02/2002,38,0,0,,38,,12,,12,,Non-DVA,,,Bilateral,Loan,OCR,3800,Water and Other Municipal Infrastructure and Services,,,,,,,,05/02/2002,,,,,Sovereign,,,,,Iran cf listed in 2005. Iran($12 m) included in the anchor loan. Adj Dec06,
Ireland,Ireland,,,,,,,,,,,,,0,30,0,0,30,15.6,0,0,15.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ireland,2005,2005,,2194,,,,VIE,Support to Implementation on Poverty Reduction Program II,SERD,VRM,11/03/2005,0,15,0,,15,1.8,,,1.8,,Non-DVA,,,Bilateral,Grant,ADF,3900,Multisector,3900,,,,,,,11/03/2005,,,,,Sovereign,,,,,ﾀ1.5 m,
,Ireland,2006,2006,,2262,,,,VIE,Support the Implementation of Poverty Reduction Program III,SERD,VRM,10/05/2006,0,15,0,,15,3.8,,,3.8,,Non-DVA,,,Bilateral,Grant,ADF,3900,Multisector,3900,,,,,,,10/05/2006,,,,,Sovereign,,,,,ﾀ3 million.,
,Ireland,2007,2007,,2352,,,,VIE,Support the Implementation of Poverty Reduction Program IV,SERD,VRM,10/02/2007,,,,,0,10,,,10,,Non-DVA,,,Bilateral,Grant,ADF,3900,Multisector,3900,Multisector,,,,,,10/02/2007,,,,,Sovereign,,,,,Grants Euro 7.5 m.,
IsDB,IsDB,,,,,,,,,,,,,3575,631.69,42.45,0,4206.69,0,1765.1,0,1765.1,570,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IsDB,1978,1978,8030,0389/8030,48192,,,INO,South-East Sulawesi Transmigration and  Area Development,SERD,,12/22/1978,34.3,0,0,,34.3,,10.01,,10.01,,DVA,,Partial Administration,Multilateral,Loan,OCR,3900,Multisector,3900,,,,,,,12/22/1978,,,,,Sovereign,,,,,"Adj Dec 06 from $10 to $7.5, ref PCR",
