Donor,Cofinancier/ Source,Approval Year,Approval Numbers,Product Approval Number,Proj No,Country Mnemonic,Project Title,Source,TA-Type,CF Mode,Bank,JSF,CF Amnt,Approval Date CF,Approval Date Bank,Date of Agreement Letter,Approval Date Bank.1,Approval Date CF.1,DMC,Department,Division,Donor Type,TA-Type.1,Type of Cofinancing,AgreementType,Source Type,Sector Code,Sector,Sub Sector Code,Sub Sector,Date of Agreement Letter.1,Theme 1,Theme 2,Theme 3,Theme 4,SubTheme 1,SubTheme 2,SubTheme 3,SubTheme 4,Publications,TCR Rating,Validation Rating,TPER Rating
CEFPF-CCFPSA,CEFPF-CCFPSA,2014,7793,,44133-012,INO,Institutional Capacity Building of Indonesia Eximbank (Supplementary),CEFPF-CCFPSA,,J,,,225,30 May 2014,,,07/17/2014,05/30/2014,INO,SERD,SEPF,Single Donor,CD,J,C,,3300,Finance,3314,Trade Finance,,Economic Growth,Private Sector Development,Capacity Development,Environmental Sustainability,Promoting Economic Efficiency and Enabling Business environment,Private Sector Investment,Institutional Development,Eco-Efficiency,,,,
CEFPF-CCFPSA,CEFPF-CCFPSA,2015,8897,,48409-001,REG,Climate-Friendly Agribusiness Value Chains Sector,CEFPF-CCFPSA,,J,,,1000, ,,,05/12/2015,,REG,SERD,SEER,Single Donor,PP,J,C,,3000,"Agriculture, Natural Resources and Rural Development","3012,3014,3022,3023","Land-Based Natural Resources Management,Agricultural Policy, Institutional and Capacity Development,Agricultural Production,Agro-Industry, Marketing, and Trade",,,,,,,,,,,,,
CEFPF-CCFPSA,CEFPF-CCFPSA,2015,8921,,49116-002,MYA,Renewable Energy for the Nationwide Telecommunications,CEFPF-CCFPSA,,E,,,1000, ,,,06/30/2015,,MYA,PSOD,PSIF2,Single Donor,CD,E,C,,3200,Energy,3211,Electricity Transmission and Distribution,,,,,,,,,,,,,
CEFPF-CCFPSA,CEFPF-CCFPSA,2015,8999,,49338-001,SAM,Development of Solar Power IPP,CEFPF-CCFPSA,,E,,,225,24 Nov 2015,,,11/25/2015,11/24/2015,SAM,PSOD,PSIF2,Single Donor,PP,E,C,,3200,Energy,3216,Renewable Energy Generation - Solar,,,,,,,,,,,,,
CEFPF-CCFPSA,CEFPF-CCFPSA,2016,9092,,49280-001,BHU,Climate-Resilient Hazelnut Value Chain,CEFPF-CCFPSA,,E,,,1300,17 Jul 2015,,,04/11/2016,07/17/2015,BHU,PSOD,OPSD-AIT,Single Donor,CD,E,PS,,3000,"Agriculture, Natural Resources and Rural Development",3022,Agricultural Production,,,,,,,,,,,,,
CEFPF-CCFPSA,CEFPF-CCFPSA,2016,9104,,50052-001,INO,Banten and West Nusa Tenggara Wind Power Development,CEFPF-CCFPSA,,J,,,500,13 May 2016,,,04/08/2016,05/13/2016,INO,PSOD,PSIF2,Single Donor,PP,J,C,,3200,Energy,3217,Renewable Energy Generation - Wind,,,,,,,,,,,,,
CFWS,CFWS,2002,6031,,3549401,REG,Promoting Effective Water Mgmt Policies and Practices,CFWS,,E,,,4000, ,, ,04/26/2002,,REG,SDCC,SDAS,Multidonor,RE,E,C,,3800,Water and Other Municipal Infrastructure and Services,3801,Water Supply and Sanitation,,,,,,,,,,DR 2012. story (box) for CFWS pp46.,S,,
CFWS,CFWS,2003,6093,,3667101,REG,Promoting Effective Water Management Policies and Practices - Phase 2,CFWS,,E,,,1000,11 Dec 2002,,11 Dec 2002,01/31/2003,12/11/2002,REG,SDCC,SDAS,Multidonor,RE,E,C,,3000,Agriculture and Natural Resources,3013,Water-Based Natural Resources Management,,,,,,,,,,,GS,,
CFWS,CFWS,2003,6123,,3715001,REG,Promoting Effective Water Management Policies and Practices - Phase 3,CFWS,,E,,,4300, ,, ,10/03/2003,,REG,SDCC,SDAS,Multidonor,RE,E,C,,3000,Agriculture and Natural Resources,3013,Water-Based Natural Resources Management,,,,,,,,,,,S,,
CFWS,CFWS,2004,6219,,3853801,REG,Promoting Effective Water Management Policies and Practices -Phase 4,CFWS,,E,,,5600, ,, ,12/20/2004,,REG,SDCC,SDAS,Multidonor,RE,E,C,,3000,Agriculture and Natural Resources,3013,Water-Based Natural Resources Management,,,,,,,,,,,S,,
CFWS,CFWS,2005,4327,,3764601,PRC,Flood Management Strategy Supply,CFWS,,J,500,,49.6, ,, ,09/28/2005,,PRC,EARD,EAAE,Multidonor,AD,J,C,,3000,Agriculture and Natural Resources,3011,"Irrigation, Drainage, and Flood Protection",,Economic Growth,,,,,,,,,HS,,
CFWS,CFWS,2005,4586,,3859401,PRC,Guiyang Integrated Water Resources Mgt Project,CFWS,,J,800,,160, ,, ,05/16/2005,,PRC,EARD,EAAE,Multidonor,PP,J,C,,3000,Agriculture and Natural Resources,3013,Water-Based Natural Resources Management,,Economic Growth,,,,,,,,,,,
CFWS,CFWS,2005,4604,,3913401,PRC,Nanjing Water Utility Long-Term Capital Finance in Commercial Markets,CFWS,,J,440,,110, ,, ,06/28/2005,,PRC,PSOD,PSIF,Multidonor,AD,J,C,,3600,Public Sector Management,3604,Decentralization,,Economic Growth,Governance,,,Promoting Economic Efficiency and Enabling Business environment,"Public Administration (National,Decentralized,Regional)",,,,PS,,
CFWS,CFWS,2005,4614,,3912901,MLD,Promoting Sound Environmental Mgt in the Aftermath of theTsunami Disaster,CFWS,,E,,,400, ,, ,07/19/2005,,MLD,SARD,SAUD,Multidonor,AD,E,C,,3800,Water and Other Municipal Infrastructure and Services,3813,Urban Sector Development,,Social Development,Environmental Sustainability,,,,,,,,S,,
CFWS,CFWS,2005,4642,,3723101,PAK,Punjab Irrigated Agriculture Devt. Sector Project,CFWS,,J,,,90, ,, ,09/01/2005,,PAK,CWRD,CWAE,Multidonor,PP,J,C,,3000,Agriculture and Natural Resources,3011,"Irrigation, Drainage, and Flood Protection",,Economic Growth,Environmental Sustainability,Governance,,Developing rural areas,Natural Resources Conservation,Civil Society Participation,,,,,
CFWS,CFWS,2005,4678,,3826001,IND,North Eastern Region Urban Devt. Phase II,CFWS,,J,,,160, ,, ,10/31/2005,,IND,SARD,SAUD,Multidonor,PP,J,C,,3800,Water and Other Municipal Infrastructure and Services,3813,Urban Sector Development,,Economic Growth,Social Development,,,Developing urban areas,,,,,,,
CFWS,CFWS,2006,3528,,3136401,VIE,Capacity Bldg. for Water Resources Mgt (TA Cluster) - Supp,CFWS,,E,,,150, ,, ,07/28/2006,,VIE,SERD,SEAE,Multidonor,AD,E,C,,3000,Agriculture and Natural Resources,3013,Water-Based Natural Resources Management,,Economic Growth,,,,,,,,,PS,,
CFWS,CFWS,2006,4049,,3431501,SRI,Strengthening the Regulatory Framework for Water Supply and Sanitation,CFWS,,E,,,40, ,, ,12/13/2006,,SRI,SARD,SAUD,Multidonor,AD,E,C,,3800,Water and Other Municipal Infrastructure and Services,3801,Water Supply and Sanitation,,Economic Growth,Social Development,,,,,,,,S,,
CFWS,CFWS,2006,4651,,3940501,BAN,Dhaka Water Supply Project,CFWS,,E,,,160, ,, ,07/31/2006,,BAN,SARD,SAUD,Multidonor,PP,E,C,,3800,Water and Other Municipal Infrastructure and Services,3801,Water Supply and Sanitation,,Social Development,Governance,,,,,,,,,,
CFWS,CFWS,2006,4779,,3731301,IND,Project Implementation & Urban Management Improvement in theNorth Eastern Region (Phase I),CFWS,,J,1400,,120, ,, ,04/11/2006,,IND,SARD,SAUD,Multidonor,AD,J,C,,3800,Water and Other Municipal Infrastructure and Services,3813,Urban Sector Development,,Social Development,Governance,,,,,,,,Partly Successful,,
CFWS,CFWS,2006,4815,,3841101,IND,Orissa Integrated Irrigated Agriculture & Water Mgt,CFWS,,J,,,110, ,, ,07/18/2006,,IND,SARD,SANS,Multidonor,PP,J,C,,3000,Agriculture and Natural Resources,3011,"Irrigation, Drainage, and Flood Protection",,Economic Growth,Governance,,,,,,,,,,
CFWS,CFWS,2006,4853,,3738101,SRI,Small Towns & Rural Arid Areas Water & Sanitation,CFWS,,E,,,120, ,,23 Oct 2006,10/23/2006,,SRI,SARD,SAUD,Multidonor,PP,E,C,,3800,Water and Other Municipal Infrastructure and Services,3801,Water Supply and Sanitation,,Social Development,Environmental Sustainability,,,,,,,,,,
CFWS,CFWS,2006,4863,,4055901,BAN,Second Urban Governance & Infrastructure Improvement (Sector),CFWS,,E,,,100, ,, ,11/07/2006,,BAN,SARD,SAUD,Multidonor,PP,E,C,,3800,Water and Other Municipal Infrastructure and Services,3813,Urban Sector Development,,,,,,,,,,,,,
CFWS,CFWS,2006,4893,,,NEP,"Kathmandu Valley Water Distribution, Sewerage & Urban Devt Project",CFWS,,J,400,,160, ,, ,12/13/2006,,NEP,SARD,SAUD,Multidonor,PP,J,C,,3800,Water and Other Municipal Infrastructure and Services,3801,Water Supply and Sanitation,,"Economic growth,Economic Growth","Governance,Private Sector Development","Private Sector Development,Governance",,,,,,,,,
CFWS,CFWS,2006,4896,,3841201,IND,North Eastern Integrated Flood and Riverbank Erosion Management (Assam),CFWS,,J,,,50, ,, ,12/14/2006,,IND,SARD,SANS,Multidonor,PP,J,C,,3000,Agriculture and Natural Resources,3011,"Irrigation, Drainage, and Flood Protection",,Economic Growth,Environmental Sustainability,,,,,,,,,,
CFWS,CFWS,2006,6325,,3853901,REG,Promoting Effective Water Mgt Policies & Practices 5,CFWS,,E,200,,3000, ,, ,07/14/2006,,REG,SDCC,SDAS,Multidonor,RE,E,C,,3800,Water and Other Municipal Infrastructure and Services,3801,Water Supply and Sanitation,,Economic Growth,Environmental Sustainability,Gender Equity,,,,,,,Successful,,
CFWS,CFWS,2007,4971,,4066501,PRC,Songhua River Basin Water Pollution Control & Mgt Project,CFWS,,J,1104,,196, ,, ,09/28/2007,,PRC,EARD,EASS,Multidonor,PP,J,C,,3800,Water and Other Municipal Infrastructure and Services,3813,Urban Sector Development,,Social Development,Environmental Sustainability,,,,,,,,,,
CFWS,CFWS,2007,6285,,3918601,REG,Strengthening Country Safeguard Systems ,CFWS,,E,,,100, ,, ,02/22/2007,,REG,SDCC,SDES,Multidonor,RE,E,C,,3600,Public Sector Management,3603,Economic and Public Affairs Management,,Economic Growth,Social Development,Environmental Sustainability,,,,,,,Successful,,
CFWS,CFWS,2007,6325,,,REG,Promoting Effective Water Mgt Policies and Practices 5 ,CFWS,,E,,,1200, ,, ,04/16/2007,,REG,SDCC,SDAS,Multidonor,RE,E,C,,3800,Water and Other Municipal Infrastructure and Services,3801,Water Supply and Sanitation,,Economic Growth,Environmental Sustainability,Gender Equity,,,,,,,Successful,,
CFWS,CFWS,2008,4534,,3722001,PAK,Sindh Basic Urban Services,CFWS,,E,202,,80, ,, ,01/31/2008,,PAK,CWRD,CWUS,Multidonor,PP,E,C,,3800,Water and Other Municipal Infrastructure and Services,3813,Urban Sector Development,,Social Development,Environmental Sustainability,,,,,,,,,,
CFWS,CFWS,2008,6325,,3853901,REG,Promoting Effective Water Management Policies and Practices 5,CFWS,,E,,,1219, ,, ,10/30/2008,,REG,SDCC,SDAS,Multidonor,RE,E,C,,3800,Water and Other Municipal Infrastructure and Services,3801,Water Supply and Sanitation,,Economic Growth,Environmental Sustainability,Gender Equity,,,,,,,Successful,,
CFWS,CFWS,2008,7078,,4167901,SRI,Institutional Strengthening for Decentralized Service Delivery in the Water Sector,CFWS,,J,700,,50, ,, ,04/24/2008,,SRI,SARD,SLRM,Multidonor,AD,J,C,,3800,Water and Other Municipal Infrastructure and Services,3801,Water Supply and Sanitation,,Social Development,Governance,,,,,,,,Successful,,
CFWS,CFWS,2009,6325,,3853901,REG,Promoting Effective Water Management Policies and Practices 5,CFWS,,E,,,583,07 Aug 2009,, ,08/15/2009,08/07/2009,REG,,,Multidonor,RE,E,C,,3800,Water and Other Municipal Infrastructure and Services,3801,Water Supply and Sanitation,,Economic Growth,Environmental Sustainability,Gender Equity,,,,,,,Successful,,
"U.K.,CFWS",,2006,4815,,3841101,IND,Orissa Integrated Irrigated Agriculture & Water Mgt,UKG,,J,,,590, ,, ,07/18/2006,,IND,SARD,SANS,Single Donor,PP,J,C,,3000,Agriculture and Natural Resources,3011,"Irrigation, Drainage, and Flood Protection",,Economic Growth,Governance,,,,,,,,,,
Cities Alliance,Cities Alliance,2006,4616,,3839801,PHI,Metro Manila Urban Services for the Poor,Cities Alliance,,E,700,,500, ,, ,07/07/2006,,PHI,SERD,SETU,Multidonor,PP,E,PS,,3800,Water and Other Municipal Infrastructure and Services,3813,Urban Sector Development,,Economic Growth,Social Development,Private Sector Development,,,,,,,Partly Successful,,
Commonwealth Secretariat,Commonwealth Secretariat,2013,8100,,46108-001,TUV,Institutional Strengthening of the Ministry of Finance and Economic Development (2nd Supplementary),Commonwealth Secretariat,,,,,54.28,15 Jul 2013,,,05/20/2013,07/15/2013,TUV,PARD,SPSO,Multidonor,CD,,PS,,3600,Public Sector Management,3603,Economic and Public Affairs Management,,Capacity Development,Economic Growth,,,Institutional Development,Promoting macroeconomic stability,,,,,,
Credit Suisse AG,Credit Suisse AG,2013,8550,,46240-001,REG,Inclusive Business Support,Credit Suisse AG,,J,400,,100, ,,,12/10/2013,,REG,SDCC,SDGG,Multidonor,R-CD,J,PS,,3900,Multisector,3900,Multisector,,Social Development,Economic Growth,Private Sector Development,Capacity Development,Human Development,Widening Access To Markets and Economic Opportunities,Private Sector Investment,"Client Relations,Network,And Partnership Development",,,,
CTF,CTF,2011,7892,,4520001,VIE,Sustainable Urban Transport for Ho Chi Minh City MRT Line 2,CTF,,E,,,1000,22 Sep 2011,,,10/18/2011,09/22/2011,VIE,SERD,SETC,Multidonor,PP,E,PS,,3700,Transport and ICT,3711,Urban Transport,,,,,,,,,,"DR 2012. para for CIF, pp64.",,,
CTF,CTF,2011,7894,,4008004,VIE,Strengthening Sustainable Urban Transport for Ha Noi Metro Line 3,CTF,,E,,,1000,13 Oct 2011,,,10/18/2011,10/13/2011,VIE,SERD,SETC,Multidonor,PP,E,PS,,3700,Transport and ICT,3711,Urban Transport,,,,,,,,,,,,,
CTF,CTF,2012,8318,,46911-01,INO,Global Climate Partnership Fund - Indonesia Investment Program,CTF,,E,,,450,12 Apr 2012,,,12/21/2012,04/12/2012,INO,PSOD,PSFI,Multidonor,PP,E,PS,,3300,Finance,,,,Economic Growth,Environmental Sustainability,Private Sector Development,,,,,,,,,
CTF,CTF,2013,8486,,45224-003,IND,Rajasthan Renewable Energy Capacity Development and Implementation Support,CTF,,E,,,2000, ,,,10/22/2013,,IND,SARD,SAEN,Multidonor,CD,E,PS,,3200,Energy,3211,Electricity Transmission and Distribution,,Private Sector Development,Environmental Sustainability,Economic Growth,,Private Sector Investment,Natural Resources Conservation,Widening Access To Markets and Economic Opportunities,,,,,
CTF,CTF,2015,8944,,48435-002,REG,Promoting Sustainable Energy for All in Asia and the Pacific-Renewable Energy Mini-grids and Distributed Power Generation (Subproject A),CTF,,E,,,3500,10 Oct 2014,,,08/14/2015,10/10/2014,REG,SDCC,SDAS,Multidonor,R-RD,E,PS,,3200,Energy,"3215,3214","Energy Sector Development and Institutional Reform,Energy Efficiency and Conservation",,,,,,,,,,,,,
CTF,CTF,2015,9055,,49145-001,VIE,Mainstreaming Climate Change Mitigation into National Infrastructure,CTF,,E,,,999.6,05 Aug 2015,,,12/16/2015,08/05/2015,VIE,SERD,SETC,Multidonor,CD,E,PS,,3700,Transport,3712,Transport Policies and Institutional Development,,,,,,,,,,,,,
Danish Cooperation Fund for Technical Assistance,Danish Cooperation Fund for Technical Assistance ,2000,5944,,3401401,REG,Regional Initiatives to Eliminate Micronutrient Malnutrition in Asia   through Public-Private Partnership,Danish Cooperation Fund for Technical Assistance ,,J,800,,300, ,, ,10/17/2000,,REG,SDCC,RSGS,Single Donor,RE,J,C,,3400,Health and Social Protection,3404,Nutrition,,,,,,,,,,,GS,,
Danish Cooperation Fund for Technical Assistance,Danish Cooperation Fund for Technical Assistance ,2002,5945,,3441001,REG,Fifth Agr. & Nat. Resources at CGIAR Center-Breeding for Iron Rich to Reduce Iron Deficiency Anemia in Asia ,Danish Cooperation Fund for Technical Assistance ,,E,5800,,280,04 Aug 2000,,04 Aug 2000,08/01/2002,08/04/2000,REG,EARD,EAAE,Single Donor,RE,E,C,,3000,Agriculture and Natural Resources,3014,Agricultural Policy,,,,,,,,,,,,,
Danish Cooperation Fund for Technical Assistance,Danish Cooperation Fund for Technical Assistance ,2003,4105,,3435101,VIE,Agricultural Sector Support,Danish Cooperation Fund for Technical Assistance ,,E,,,600, ,, ,05/02/2003,,VIE,SERD,SEAE,Single Donor,AD,E,C,,3000,Agriculture and Natural Resources,3014,Agricultural Policy,,,,,,,,,,"DR 2011. para on DEN TF, pp 36.",S,,
Denmark,,1988,983,,,BHU,Master Plan for Forestry Development,DEN,,J,348,,390,06 May 1988,,07 Dec 1988,06/09/1988,05/06/1988,BHU,AGD,AG4,Single Donor,AD,J,PS,,3000,Agriculture and Natural Resources,,,,,,,,,,,,,,,
Denmark,,1989,5339,,,REG,Economic Policies for Sustainable Dev: Implementing the Brundtland Commission Recommendations in Selected DMCs,DEN,,J,600,,140,10 Feb 1989,,07 Sep 1989,05/12/1989,02/10/1989,REG,OESD,ENVD,Single Donor,RE,J,PS,,3600,Public Sector Management,3603,Economic and Public Affairs Management,,,,,,,,,,,,,
Denmark,,1994,2223,,2741001,CAM,Basic Health Services,DEN,,E,,,300,01 Nov 1994,,18 Apr 1995,12/07/1994,11/01/1994,CAM,AWD,AWEH,Single Donor,PP,E,PS,,3400,Health and Social Protection,,,,,,,,,,,,,,,
Denmark,,1995,2376,,2920301,VIE,Community Environmental Health Improvements for the Provincial Towns,DEN,,E,,,500,23 Sep 1994,,06 Nov 1995,08/17/1995,09/23/1994,VIE,MKRD,MKSS,Single Donor,AD,E,PS,,3800,Water and Other Municipal Infrastructure and Services,,,,,,,,,,,,,,,
Denmark,,1995,2396,,2740201,LAO,Secondary Towns Integrated Urban Development,DEN,,E,,,600,04 Aug 1995,,09 Jan 1996,09/12/1995,08/04/1995,LAO,AWD,AWWU,Single Donor,PP,E,PS,,3800,Water and Other Municipal Infrastructure and Services,,,,,,,,,,,,,,,
Denmark,,1995,2456,,2913201,PRC,Pilot Environmental Plans for Selected Medium-Size Cities,DEN,,E,,,537,04 Aug 1995,,28 Feb 1996,12/04/1995,08/04/1995,PRC,RMU,AEWU,Single Donor,AD,E,PS,,3500,Industry and Trade,,,,,,,,,,,,,,,
Denmark,,1995,2517,,2728901,INO,Capacity Building in Human Settlements Infrastructure Management,DEN,,J,650,,450,04 Aug 1995,,31 Jan 1996,12/28/1995,08/04/1995,INO,RMU,AEWU,Single Donor,PP,J,PS,,3600,Public Sector Management,,,,,,,,,,,,,,,
Denmark,,1996,2529,,2931101,INO,Coastal Community Development and Fisheries Resources Conservation,DEN,,E,,,480,17 Jan 1996,,20 Mar 1996,02/05/1996,01/17/1996,INO,RMU,AEFN,Single Donor,PP,E,PS,,3000,Agriculture and Natural Resources,,,,,,,,,,,,,,,
Denmark,,1996,2615,,2825301,VIE,Red River Waterways,DEN,,J,600,,380,14 Jun 1996,,29 Aug 1996,07/24/1996,06/14/1996,VIE,IWD,IWTC,Single Donor,PP,J,PS,,3700,Transport and ICT,,,,,,,,,,,,,,,
Denmark,,1996,2723,,2928301,CAM,Institutional Strengthening and Expanding EIA Capacity,DEN,,J,600,,400,21 Nov 1994,,09 Apr 1997,12/19/1996,11/21/1994,CAM,OESD,ENVD,Single Donor,AD,J,PS,,3000,Agriculture and Natural Resources,,,,,,,,,,,,,,,
Denmark,,1996,2734,,3019501,LAO,Nam Ngum Watershed Management,DEN,,J,800,,400,05 Nov 1996,,13 Feb 1997,12/23/1996,11/05/1996,LAO,OESD,ENVD,Single Donor,AD,J,PS,,3000,Agriculture and Natural Resources,,,,,,,,,,,,,,,
Denmark,,1996,5702,,2917401,REG,"Acid Rain and Emission Reduction for Asia, Phase II",DEN,,J,450,,150,15 Jan 1997,,08 Jan 1998,09/03/1996,01/15/1997,REG,SDCC,SDES,Single Donor,RE,J,PS,,3000,Agriculture and Natural Resources,3012,Land-Based Natural Resources Management,,,,,,,,,,,PS,,
Denmark,,1997,2751,,2919301,PRC,Capacity Building of Wastewater Treatment Operations in Anhui Province,DEN,,E,,,400,22 Nov 1996,,29 Jul 1997,01/27/1997,11/22/1996,PRC,RMU,AEWU,Single Donor,AD,E,PS,,3800,Water and Other Municipal Infrastructure and Services,,,,,,,,,,,,,,,
Denmark,,1997,2770,,2822301,PRC,Fuzhou Water Supply and Wastewater Treatment,DEN,,E,,,598,22 Nov 1996,,07 Apr 1997,03/14/1997,11/22/1996,PRC,RMU,AEWU,Single Donor,PP,E,PS,,3800,Water and Other Municipal Infrastructure and Services,,,,,,,,,,,,,,,
Denmark,,1998,3137,,2944801,INO,Water Supply and Sanitation Sector,DEN,,E,,,600,15 Dec 1998,, ,12/22/1998,12/15/1998,INO,SERD,SESS,Single Donor,PP,E,PS,,3800,Water and Other Municipal Infrastructure and Services,,,,,,,,,,,,,,,
Denmark,,1998,5798,,3165301,REG,Consultations on Strategies for Reducing Poverty,DEN,,J,150,,50,10 Feb 1998,,18 Sep 1998,07/15/1998,02/10/1998,REG,OESD,SOCD,Single Donor,RE,J,PS,,3600,Public Sector Management,3603,Economic and Public Affairs Management,,,,,,,,,,,,,
Denmark,,1999,5835,,,REG,Enhancing Gender and Development Capacity in DMCs,DEN,,E,,,1000,16 Feb 1999,,12 Apr 1999,02/26/1999,02/16/1999,REG,SDCC,SDGG,Single Donor,RE,E,PS,,3600,Public Sector Management,3603,Economic and Public Affairs Management,,,,,,,,,,,HS,,
Denmark,,2002,6001,,,REG,Consultation for the 3rd World Water Forum,DEN,,J,,,10,21 Jul 2002,,21 Jul 2002,08/12/2002,07/21/2002,REG,SDCC,SDAS,Single Donor,RE,J,PS,,3000,Agriculture and Natural Resources,3013,Water-Based Natural Resources Management,,,,,,,,,,,GS,,
Denmark,,2005,3528,,,VIE,Capacity Bldg. for Water Resources Mgt. (TA Cluster),DEN,,E,,,500, ,, ,04/20/2005,,VIE,SERD,SEAE,Single Donor,AD,E,PS,,3000,Agriculture and Natural Resources,3013,Water-Based Natural Resources Management,,Economic Growth,,,,,,,,,,,
Denmark,,2006,4903,,4062101,VIE,Viet Nam Water Sector Review,DEN,,J,310,,50, ,, ,12/18/2006,,VIE,SERD,VRM,Single Donor,AD,J,PS,,3000,Agriculture and Natural Resources,3013,Water-Based Natural Resources Management,,Economic Growth,Environmental Sustainability,Governance,,,,,,,,,
Denmark,,2007,4964,,4028001,AFG,Support for Economic Policy Mgt,DEN,,J,800,,900, ,, ,09/04/2007,,AFG,CWRD,AFRM,Single Donor,AD,J,PS,,3600,Public Sector Management,3603,Economic and Public Affairs Management,,Governance,,,,,,,,,,,
Denmark,,2007,4983,,3701706,BAN,Supporting Good Governance Program,DEN,,J,1500,,1000, ,, ,10/30/2007,,BAN,SARD,BRM,Single Donor,AD,J,PS,,3600,Public Sector Management,3603,Economic and Public Affairs Management,,Governance,,,,,,,,,,,
Denmark,,2011,7760,,3517402,NEP,Support for the Implementation of School Sector Reform Program (Supplementary),DEN,,J,225,,190,27 Sep 2011,,,09/21/2011,09/27/2011,NEP,SARD,SAHS,Single Donor,CD,J,PS,,3100,Education,,,,Capacity Development,,,,,,,,,Successful,,
Denmark,,2011,8028,,4534801,BAN,Capacity Building of the Anti Corruption Commission,DEN,,E,,,110,12 Jan 2012,,,12/25/2011,01/12/2012,BAN,SARD,BRM,Single Donor,S-CD,E,PS,,3600,Public Sector Management,,,,,,,,,,,,,Successful,,
Denmark-Energy,Denmark-Energy,2002,3965,,3625501,MON,Renewable Energy Development in Small Towns & Rural Areas,Denmark-Energy,,E,,,400,28 Oct 2002,,28 Oct 2002,11/04/2002,10/28/2002,MON,EARD,EAEN,Single Donor,AD,E,C,,3200,Energy,3203,Renewable Energy,,,,,,,,,,,S,,
Denmark-Energy,Denmark-Energy,2002,4054,,3410002,INO,Power Welfare Scheme-piggybacked to Loan 1982,Denmark-Energy,,E,,,800, ,,19 Dec 2002,12/19/2002,,INO,SERD,SEEW,Single Donor,AD,E,C,,3200,Energy,3203,Renewable Energy,,,,,,,,,,"DR 2011. para on DEN-Energy, pp 34.",Partly Successful,,
Denmark-Energy,Denmark-Energy,2003,3874,,,AFG,Capacity Building for Reconstruction and Development,Denmark-Energy,,E,,,450, ,,,03/31/2003,,AFG,CWRD,,Single Donor,AD,E,C,,3900,Multisector,3900,Multisector,,,,,,,,,,,S,,
Denmark-Energy,Denmark-Energy,2003,4173,,3710701,UZB,Off-Grid Renewable Energy Development,Denmark-Energy,,E,,,350,15 Aug 2003,,15 Aug 2003,09/15/2003,08/15/2003,UZB,CWRD,CWID,Single Donor,AD,E,C,,3200,Energy,3203,Renewable Energy,,,,,,,,,,,S,,
Denmark-Energy,Denmark-Energy,2003,4174,,3656101,PHI,Rehabilitation of Renewable Energy Projects for Rural Electrification and Livelihood Development,Denmark-Energy,,E,,,450,28 Jan 2003,,28 Jan 2003,09/16/2003,01/28/2003,PHI,SERD,SEID,Single Donor,AD,E,C,,3200,Energy,3203,Renewable Energy,,,,,,,,,,,HS,,
Denmark-Energy,Denmark-Energy,2003,4309,,3730001,PRC,Renewable Energy for Poverty Reduction,Denmark-Energy,,J,150,,450, ,, ,12/19/2003,,PRC,EARD,EAEN,Single Donor,AD,J,C,,3200,Energy,3203,Renewable Energy,,,,,,,,,,,HS,,
Denmark-Energy,Denmark-Energy,2003,6102,,3625901,REG,Renewable Energy and Energy Efficiency Program for the Pacific,Denmark-Energy,,E,,,600,17 Apr 2003,,17 Sep 2002,04/28/2003,04/17/2003,REG,PARD,PAHQ,Single Donor,RE,E,C,,3200,Energy,3203,Renewable Energy,,,,,,,,,,,S,,
Denmark-Energy,Denmark-Energy,2004,3874,,3613901,AFG,Capacity Building for Reconstruction and Development,Denmark-Energy,,E,,,90, ,, ,01/28/2004,,AFG,CWRD,,Single Donor,AD,E,C,,3900,Multisector,3900,Multisector,,,,,,,,,,,S,,
Denmark-Energy,Denmark-Energy,2004,4500,,3858501,PAK,Capacity Bldg for Alternative Energy Dev Board,Denmark-Energy,,E,,,150, ,, ,12/17/2004,,PAK,CWRD,CWID,Single Donor,AD,E,C,,3200,Energy,3203,Renewable Energy,,,,,,,,,,,,,
Denmark-Energy,Denmark-Energy,2010,7504,,4329901,NEP,Increasing Access to Energy in Rural Nepal,Denmark-Energy,,J,,,323,12 May 2009,, ,03/05/2010,05/12/2009,NEP,SARD,SAEN,Single Donor,CD,J,C,,3200,Energy,3203,Renewable Energy,,Economic Growth,Social Development,Environmental Sustainability,Capacity Development,Widening Access To Markets and Economic Opportunities,Human Development,Natural Resources Conservation,Institutional Development,"DR 2010. para on new proj of the year, pp 12.",,,
Denmark-Energy,Denmark-Energy,2010,7512,,43385-022,REG,Empowering the Poor through Increasing Access to Energy,Denmark-Energy,,J,,,150,14 May 2010,,,06/03/2010,05/14/2010,REG,SDCC,SDAS,Single Donor,R-PP,J,C,,3200,Energy,,,,Economic Growth,Social Development,Environmental Sustainability,,Widening Access To Markets and Economic Opportunities,Human Development,Natural Resources Conservation,,,,,
Denmark-Energy 2,Denmark-Energy 2,2007,4935,,4063501,PRC,Gansu Rural Clean Energy Devt Project,Denmark-Energy 2,,E,,,800, ,, ,06/01/2007,,PRC,EARD,EAEN,Single Donor,AD,E,C,,3200,Energy,3203,Renewable Energy,,Economic Growth,Environmental Sustainability,,,,,,,"DR 2011. para on DEN-Energy, pp 34.",Highly Successful,,
