Product Approval Number,Anchor Product,Donor,Unknown,Approval Year (Date of Approval ADB),Approval Year (ADB),,Approval Numbers,Proj No,MFF Number,Equity Number,Country Mnemonic,Loan/Grant Title,Department,Division,Approval,OCR,ADF Loan,ADF Grant,SF ,Total,Grants,Loans,Commercial,Total CF,Type of Cofinancing,Agreement Type,Admin Arrangement,Source Classification,Source Subtype,ADB Fund Source,Sector Code,Sector,Subsector Code,Subsector,Approval Date CF,Date of Agreement Letter,Theme,Supplementary,cofinanceOfficer,Recording Date,Effectivity Date,Physical Closing Date,Financial Completion Date,Status Cofinancing,Sov-NonSov,PCR Rating,Validation Rating,PPER Rating,Remarks,Publications
8278,3089,CEFPF-CCFPSA,"Canada,CEFPF-CCFPSA",2013,2013,,3089/8277/8278,42916,,,INO,Sarulla Geothermal Power Development,PSOD,PSIF2,12/05/2013,,,,,0,,20,,20,DVA,CFA/TF,Full Administration,Bilateral,Loan,,3200,Energy,,Renewable Energy,,,,No,,12/05/2013,,,,,Non-Sovereign,,,,,
8281,3130,CEFPF-CCFPSA,"Canada,CEFPF-CCFPSA",2014,2014,,3130/7407/8281,47919-014,,,GEO,Adjaristsqali Hydropower,PSOD,PSIF1,05/19/2014,,,,,0,,15,,15,DVA,CFA/TF,Full Administration,Bilateral,Loan,,3200,Energy,,Large Hydropower,,,,No,,05/19/2014,,,,,Non-Sovereign,,,,,
76,9024,CIDA,Canada,2007,2007,,9024/0076,,,,AFG,Road Employment Project for Settlement and Integration of Returning Refugees and Displaced Persons (Supplementary),CWRD,,03/28/2007,,,,,0,12.8,,,12.8,DVA,,Full Administration,Bilateral,Grant,ADF,3700,Transport and ICT,,,,,,,,03/28/2007,08/13/2007,,06/30/2011,,Sovereign,,,,Grant Number 0076; The anchor proj (Grant 9024) was approved in 2002 with funding from JFPR ($15 - 3Oct02) and Kuwait Fund ($15m) on 26May2003.,
109,109,CEF-CEFPF,CEF-CEFPF,2008,2008,,109,,20,,PRC,Capacity Building for Energy Efficiency Implementation,EARD,,06/04/2008,,,,,0,0.8,,,0.8,DVA,,Full Administration,Multi-Donor Trust Fund,Grant,OCR,3200,Energy,,,,,,,,06/04/2008,02/10/1970,,04/24/1974,,Sovereign,,,,,"DR 2009. Case Study: Backing LEDs and Solar Power, pp 30-31."
303,303,CEF-CEFPF,CEF-CEFPF,2012,2012,,0303/2892/2893,43576-013,,,SRI,Clean Energy and Network Efficiency Improvement,SARD,SAEN,09/18/2012,,,,,0,1.5,,,1.5,DVA,CFA/TF,Full Administration,Multi-Donor Trust Fund,Grant,,3200,Energy,,Electricity Transmission and Distribution,,,,No,,09/18/2012,,,,,Sovereign,,,,,
371,370,CEF-CEFPF,CEF-CEFPF,2013,2013,,0370/0371/0373,46044-002,,,SAM,Renewable Energy Development and Power Sector Rehabilitation,PARD,PATE,11/15/2013,,,,,0,1,,,1,DVA,CFA/TF,Full Administration,Multi-Donor Trust Fund,Grant,,3200,Energy,,Renewable Energy,,,,No,,11/15/2013,,,,,Sovereign,,,,,
384,2517,CEF-CEFPF,CEF-CEFPF,2014,2014,,2517/0384,42182-013,,,VIE,Renewable Energy Development and Network Expansion and Rehabilitation for Remote Communes Sector ﾖ Additional Financing,SERD,SEEN,04/09/2014,,,,,0,3,,,3,DVA,CFA/TF,Full Administration,Multi-Donor Trust Fund,Grant,,3200,Energy,,Renewable Energy,07/16/2013,,,Yes,,04/09/2014,,,,Approved,Sovereign,,,,memo of cofinancing approval with Michelle,
183,2587,CEF-CEFPF,CEF-CEFPF,2009,2009,,2587/0183,40553,,,NEP,Energy Access and Efficiency Improvement,SARD,SAEN,11/27/2009,,,,,0,4.2,,,4.2,DVA,,Full Administration,Multi-Donor Trust Fund,Grant,ADF,3200,Energy,,,,,,,,11/27/2009,06/14/2010,,,,Sovereign,,,,,"DR 2011. box on CEFPF, pp 26."
198,2619,CEF-CEFPF,CEF-CEFPF,2010,2010,,2619/0198/8245,40061,,,INO,Java-Bali Electricity Distribution Performance Improvement,SERD,SEEN,03/22/2010,,,,,0,1,,,1,DVA,,Full Administration,Multi-Donor Trust Fund,Grant,OCR,3200,Energy,,,,,,,,03/22/2010,04/25/2011,,,,Sovereign,,,,,
201,2628,CEF-CEFPF,CEF-CEFPF,2010,2010,,2628/EI7311/0201,,,,THA,Solar Power,PSOD,,04/16/2010,,,,,0,2,,,2,DVA,,Full Administration,Multi-Donor Trust Fund,Grant,OCR,3200,Energy,,,,,,,,04/16/2010,03/13/1975,,05/20/1985,,Non-Sovereign,,,,CLEAN ENERGY FUND UNDER THE CLEAN ENERGY FINANCING PARTNERSHIP FACILITY; PIGGYBACKED TO NSP LOAN 2628/EI 7311. ,
202,2632,CEF-CEFPF,CEF-CEFPF,2010,2010,,2632/0202/0203,40682,,,PRC,Integrated Renewable Biomass Energy Development Sector,EARD,,04/16/2010,,,,,0,3,,,3,DVA,,Full Administration,Multi-Donor Trust Fund,Grant,OCR,3900,Multisector,3900,,,,,,,04/16/2010,10/15/2010,,,,Sovereign,,,,,
468,2979,CEF-CEFPF,CEF-CEFPF,2015,2015,,2979/8264/0468,42361-014,,,CAM,Medium-Voltage Sub-Transmission Expansion Sectorﾗ Additional Financing,SERD,SEEN,12/09/2015,,,,,0,1,,,1,DVA,CFA/TF,Full Administration,Multi-Donor Trust Fund,Grant,,3200,Energy,,,,,,Yes,,12/09/2015,,,,Approved,Sovereign,,,,,
354,3015,CEF-CEFPF,CEF-CEFPF,2013,2013,,3015/0354/8272,41074-013,,,INO, West Kalimantan Power Grid Strengthening,SERD,SEEN,08/27/2013,,,,,0,2,,,2,DVA,CFA/TF,Full Administration,Multi-Donor Trust Fund,Grant,,3200,Energy,,,,,,No,,08/27/2013,,,,,Sovereign,,,,,
453,3309,CEF-CEFPF,CEF-CEFPF,2015,2015,,3309/0452/0453,46535-001,,,TAJ,Strengthening Technical and Vocational Education and Training,CWRD,CWPF,11/09/2015,,,,,0,2,,,2,DVA,CFA/TF,Full Administration,Multi-Donor Trust Fund,Grant,,3100,Education,,,03/18/2015,,,No,,11/09/2015,,,,Approved,Sovereign,,,,,
8278,3089,CEFPF-CCFPSA,"Canada,CEFPF-CCFPSA",2013,2013,,3089/8277/8278,42916,,,INO,Sarulla Geothermal Power Development,PSOD,PSIF2,12/05/2013,,,,,0,,20,,20,DVA,CFA/TF,Full Administration,Bilateral,Loan,,3200,Energy,,Renewable Energy,,,,No,,12/05/2013,,,,,Non-Sovereign,,,,,
8281,3130,CEFPF-CCFPSA,"Canada,CEFPF-CCFPSA",2014,2014,,3130/7407/8281,47919-014,,,GEO,Adjaristsqali Hydropower,PSOD,PSIF1,05/19/2014,,,,,0,,15,,15,DVA,CFA/TF,Full Administration,Bilateral,Loan,,3200,Energy,,Large Hydropower,,,,No,,05/19/2014,,,,,Non-Sovereign,,,,,
,2875,CTF,CTF,2012,2012,,2875/7356/8256,45923-01,,,THA,Provincial Solar Power,PSOD,PSIF2,06/25/2012,,,,,0,,15,,15,DVA,,Full Administration,Global Fund,Loan,,3200,Energy,,Renewable Energy,,,,No,,06/25/2012,,,,,Non-Sovereign,,,,"12.60 in the financing plan, however, 15 million was approved as per conversation with Ms. Bing of 20 July 2012, use 15 million to make it consistent with report to CIF Trustee  Cofin 8256",
,2945,CTF,CTF,2012,2012,,2945/7376/CF8260,45924-01,,,THA,Theppana Wind Power,PSOD,PSIF2,11/20/2012,,,,,0,,4,,4,DVA,CFA/TF,Full Administration,Global Fund,Loan,,3200,Energy,,Renewable Energy,,,,No,,11/20/2012,,,,Approved,Non-Sovereign,,,,,
326,2964,CTF,CTF,2012,2012,,2964/0326/8261,43207-013,,,PHI,Market Transformation through Introduction of Energy-Efficient Electric Vehicles,SERD,SEEN,12/11/2012,,,,,0,5,,,5,DVA,PS,Full Administration,Global Fund,Grant,,3700,Transport and ICT,,,,,,No,,12/11/2012,,,,,Sovereign,,,,"The $5 million grant amount also includes $240,000 as project administration fees.","DR 2012. para in SERD section on New Initiatives, pp 25."
8261,2964,CTF,CTF,2012,2012,,2964/0326/8261,43207-013,,,PHI,Market Transformation through Introduction of Energy-Efficient Electric Vehicles,SERD,SEEN,12/11/2012,,,,,0,,100,,100,DVA,PS,Full Administration,Global Fund,Loan,,3700,Transport and ICT,,,,,,No,,12/11/2012,,,,,Sovereign,,,,Cofin 8261,"DR 2012. para in SERD section on New Initiatives, pp 25."
,2992,CTF,CTF,2013,2013,,2992/8268/7384,46934-01,,,THA,Central Thailand Solar Power,PSOD,PSIF2,02/28/2013,,,,,0,,35,,35,DVA,,Full Administration,Global Fund,Loan,,3200,Energy,,Renewable Energy,,,,No,,02/28/2013,,,,,Non-Sovereign,,,,,
8275,3052,CTF,CTF,2013,2013,,3052/8275,45224-003,,,IND,Rajasthan Renewable Energy Transmission Investment Program - Tranche 1,SARD,SAEN,10/22/2013,,,,,0,,88,,88,DVA,CFA/TF,Full Administration,Global Fund,Loan,,3200,Energy,,Electricity Transmission and Distribution,,,,No,,10/22/2013,,,,,Sovereign,,,,,
8277,3089,CTF,CTF,2013,2013,,3089/8277/8278,42916,,,INO,Sarulla Geothermal Power Development,PSOD,PSIF2,12/05/2013,,,,,0,,80,,80,DVA,CFA/TF,Full Administration,Global Fund,Loan,,3200,Energy,,Renewable Energy,,,,No,,12/05/2013,,,,,Non-Sovereign,,,,,
8279,3113,CTF,CTF,2014,2014,,3113/8279,45200-002,,,VIE,Sustainable Urban Transport for Ho Chi Minh City Mass Rapid Transit Line 2,SERD,SETC,02/20/2014,,,,,0,,48.95,,48.95,DVA,CFA/TF,Full Administration,Global Fund,Loan,,3700,Transport and ICT,,Urban Transport,10/16/2013,,,No,,02/20/2014,,,,,Sovereign,,,,,
8289,3219,CTF,CTF,2014,2014,,3219/7435/8289,48233-001,,,THA,Subyai Wind Power,PSOD,PSIF2,12/04/2014,,,,,0,,30,,30,DVA,PS,Full Administration,Global Fund,Loan,,3200,Energy,,Renewable Energy Generation - Wind,,,,No,,12/04/2014,,,,,Sovereign,,,,,
8291,3235,CTF,CTF,2014,2014,,3235/8291,40080-024,,,VIE,Strengthening Sustainable Urban Transport for Ha Noi Metro Line 3,SERD,SETC,12/12/2014,,,,,0,,48.95,,48.95,DVA,PS,Full Administration,Global Fund,Loan,,3700,Transport,,Urban Public Transport,,,,No,,12/12/2014,,,,,Sovereign,,,,,
8302,3363,CTF,CTF,2015,2015,,3363/3364/8302,40080-025,,,VIE,Ha Noi Metro Rail System(Line 3: Nhon-Ha Noi Station Section)ﾗAdditional Financing,SERD,SETC,12/10/2015,,,,,0,,50,,50,DVA,PS,Full Administration,Global Fund,Loan,,3700,Transport,,,,,,No,,12/10/2015,,,,Approved,Sovereign,,,,,
8301,3366,CTF,CTF,2015,2015,,3366/8301,49263-001,,,THA,Northeastern Thailand Wind Power,PSOD,PSIF2,12/08/2015,,,,,0,,18.9,,18.9,DVA,PS,Full Administration,Global Fund,Loan,,3200,Energy,3217,Renewable Energy Generation - Wind,,,,No,,12/08/2015,,,,Approved,Sovereign,,,,,
8283,7409,CTF,CTF,2014,2014,,7409/8283,47937-001,,7409,INO,Rantau Dedap Geothermal Development (Phase 1),PSOD,PSIF2,06/26/2014,,,,,0,,50,,50,DVA,PS,Full Administration,Global Fund,Loan,,3200,Energy,,Renewable Energy,11/11/2013,,,No,,06/26/2014,,,,,Non-Sovereign,,,,,
8298,8298,CTF,CTF,2015,2015,,8298,49238-001,,,IND,Off-Grid Prepaid Solar Leasing,PSOD,PSIF1,12/01/2015,,,,,0,,6,,6,DVA,PS,Full Administration,Global Fund,Loan,,3200,Energy,,,09/04/2014,,,No,,12/01/2015,,,,Approved,Sovereign,,,,,
282,280,Denmark,Denmark,2011,2011,,0280/0281/0282,42094,,,AFG,Energy Sector Development Investment Program ﾖ Tranche 3,CWRD,CWEN,12/22/2011,,,,,0,12.4,,,12.4,DVA,,Full Administration,Bilateral,Grant,,3200,Energy,,Renewable Energy,,,,,,12/22/2011,03/20/2012,,,,Sovereign,,,,,
446,347,Denmark-Energy 2,Denmark,2015,2015,,0347/0348/0444/0445/0446,43452-023,,,TON,Outer Island Renewable EnergyﾗAdditional Financing,PARD,PATE,10/20/2015,,,,,0,0.75,,,0.75,DVA,CFA/TF,Full Administration,Bilateral,Grant,,3200,Energy,,,,,,Yes,,10/20/2015,,,,Approved,Sovereign,,,,,
3712 (L),1835,DANIDA,Denmark,2001,2001,,1835/3712(L),33165,,,PRC,Yellow River Flood Management Sector,EARD,AEFN,08/28/2001,,,,,0,0.3,,,0.3,DVA,,Full Administration,Bilateral,Grant,OCR,3000,Agriculture and Natural Resources,,,,,,,,08/28/2001,09/11/2002,,10/16/2008,,Sovereign,Succesful,,,,
3923(L),1840,DANIDA,Denmark,2002,2002,,1840/3923(L),32236,,,NEP,Teacher Education,SARD,NRM,09/09/2002,,,,,0,0.3,,,0.3,DVA,,Full Administration,Bilateral,Grant,ADF,3100,Education,,,,,,,,09/09/2002,,,12/09/2009,,Sovereign,Succesful,,,,"DR 2012. line on big Development Partnership Results, pp1; box in SARD section, pp 21."
3927(L),1917,DANIDA,Denmark,2002,2002,,1917/3927(L),34022,,,NEP,Secondary Education Support,SARD,SASS,09/20/2002,,,,,0,23.7,,,23.7,DVA,,Full Administration,Bilateral,Grant,ADF,3100,Education,,,,,,,,09/20/2002,,,,,Sovereign,Succesful,,,,
451,3134,DFID,"U.K.,DFID",2015,2015,,3134/0451,47281-001,,,PAK,National Highway Network Development in Balochistan,CWRD,CWTC,11/03/2015,,,,,0,72.4,,,72.4,DVA,PS,Full Administration,Bilateral,Grant,,3700,Transport,,,06/25/2015,,,No,,11/03/2015,,,,Approved,Sovereign,,,,,
406,9135,DFID,"U.K.,DFID",2014,2014,,9135/0277/0382/0406,38097-013,,,NEP,Establishing Women and Children Service Centers ﾖ Additional Financing,SARD,SAHS,03/25/2014,,,,,0,3.2,,,3.2,DVA,PS,Full Administration,Bilateral,Grant,ADF Grant,3400,Health and Social Protection,3405,Social Protection,,,,Yes,,03/25/2014,,,,,Sovereign,,,,,
78,78,EC,EC,2007,2007,,78,,,,SOL,Emergency Assistance,PARD,PAHQ,06/27/2007,,,,,0,4,,,4,DVA,,Full Administration,Multilateral,Grant,ADF Grant,3900,Multisector,3900,,,,,,,06/27/2007,04/03/1972,,03/20/1979,,Sovereign,Successful,,,,
78,78,EC,EC,2009,2009,,78,,,,SOL,Emergency Assistance (Supplementary),PARD,PAHQ,08/27/2009,,,,,0,4.04,,,4.04,DVA,PS,Full Administration,Multilateral,Grant,ADF,3900,Multisector,3900,Multisector,,,,,,08/27/2009,11/03/1972,,03/20/1979,,Sovereign,Successful,,,Additional cofinancing (supplementary),
127,127,EC,EC,2008,2008,,0127/0292/0293,40263-033,,,SOL,Domestic Maritime Support (Sector),PARD,PAHQ,11/25/2008,,,,,0,4.65,,,4.65,DVA,PS,Full Administration,Multilateral,Grant,ADF Grant,3700,Transport,,,,,,,,11/25/2008,02/10/2009,,,,Sovereign,,,,"EC ADB admin grant $5.25 (RRP)- joint cofinancing.  Adj Jan2011 from $5.25 to $4.65 (ref COPP, GFIS - Ruth)","DR 2012. para in PARD section on New Joint Initiatives, pp 16."
176,175,EC,EC,2009,2009,,0175/0176/0177/0207/0210,43381,,,SOL,Second Road Improvement (Sector),PARD,,11/12/2009,,,,,0,3.34,,,3.34,DVA,,Full Administration,Multilateral,Grant,ADF Grant,3700,Transport and ICT,,,,,,,,11/12/2009,03/10/2010,,,,Sovereign,,,,,
445,347,EC,EC,2015,2015,,0347/0348/0444/0445/0446,43452-023,,,TON,Outer Island Renewable EnergyﾗAdditional Financing,PARD,PATE,10/20/2015,,,,,0,3.57,,,3.57,DVA,PS,Full Administration,Multilateral,Grant,,3200,Energy,,,,,,Yes,,10/20/2015,,,,Approved,Sovereign,,,,,
,389,EC,EC,1978,1978,,0389/8030,48192,,,INO,South-East Sulawesi Transmigration and  Area Development,SERD,,12/22/1978,,,,,0,5.99,,,5.99,DVA,,Full Administration,Multilateral,Grant,OCR,3900,Multisector,3900,,,,,,,12/22/1978,07/26/1979,,08/31/1989,,Sovereign,,,,European Economic Community,
424,414,EC,EC,2014,2014,,0414/0424/0443,46455-004,,,NAU,Electricity Supply Security and Sustainability,PARD,PATE,11/07/2014,,,,,0,2.7,,,2.7,DVA,PS,Full Administration,Multilateral,Grant,,3200,Energy,,Energy Utility Services,,,,No,,11/07/2014,,,,,Sovereign,,,,Euro 2 million,
423,422,EC,EC,2014,2014,,0422/0423,44482-025,,,AFG,Transport Network Development Investment Program ﾖ Tranche 4,CWRD,CWTC,12/15/2014,,,,,0,21,,,21,DVA,PS,Full Administration,Multilateral,Grant,,3700,Transport,,Road Transport (Non-Urban),,,,No,,12/15/2014,,,,,Sovereign,,,,,
456,456,EC,EC,2015,2015,,0456/0457,46044-003,,,SAM,Renewable Energy Development and Power Sector RehabilitationﾗAdditional Financing,PARD,PATE,11/18/2015,,,,,0,5.06,,,5.06,DVA,PS,Full Administration,Multilateral,Grant,,3200,Energy,,,04/23/2014,,,Yes,,11/18/2015,,,,Approved,Sovereign,,,,,
4209(L),2015,EC,EC,2003,2003,,2015/4209(L),30216,,,BAN,Second Primary Education Development Program (Sector Loan),SARD,SASS,11/03/2003,,,,,0,100,,,100,DVA,PS,Full Administration,Multilateral,Grant,ADF,3100,Education,,,,,,,,11/03/2003,04/19/2004,,07/19/2012,,Sovereign,Successful,,,") ADB admin.  EUR103,000,000","DR 2009, Case Study: Improving Primary Education in Bangladesh, pp 14-15"
11,2167,EC,EC,2005,2005,,2167/0006/0011/0045/8221,39144,,,SRI,Tsunami-Affected Areas Rebuilding Project,SARD,SLRM,04/14/2005,,,,,0,53.2,,,53.2,DVA,PS,Full Administration,Multilateral,Grant,ADF,3900,Multisector,3900,,,,,,,04/14/2005,07/28/2005,,01/31/2011,,Sovereign,Successful,,,[ATG Grt No.006] EC grant (0011) of Euro 40 million to rehabilitate roads in the South under Component C.,
11,2167,EC,EC,2007,2007,,2167/0006/0011/0045/8221,39144,,,SRI,Tsunami-Affected Areas Rebuilding Project (Supplementary),SARD,,06/19/2007,,,,,0,16,,,16,DVA,,Full Administration,Multilateral,Grant,ADF,3900,Multisector,3900,,,,,,,06/19/2007,07/28/2005,,01/31/2011,,Sovereign,Successful,,,Grant 0011 (SUPPLEMENTARY-COMPONENT C) ,
37,2213,EC,EC,2005,2005,,2213/0029/0037,39631,,,PAK,Earthquake Emergency Assistance,CWRD,PRM,12/13/2005,,,,,0,37.5,,,37.5,DVA,,Full Administration,Multilateral,Grant,ADF,3900,Multisector,3900,,,,,,,12/13/2005,02/14/2006,,,,Sovereign,Succesful,,,,"DR 2012. line on big Development Partnership Results, pp1; para in CWRD section, pp 9; para for PEqF, pp62."
415,3193,EC,EC,2014,2014,,3193/0415,46453-002,,,COO,Renewable Energy Sector,PARD,PATE,11/21/2014,,,,,0,7.26,,,7.26,DVA,PS,Full Administration,Multilateral,Grant,,3200,Energy,,Renewable Energy Generation - Solar,,,,No,,11/21/2014,,,,,Sovereign,,,,,
35,34,Finland,Finland,2005,2005,,0034/0035,,,,CAM,Tonle Sap Sustainable Livelihoods,SERD,SEAE,12/21/2005,,,,,0,4.74,,,4.74,DVA,,Full Administration,Bilateral,Grant,ADF Grant,3000,Agriculture and Natural Resources,,,,,,,,12/21/2005,03/03/1971,,12/29/1977,,Sovereign,Partly successful,,,,
75,2168,Finland,Finland,2007,2007,,2168/7/13/75/0193,36601-013,,,SRI,North East Community Restoration and Development II (Supplementary),SARD,,02/05/2007,,,,,0,0.5,,,0.5,DVA,,Full Administration,Bilateral,Grant,ADF,3000,Agriculture and Natural Resources,,,,,,,,02/05/2007,01/09/2002,,01/23/2009,,Sovereign,Successful,,,,
191,2599,Finland,Finland,2009,2009,,2599/0186/0191/0192/8243,41435,,,CAM,Tonle Sap Poverty Reduction and Smallholder Development,SERD,,12/08/2009,,,,,0,5.75,,,5.75,DVA,,Full Administration,Bilateral,Grant,ADF,3000,Agriculture and Natural Resources,,,,,,,,12/08/2009,03/31/2010,,,,Sovereign,,,,,
8221,2167,AFD,France,2005,2005,,2167/0006/0011/0045/8221,39144,,,SRI,Tsunami-Affected Areas Rebuilding Project,SARD,SLRM,04/14/2005,,,,,0,,13.5,,13.5,DVA,,Full Administration,Bilateral,Loan,ADF,3900,Multisector,3900,,,,,,,04/14/2005,,,,,Sovereign,Successful,,,Grant 0006,
302,2455,GAFSP,GAFSP,2012,2012,,2455/0116/0302,42186-014,,,CAM,Emergency Food Assistance - Additional Financing,SERD,CARM,09/11/2012,,,,,0,24.5,,,24.5,DVA,,Full Administration,Global Fund,Grant,,3000,Agriculture and Natural Resources,,Agriculture and Rural Sector Development,,,,Yes,,09/11/2012,,,,,Sovereign,,,,,"DR 2012. para for GAFSP, pp65."
349,3006,GAFSP,GAFSP,2013,2013,,3006/3007/0349/0350/8271,44321-013,,,CAM,Climate-Resilient Rice Commercialization Sector Development Program,SERD,SEER,06/27/2013,,,,,0,14.6,,,14.6,DVA,CFA/TF,Full Administration,Global Fund,Grant,,3000,Agriculture and Natural Resources,,Land-Based Natural Resources Management,,,,No,,06/27/2013,,,,,Sovereign,,,,,
143,143,GDCF,GDCF,2009,2009,,143,,,,LAO,Small Towns Water Supply and Sanitation Sector,SERD,,02/02/2009,,,,,0,0.5,,,0.5,DVA,,Full Administration,Multi-Donor Trust Fund,Grant,ADF Grant,3800,Water and Other Municipal Infrastructure and Services,,,,,,,,02/02/2009,01/31/1974,,06/24/1981,,Sovereign,,,,,
148,2515,GDCF,GDCF,2009,2009,,2515/0148,41664,,,PHI,Enhancing Midwives' Entrepreneurial and Financial Literacy,SERD,,03/25/2009,,,,,0,0.4,,,0.4,DVA,,Full Administration,Multi-Donor Trust Fund,Grant,OCR,3400,Health and Social Protection,,,,,,,,03/25/2009,08/19/2009,,,,Sovereign,,,,,
189,2607,GDCF,GDCF,2009,2009,,2607/0188/0189,38662,,,PRC,Shanxi Integrated Agricultural Development,EARD,,12/16/2009,,,,,0,0.2,,,0.2,DVA,,Full Administration,Multi-Donor Trust Fund,Grant,OCR,3000,Agriculture and Natural Resources,,,,,,,,12/16/2009,,,,,Sovereign,,,,,
382,9135,GDCF,GDCF,2014,2014,,9135/0277/0382/0406,38097-013,,,NEP,Establishing Women and Children Service Centers ﾖ Additional Financing,SARD,SAHS,03/25/2014,,,,,0,0.3,,,0.3,DVA,CFA/TF,Full Administration,Multi-Donor Trust Fund,Grant,ADF Grant,3400,Health and Social Protection,3405,Social Protection,,,,Yes,,03/25/2014,,,,,Sovereign,,,,,
433,433,GEF,GEF,2015,2015,,433,40253-035,,,VIE,Greater Mekong Subregion Biodiversity Conservation CorridorsﾗAdditional Financing,SERD,SEER,06/24/2015,,,,,0,3.79,,,3.79,DVA,PS,Full Administration,Global Fund,Grant,,3000,"Agriculture, Natural Resources and Rural Development",,,10/23/2014,,,Yes,,06/24/2015,,,,,Sovereign,,,,,
3158,1643,GEF,GEF,1998,1998,,1643/3158(L)/3300(L),30032,,,BAN,Sundarbans Biodiversity Conservation,SARD,SAAE,11/27/1998,,,,,0,12.2,,,12.2,DVA,CFA/TF,Full Administration,Global Fund,Grant,ADF,3000,Agriculture and Natural Resources,,,,,,,,11/27/1998,08/06/1999,,12/19/2007,,Sovereign,Unsuccessful,Unsuccessful,,"GEF(WB) app 10Mar98.  ADB Admin 3158(L). Adj Dec08 ADB $37 to 7.71; GEF $12,2 to 4.64. ref PCR Jun08. File to OAS",
3519(L),1767,GEF,GEF,2001,2001,,1767/3519(L)/3778(L),31381,,,SRI,Protected Area Management and Wildlife Conservations,SARD,,09/13/2001,,,,,0,9,,,9,DVA,PS,Full Administration,Global Fund,Grant,ADF,3000,Agriculture and Natural Resources,,,,,,,,09/13/2001,09/17/2001,,04/08/2009,,Sovereign,Succesful,,,Adj Dec01.  From $10.2  to $9.0.  ADB Admin 3519(L) app 13Sep01,
3945(L),1924,GEF,GEF,2002,2002,,1924/3945(L),33443,,,PRC,Efficient Utilization of Agricultural Wastes,EARD,EAAE,10/22/2002,,,,,0,6.36,,,6.36,DVA,PS,Full Administration,Global Fund,Grant,OCR,3900,Multisector,3900,,,,,,,10/22/2002,06/16/2003,,08/23/2010,,Sovereign,Succesful,,,"R197-02, 1Oct02  TA number was originally issued for this grant 3945",
4571 (L),2157,GEF,GEF,2005,2005,,2157/4571(L),35289,,,PRC,Sanjiang Plain Wetlands Protection,EARD,EAAE,03/14/2005,,,,,0,12.14,,,12.14,DVA,PS,Full Administration,Global Fund,Grant,OCR,3000,Agriculture and Natural Resources,,,,,,,,03/14/2005,12/09/2005,,,,Sovereign,Successfull,,,Approved by GEF (ref 24Mar05 letter of commitment from WB).,
80,2245-2246,GEF,GEF,2008,2008,,2245-2246/0080,37536,,,UZB,Land Improvement,CWRD,,01/09/2008,,,,,0,3,,,3,DVA,PS,Full Administration,Global Fund,Grant,OCR,3000,Agriculture and Natural Resources,,,,,,,,01/09/2008,,,,,Sovereign,,,,This grant is p/b to UZB 2245-2246 approved in 24 Jul 2006.  GEF Grant 0080 (9Jan08).  GEF approved 16Jul2007.,
71,2311,GEF,GEF,2007,2007,,2311/0071,33276,,,PHI,Integrated Coastal Resources Management,SERD,,01/23/2007,,,,,0,9,,,9,DVA,,Full Administration,Global Fund,Grant,OCR,3000,Agriculture and Natural Resources,,,,,,,,01/23/2007,06/29/2007,,,,Sovereign,,,,,
111,2313,GEF,GEF,2008,2008,,2313/0072/0111,37530,,,TAJ,Rural Development (Supplementary),CWRD,,05/15/2008,,,,,0,3.5,,,3.5,DVA,,Full Administration,Global Fund,Grant,ADF,3000,Agriculture and Natural Resources,,,,,,,,05/15/2008,09/14/2007,,,,Sovereign,,,,,
194,2428,GEF,GEF,2009,2009,,2428/0194,36437,,,PRC,Integrated Ecosystem and Water Resources Management in the Baiyangdian Basin,EARD,,10/30/2009,,,,,0,2.98,,,2.98,DVA,,Full Administration,Global Fund,Grant,,3000,Agriculture and Natural Resources,,,,,,,,10/30/2009,03/27/2009,,,,Sovereign,,,,PIGGYBACKED TO L-2428; GLOBAL ENVIRONMENT FACILITY; EARLIER GRANT AMT OF $2.930 MILLION REVISED AS PER GEF LETTER OF 23 FEB 2010 SUPERSEDING LETTER DATED 30OCT09 ,
113,2436,GEF,GEF,2008,2008,,2436/0113,38660,,,PRC,Ningxia Integrated Ecosystem and Agricultural Development,EARD,,08/29/2008,,,,,0,4.55,,,4.55,DVA,PS,Full Administration,Global Fund,Grant,OCR,3000,Agriculture and Natural Resources,,,,,,,,08/29/2008,06/03/2009,,,,Sovereign,,,,$4.545 m GEF joint cf will support a mulfocal appraoch to conserving biodiversy and combating land degradation.,
216,2500,GEF,GEF,2010,2010,,2500/2501/0216,,,,INO,Citarum Watershed Management and Biodiversity Conservation,SERD,SEAE,08/04/2010,,,,,0,3.75,,,3.75,DVA,,Full Administration,Global Fund,Grant,OCR,3000,Agriculture and Natural Resources,,,,,,,,08/04/2010,07/18/1975,,01/29/1986,,Sovereign,,,,,
169,2572,GEF,GEF,2009,2009,,2572/0169,39321,,,PRC,Shaanxi Qinling Biodiversity Conservation and Demonstration,EARD,,10/22/2009,,,,,0,4.27,,,4.27,DVA,,Full Administration,Global Fund,Grant,OCR,3000,Agriculture and Natural Resources,,,,,,,,10/22/2009,10/15/2010,,,,Sovereign,,,,,
203,2632,GEF,GEF,2010,2010,,2632/0202/0203,,,,PRC,Integrated Renewable Biomass Energy Development Sector,EARD,,04/16/2010,,,,,0,9.2,,,9.2,DVA,,Full Administration,Global Fund,Grant,OCR,3900,Multisector,3900,,,,,,,04/16/2010,10/15/2010,,,,Sovereign,,,,,
