,Year,TA No,DMC,Project Name,Type of TA,Type of Cofg,Type of Agreement,Sector,Source Type,Donor Type,Coft Amt,Source,Cofr Approval,ADB Approval
1200,2009,7472,CAM,Implementation of Subprogram 4 of the Financial Sector Program II,CDTA,J,PS,Finance,Bilateral,Single Donor,500.00,LUX,13-Oct-2009,18-Dec-2009
1201,2009,7477,REG,ASEAN+3 Regional Guarantee and Investment Mechanisim (Phase 3),R-PATA,E,C,Finance,Bilateral,Single Donor,"1,370.00",ICFF,18-Dec-2009,21-Dec-2009
1202,2009,7478,IND,Advanced Project Preparedness for Poverty Reduction-Capacity Development of Bihar Power Sector Entities (Subproject 4),CDTA,E,PS,Energy,Bilateral,Single Donor,500.00,UKG,18-Nov-2009,20-Nov-2009
1203,2010,4573,IND,Advanced Project Preparedness for Poverty Reduction - Water Users Association Empowerment for Improved Irrigation Management in Chhattisgarh (Subproject 5) (3rd Supplementary),CDTA,E,C,Agriculture and Natural Resources,Multi-Donor Trust Fund,Multidonor,150.00,MDTF-WFPF,18-Jan-2008,10-Aug-2010
1204,2010,4573,IND,Advanced Project Preparedness for Poverty Reduction - Water Users Association Empowerment for Improved Irrigation Management in Chhattisgarh (Subproject 5) (2nd Supplementary),CDTA,J,PS,Agriculture and Natural Resources,Bilateral,Single Donor,700.00,UKG,18-Nov-2009,03-Feb-2010
1205,2010,6143,REG,Promoting Gender Equality and Women's Empowerment,R-CDTA,J,C,Public Sector Management,Multi-Donor Trust Fund,Multidonor,835.00,GDCF,25-Aug-2010,23-Sep-2010
1206,2010,6293,REG,Managing the Cities in Asia,R-RDTA,E,PS,Water and Other Municipal Infrastructure and Services,Bilateral,Single Donor,422.00,KfW,24-Nov-2010,13-Dec-2010
1207,2010,6293,REG,Managing the Cities in Asia,R-RDTA,E,PS,Water and Other Municipal Infrastructure and Services,Bilateral,Single Donor,"2,000.00",AUT,02-Aug-2010,15-Oct-2010
1208,2010,6293,REG,Managing the Cities in Asia,R-RDTA,E,PS,Water and Other Municipal Infrastructure and Services,Multilateral,Multidonor,92.00,NDF,01-Oct-2009,01-Feb-2010
1209,2010,6293,REG,Managing the Cities in Asia,R-RDTA,J,PS,Water and Other Municipal Infrastructure and Services,Bilateral,Single Donor,"1,365.00",SWE,10-Dec-2009,01-Feb-2010
1210,2010,6353,REG,Private Sector Development Initiative,R-PATA,J,C,Public Sector Management,Bilateral,Single Donor,600.00,AUS,29-Jan-2010,04-Mar-2010
1211,2010,6409,REG,"Strengthening Central Asia Reg Economic Coop, 2007-2009",R-PATA,J,C,Public Sector Management,Bilateral,Single Donor,500.00,PRC-PR Fund,09-Dec-2009,22-Feb-2010
1212,2010,6409,REG,"Strengthening Central Asia Reg Economic Coop, 2007-2009",R-PATA,J,C,Public Sector Management,Special Fund,ADB,"1,000.00",RCIF,,22-Feb-2010
1213,2010,6432,REG,Private Sector-Led Integration and Free Trade Agreements in South Asia,R-CDTA,E,PS,Industry and Trade,Bilateral,Single Donor,131.25,UKG,11-Oct-2010,12-Oct-2010
1214,2010,6438,REG,Implementation of the Technical Support Facility under the Carbon Market Initiative,R-RDTA,J,PS,Energy,Bilateral,Single Donor,400.00,AUT,18-Nov-2009,16-Feb-2010
1215,2010,6455,REG,Supporting the Third High-Level Forum on Aid Effectiveness and its Preparatory Consultation Process,R-PATA,E,PS,Public Sector Management,Bilateral,Single Donor,66.00,GTZ,23-Nov-2010,10-Dec-2010
1216,2010,6485,REG,Promoting Energy Efficiency in the Pacific,R-PATA,J,PS,Energy,Global Fund,Multidonor,200.00,GEF,08-Apr-2010,13-Apr-2010
1217,2010,6498,REG,Knowledge and Innovation Support for ADB's Water Financing Program,R-CDTA,J,C,Agriculture and Natural Resources,Multi-Donor Trust Fund,Multidonor,"1,500.00",MDTF-WFPF,09-Mar-2010,26-Mar-2010
1218,2010,6522,REG,Establishment of the Pacific Infrastructure Advisory Center (Supplementary),R-PATA,E,PS,Multisector,Bilateral,Single Donor,"1,050.00",AUS,04-Jun-2010,19-Nov-2010
1219,2010,7045,VIE,Central Mekong Delta Region Connectivity Project,PPTA,J,PS,Transport and ICT,Bilateral,Single Donor,"1,450.00",AUS,15-Mar-2010,06-Jan-2010
1220,2010,7091,VIE,Ho Chi Min City Water Supply Project,PPTA,J,C,Water and Other Municipal Infrastructure and Services,Multi-Donor Trust Fund,Multidonor,300.00,MDTF-WFPF,09-Mar-2010,16-Apr-2010
1221,2010,7173,NEP,Strengthening Capacity for Managing Climate Change and the Environment,CDTA,J,C,Public Sector Management,Special Fund,ADB,400.00,CCF,15-Dec-2008,11-Aug-2010
1222,2010,7189,INO,Institutional Strengthening for Integrated Water Resources Management in the 6 Cis River Basin Territory,CDTA,E,C,Multisector,Special Fund,ADB,850.00,CCF,05-May-2009,29-Jul-2010
1223,2010,7189,INO,Institutional Strengthening for Integrated Water Resources Management in the 6 Cis River Basin Territory,CDTA,E,C,Multisector,Special Fund,ADB,"1,700.00",CCF,20-May-2009,29-Jul-2010
1224,2010,7215,VIE,Sustainable Rural Infrastructure Development Project in the Northern Mountain Provinces,S-PPTA,J,PS,Agriculture and Natural Resources,Global Fund,Multidonor,50.00,GEF-SCCF,09-Jul-2009,21-Jan-2010
1225,2010,7307,REG,"Regional Cooperation on Knowledge Management, Policy, and Institutional Support to the Coral Triangle Initiative",R-PATA,E,PS,Agriculture and Natural Resources,Bilateral,Single Donor,168.00,AUS,11-Jun-2010,03-Sep-2010
1226,2010,7359,KIR,Tarawa Sanitation Improvement Project,PPTA,E,C,Water and Other Municipal Infrastructure and Services,Bilateral,Single Donor,200.00,AUS-PRIF,11-Feb-2010,23-Dec-2010
1227,2010,7379,REG,Establishment of e-Systems in Support of Infrastructure Finance in Asia,R-CDTA,J,C,Multisector,Bilateral,Single Donor,500.00,EAKPF,02-Sep-2009,07-Sep-2010
1228,2010,7394,REG,Strengthening the Capacity of Pacific Developing Member Countries to Respond to Climate Change (Phase 1),R-CDTA,E,C,Multisector,Bilateral,Single Donor,"1,500.00",ACEF,19-Feb-2010,30-Aug-2010
1229,2010,7400,PNG,Strengthening Rural Primary Health Services Delivery,S-PPTA,J,C,Health and Social Protection,Bilateral,Single Donor,90.00,NZL,16-Dec-2009,04-May-2010
1230,2010,7410,IND,Advanced Project Preparedness for Poverty Reduction-Capacity Development for Sustainable Coastal Protection and Management (Subproject 3),C-CDTA,E,PS,Agriculture and Natural Resources,Bilateral,Single Donor,90.00,UKG,22-Nov-2010,22-Nov-2010
1231,2010,7431,REG,Greater Mekong Subregion Phnom Penh Plan for Development Management IV,R-CDTA,J,C,Public Sector Management,Bilateral,Single Donor,500.00,PRC-PR Fund,09-Dec-2009,05-Feb-2010
1232,2010,7460,CAM,Outcome Monitoring and Procurement Review (Supplementary),R-CDTA,E,PS,Transport and ICT,Bilateral,Single Donor,100.00,AUS,20-Apr-2010,15-Apr-2010
1233,2010,7490,BAN,Second Urban Primary Health Care Project,S-CDTA,E,PS,Health and Social Protection,Bilateral,Single Donor,225.00,UKG,04-Feb-2010,21-Jan-2010
1234,2010,7500,LAO,Enhancing Financial Sector Supervision,CDTA,J,C,Finance,Multi-Donor Trust Fund,Multidonor,250.00,RTFSI,15-Mar-2010,05-Feb-2010
1235,2010,7503,REG,Capacity Strengthening and Institutional Development for Border Management and Trade and Tourism in the Pacific,R-CDTA,J,C,Industry and Trade,Special Fund,ADB,"1,000.00",RCIF,13-Nov-2009,08-Mar-2010
1236,2010,7504,NEP,Increasing Access to Energy in Rural Nepal,CDTA,J,C,Energy,Bilateral,Single Donor,100.00,Second Finnish Technical Assistance Grant Fund,30-Apr-2009,05-Mar-2010
1237,2010,7504,NEP,Increasing Access to Energy in Rural Nepal,CDTA,J,C,Energy,Bilateral,Single Donor,323.00,Denmark-Energy,12-May-2009,05-Mar-2010
1238,2010,7504,NEP,Increasing Access to Energy in Rural Nepal,CDTA,J,C,Energy,Bilateral,Single Donor,510.00,Denmark-Energy 2,12-May-2009,05-Mar-2010
1239,2010,7509,LAO,Capacity Enhancement for Coping with Climate Change,CDTA,J,PS,Multisector,Multilateral,Multidonor,"2,800.00",NDF,25-Jan-2010,11-Mar-2010
1240,2010,7510,REG,Needs Assessment and Development of the Solar Energy Program,R-CDTA,E,C,Energy,Bilateral,Single Donor,"1,000.00",ACEF,03-Feb-2010,17-Mar-2010
1241,2010,7512,REG,Empowering the Poor through Increasing Access to Energy,R-PPTA,J,C,Energy,Bilateral,Single Donor,150.00,Denmark-Energy,14-May-2010,03-Jun-2010
1242,2010,7512,REG,Empowering the Poor through Increasing Access to Energy,R-PPTA,E,C,Energy,Bilateral,Single Donor,"2,000.00",ACEF,10-Feb-2010,09-Apr-2010
1243,2010,7513,PHI,Computer Access Mentorship Program-a Public-Private Partnership for Enhancing Education Quality,CDTA,E,C,Education,Bilateral,Single Donor,500.00,EAKPF,21-Jul-2009,12-Apr-2010
1244,2010,7519,REG,Evidence-Based Advocacy for Fighting HIV/AIDS in Asia and the Pacific: Regional HIV/AIDS Data Hub,R-CDTA,E,C,Health and Social Protection,Special Fund,ADB,500.00,RCIF,09-Nov-2009,14-Apr-2010
1245,2010,7521,REG,"Strengthening Local Chambers of Commerce and Industry along the East-West Economic Corridor to Promote Trade, Investment and Value Chains",R-PATA,E,C,Industry and Trade,Bilateral,Single Donor,600.00,ICFF,02-Dec-2008,30-Mar-2010
1246,2010,7524,NEP,Supporting Government Planning in Building Climate Resilience,S-PATA,E,PS,Multisector,Global Fund,Multidonor,225.00,SCF-PPCR,16-Mar-2010,24-Mar-2010
1247,2010,7525,REG,Establishment of Microinsurance,R-PATA,E,C,Finance,Special Fund,ADB,750.00,RCIF,13-Nov-2009,26-Apr-2010
1248,2010,7527,REG,Best Practice for Regulatory Framework and Use of Credit Rating Information of Domestic Credit Rating Agencies in South Asia,R-PATA,E,C,Finance,Bilateral,Single Donor,550.00,ICFF,09-Apr-2010,11-May-2010
1249,2010,7529,REG,Study on a South Asia Regional Power Exchange,R-RDTA,E,C,Energy,Special Fund,ADB,750.00,RCIF,30-Mar-2009,13-May-2010
1250,2010,7532,REG,Water and Adaptation Interventions in Central and West Asia,R-CDTA,E,C,Multisector,Special Fund,ADB,"1,000.00",RCIF,13-Nov-2009,13-May-2010
1251,2010,7534,REG,Strengthening Carbon Financing for Regional Grassland Management in Northeast Asia,R-CDTA,J,C,Agriculture and Natural Resources,Bilateral,Single Donor,400.00,PRC-PR Fund,03-Jun-2005,17-May-2010
1252,2010,7534,REG,Strengthening Carbon Financing for Regional Grassland Management in Northeast Asia,R-CDTA,J,C,Agriculture and Natural Resources,Special Fund,ADB,"1,000.00",RCIF,13-Nov-2010,17-May-2010
1253,2010,7535,REG,Strengthening the Asia Pacific Adaptation Network,R-RDTA,E,C,Multisector,Bilateral,Single Donor,350.00,Second Finnish Technical Assistance Grant Fund,17-Nov-2009,20-May-2010
1254,2010,7536,REG,Improving Liquidity of Bond Market in ASEAN+3,R-PATA,E,C,Finance,Bilateral,Single Donor,"1,250.00",ICFF,09-Apr-2010,19-May-2010
1255,2010,7538,IND,Advanced Project Preparedness for Poverty Reduction-Land Transport Management and Master Plan for Sikkim (Subproject 6),PATA,E,PS,Transport and ICT,Bilateral,Single Donor,"1,100.00",UKG,18-Nov-2009,21-May-2010
1256,2010,7539,REG,"Asian Bonds Online Website Project, Phase III",R-RDTA,E,C,Finance,Bilateral,Single Donor,"1,000.00",JFPR,03-May-2010,31-May-2010
1257,2010,7540,THA,Mainstreaming Public-Private Partnerships,PATA,E,C,Multisector,Bilateral,Single Donor,500.00,EAKPF,07-Apr-2010,02-Jun-2010
1258,2010,7543,REG,Sharing Knowledge on Community-Driven Development in Asia and the Pacific,R-CDTA,E,C,Multisector,Bilateral,Single Donor,500.00,EAKPF,19-Mar-2010,14-Jun-2010
1259,2010,7549,REG,Developing a Regional Social Investment Exchange Initiative,R-RDTA,E,C,Multisector,Bilateral,Single Donor,600.00,ICFF,23-Dec-2009,18-Jun-2010
1260,2010,7551,GEO,Developing a Geospatial Urban Water Supply and Sanitation Utility Management Systes,CDTA,E,C,Water and Other Municipal Infrastructure and Services,Bilateral,Single Donor,800.00,SPA,29-Apr-2010,23-Jun-2010
1261,2010,7552,REG,Support for Trade Facilitation in the Brunei Darussalam-Indonesia-Malaysia-Philippines East ASEAN Growth Area,R-PATA,J,C,Industry and Trade,Bilateral,Single Donor,500.00,EAKPF,22-Feb-2010,14-Jun-2010
1262,2010,7552,REG,Support for Trade Facilitation in the Brunei Darussalam-Indonesia-Malaysia-Philippines East ASEAN Growth Area,R-PATA,J,C,Industry and Trade,Bilateral,Single Donor,"1,000.00",ICFF,09-Apr-2010,14-Jun-2010
1263,2010,7554,INO,Analytical and Capacity Development Partnership,CDTA,J,PS,Education,Bilateral,Single Donor,"23,000.00",AUS,23-Dec-2010,15-Jun-2010
1264,2010,7554,INO,Analytical and Capacity Development Partnership,CDTA,J,PS,Education,Multilateral,Multidonor,"27,000.00",EC,13-Jul-2010,15-Jun-2010
1265,2010,7556,MON,Public Transport Information and Communication Technology,CDTA,E,C,Transport and ICT,Bilateral,Single Donor,500.00,EAKPF,22-Jan-2010,29-Jun-2010
1266,2010,7557,REG,Promoting Regional Infrastructure Development,R-RDTA,J,C,Transport and ICT,Special Fund,ADB,"1,000.00",RCIF,18-May-2010,29-Jun-2010
1267,2010,7558,REG,Central Asia Regional Economic Cooperation: Power Sector Regional Master Plan,R-RDTA,E,C,Energy,Special Fund,ADB,"1,500.00",RCIF,18-May-2010,30-Jun-2010
1268,2010,7559,GEO,Regional Power Transmission Enhancement Project,PPTA,J,C,Energy,Bilateral,Single Donor,850.00,SPA,13-Jul-2010,28-Jul-2010
1269,2010,7561,REG,Strengthening the Coordination of the GMS Program,R-PATA,J,C,Multisector,Bilateral,Single Donor,500.00,PRC-PR Fund,05-Jul-2010,15-Jul-2010
1270,2010,7561,REG,Strengthening the Coordination of the GMS Program,R-PATA,J,C,Multisector,Special Fund,ADB,450.00,RCIF,18-May-2010,15-Jul-2010
1271,2010,7562,INO,Capacity Development for Metropolitan Sanitation Management and Health,CDTA,J,PS,Water and Other Municipal Infrastructure and Services,Bilateral,Single Donor,"1,000.00",AUS,31-May-2010,19-Jul-2010
1272,2010,7564,PRC,Innovative Financing Mechanisms for Energy Efficiency and Emission Reduction in Small and Medium-Sized Enterprises,PATA,J,C,Finance,Multi-Donor Trust Fund,Multidonor,300.00,CEF-CEFPF,07-May-2010,21-Jul-2010
1273,2010,7565,IND,Advanced Project Preparedness for Poverty Reduction-Preparing an Investment Plan for Himachal Pradesh Urban Development (Subproject 7),PPTA,E,PS,Water and Other Municipal Infrastructure and Services,Bilateral,Single Donor,200.00,UKG,18-Nov-2009,14-Jul-2010
1274,2010,7569,PHI,Three Wind Farm Projects in Luzon,PPTA,E,C,Energy,Bilateral,Single Donor,630.00,ACEF,25-Jun-2010,30-Jul-2010
1275,2010,7571,MON,Reforming Higher Education for a Knowledge Society,PATA,E,C,Education,Bilateral,Single Donor,400.00,JFPR,10-Jun-2010,04-Aug-2010
1276,2010,7573,NEP,Decentralized Rural Infrastructure and Livelihood II,PPTA,E,C,Agriculture and Natural Resources,Bilateral,Single Donor,500.00,JFPR,30-Jul-2010,09-Aug-2010
1277,2010,7575,REG,Determining the Potential for Carbon Capture and Storage in Southeast Asia,R-CDTA,E,C,Energy,Multi-Donor Trust Fund,Multidonor,900.00,CCSF,07-May-2010,11-Aug-2010
1278,2010,7576,REG,Promoting an Interlinked ASEAN Capital Market,R-PATA,J,C,Finance,Bilateral,Single Donor,500.00,EAKPF,20-Apr-2010,09-Aug-2010
1279,2010,7576,REG,Promoting an Interlinked ASEAN Capital Market,R-PATA,J,C,Finance,Bilateral,Single Donor,"1,500.00",ICFF,27-Apr-2010,09-Aug-2010
1280,2010,7580,REG,Capacity Development of Selected Devloping Member Countries on International Taxation: Eighteenth Tax Conference,R-CDTA,E,C,Public Sector Management,Bilateral,Single Donor,181.00,JFPR,06-Aug-2010,20-Aug-2010
1281,2010,7581,REG,Enabling Climate Change Responses in Asia and the Pacific- Supporting Investments in Water and Climate Change (Subproject 1),C-CDTA,E,C,Multisector,Multi-Donor Trust Fund,Multidonor,"1,000.00",MDTF-WFPF,13-May-2009,18-Aug-2010
1282,2010,7582,REG,Greater Mekong Subregion: Capacity Building for HIV/AIDS Prenvetion in Lao People's Democratic Republic and the Socialist Republic of Viet Nam,R-PPTA,J,C,Health and Social Protection,Special Fund,ADB,450.00,RCIF,18-May-2010,18-Aug-2010
1283,2010,7583,INO,Geothermal Power Development Project,PPTA,E,PS,Energy,Bilateral,Single Donor,"1,500.00",AUS,31-May-2010,20-Aug-2010
1284,2010,7587,PHI,Strengthened Gender Impacts for Social Protection,CDTA,E,C,Multisector,Multi-Donor Trust Fund,Multidonor,300.00,GDCF,02-Jun-2010,02-Sep-2010
1285,2010,7588,VAN,State-Owned Enterprise Rationalization Program,PATA,E,C,Public Sector Management,Bilateral,Single Donor,500.00,JFPR,16-Aug-2010,01-Sep-2010
1286,2010,7590,NEP,Hydropower Development for Energy Crisis,PPTA,E,C,Energy,Bilateral,Single Donor,"2,000.00",JFPR,28-Jun-2010,02-Sep-2010
1287,2010,7591,MON,Ulaanbaatar Water and Sanitation Services and Planning Improvement,PATA,E,C,Water and Other Municipal Infrastructure and Services,Bilateral,Single Donor,600.00,JFPR,10-Jun-2010,03-Sep-2010
1288,2010,7599,TAJ,Climate Resiliency for Natural Resources Investments,CDTA,E,PS,Agriculture and Natural Resources,Global Fund,Multidonor,750.00,SCF-PPCR,23-Jun-2010,16-Sep-2010
1289,2010,7600,SRI,Multimodal Transport,PPTA,E,C,Transport and ICT,Bilateral,Single Donor,"1,000.00",JFPR,06-Aug-2010,17-Sep-2010
1290,2010,7601,REG,Updating and Improving the Social Protection Index,R-CDTA,J,C,Multisector,Bilateral,Single Donor,500.00,EAKPF,06-Jul-2010,18-Sep-2010
1291,2010,7611,VIE,"Strengthening Institutional and Financial Arrangements, Operation and Maintenance, and Grovernance in Road Transport",PATA,E,C,Transport and ICT,Bilateral,Single Donor,"1,000.00",JFPR,06-Aug-2010,24-Sep-2010
1292,2010,7612,LAO,Support for Post-Private Sector and Small and Medium-Sized Enterprises Development Program Partnership Framework,PATA,E,C,Industry and Trade,Bilateral,Single Donor,"1,000.00",JFPR,10-Jun-2010,27-Sep-2010
1293,2010,7613,REG,Knowledge Platform Development for the Asia Solar Energy Initiative,R-CDTA,E,C,Energy,Bilateral,Single Donor,"2,000.00",ACEF,14-Jul-2010,01-Oct-2010
1294,2010,7616,SOL,Support for the Formulation of a National Strategic Plan,S-CDTA,E,C,Public Sector Management,Bilateral,Single Donor,200.00,AUS,30-Jun-2010,08-Oct-2010
1295,2010,7618,REG,Development of Regional Cooperation Programs for Mongolia and the People's Republic of China (Phase 2),R-PATA,E,C,Multisector,Special Fund,ADB,900.00,RCIF,18-May-2010,14-Oct-2010
1296,2010,7619,MON,Updating the Energy Sector Development Plan,PATA,E,C,Energy,Bilateral,Single Donor,"1,000.00",JFPR,29-Jul-2010,19-Oct-2010
1297,2010,7624,LAO,Capacity Strengthening for Gender Mainstreaming in the Agriculture Sector,CDTA,E,C,Agriculture and Natural Resources,Bilateral,Single Donor,480.00,JFPR,15-Sep-2010,22-Oct-2010
1298,2010,7625,IND,Deepening Capacity Building for Mainstreaming Public-Private Partnerships,CDTA,E,C,Multisector,Bilateral,Single Donor,"2,000.00",JFPR,29-Jul-2010,22-Oct-2010
1299,2010,7636,PRC,Municipal Natural Gas Infrastructure Development Project (Phase 2),CDTA,E,C,Energy,Multi-Donor Trust Fund,Multidonor,592.00,CEF-CEFPF,07-May-2010,09-Nov-2010
1300,2010,7637,AFG,Power Sector Master Plan,PATA,E,C,Energy,Bilateral,Single Donor,"1,500.00",JFPR,05-Oct-2010,06-Nov-2010
1301,2010,7642,BAN,Energy Efficiency Improvement,CDTA,E,C,Multisector,Bilateral,Single Donor,"1,500.00",ACEF,15-Sep-2010,10-Nov-2010
1302,2010,7643,PRC,Renewable Energy Development in Qinghai,CDTA,J,C,Energy,Multi-Donor Trust Fund,Multidonor,200.00,CEF-CEFPF,07-May-2010,10-Nov-2010
1303,2010,7644,REG,Greater Mekong Subregion: Preparing the Corridors Towns Development Project,R-PPTA,J,C,Water and Other Municipal Infrastructure and Services,Special Fund,ADB,"1,200.00",RCIF,14-Sep-2010,12-Nov-2010
1304,2010,7645,REG,Enabling Climate Change Responses in Asia and the Pacific - Strengthening Planning Capacity for Low Carbon Growth in Developing Asia (Subproject 4),R-RDTA,J,C,Multisector,Bilateral,Single Donor,700.00,ACEF,27-Jul-2010,15-Nov-2010
1305,2010,7645,REG,Enabling Climate Change Responses in Asia and the Pacific - Strengthening Planning Capacity for Low Carbon Growth in Developing Asia (Subproject 4),R-RDTA,J,PS,Multisector,Bilateral,Single Donor,220.00,UKG,23-Jun-2010,15-Nov-2010
1306,2010,7646,COO,Public Finance Management and Public Sector Performance Review,PATA,E,C,Public Sector Management,Bilateral,Single Donor,300.00,JFPR,29-Jul-2010,12-Nov-2010
1307,2010,7650,REG,Regional Transport Development in South Asia,PATA,J,C,Transport and ICT,Special Fund,ADB,900.00,RCIF,18-May-2010,16-Nov-2010
1308,2010,7651,REG,Supporting the Boao Forum for Asia and the Asian Exim Banks Form in Dialogues on Regional Economic Integration and Partnership,R-CDTA,E,C,Multisector,Bilateral,Single Donor,500.00,PRC-PR Fund,05-Jul-2010,22-Nov-2010
1309,2010,7653,INO,Strengthening National Public Procurement Processes,CDTA,E,C,Public Sector Management,Bilateral,Single Donor,"1,000.00",JFPR,20-Apr-2010,19-Nov-2010
1310,2010,7658,PRC,Effective Reservoir Utilization for Integrated Water Resources Management,PATA,J,C,Agriculture and Natural Resources,Multi-Donor Trust Fund,Multidonor,200.00,MDTF-WFPF,07-Jul-2010,19-Nov-2010
1311,2010,7659,SRI,Lagging Local Authorities Infrastructure Development,PPTA,E,C,Water and Other Municipal Infrastructure and Services,Bilateral,Single Donor,700.00,JFPR,12-Nov-2010,23-Nov-2010
1312,2010,7666,NEP,Energy Access and Efficiency Improvement II,PPTA,E,C,Energy,Bilateral,Single Donor,600.00,JFPR,12-Nov-2010,26-Nov-2010
1313,2010,7679,REG,"Promoting Renewable Energy, Clean Fuels, and Energy Efficiency in the Greater Mekong Subregion",R-CDTA,J,C,Energy,Bilateral,Single Donor,800.00,ACEF,15-Sep-2010,18-Nov-2010
1314,2010,7679,REG,"Promoting Renewable Energy, Clean Fuels, and Energy Efficiency in the Greater Mekong Subregion",R-CDTA,J,C,Energy,Multi-Donor Trust Fund,Multidonor,200.00,CEF-CEFPF,07-May-2010,18-Nov-2010
1315,2010,7683,PHI,Urban Water Supply and Sanitation Project,PPTA,E,C,Water and Other Municipal Infrastructure and Services,Bilateral,Single Donor,"2,000.00",FRA,27-Aug-2010,26-Nov-2010
1316,2010,7687,PRC,Strengthening Capacity to Address Climate Change for Small and Medium-Sized City Development,PATA,E,C,Multisector,Bilateral,Single Donor,500.00,EAKPF,20-Aug-2010,06-Dec-2010
1317,2010,7690,REG,Broadening Investor Base for Local Currency bonds in ASEAN+3,R-PATA,E,C,Finance,Bilateral,Single Donor,"1,100.00",ICFF,27-Apr-2010,07-Dec-2010
1318,2010,7698,TIM,Supporting Road Network Development,S-PATA,E,C,Transport and ICT,Bilateral,Single Donor,225.00,JFPR,10-Dec-2010,13-Dec-2010
1319,2010,7706,REG,Comparative Infrastructure Development Assessment of the Kingdom of Thailand and the Republic of Korea ,R-PATA,E,C,Multisector,Bilateral,Single Donor,400.00,EAKPF,22-Nov-2010,10-Dec-2010
1320,2010,7715,SOL,Supporting Transport Sector Development,CDTA,E,C,Transport and ICT,Bilateral,Single Donor,800.00,JFPR,10-Nov-2010,15-Dec-2010
1321,2010,7716,PHI,Decentralized Framework for Sustainable Natural Resources and Rural Infrastructure Management,CDTA,E,C,Agriculture and Natural Resources,Bilateral,Single Donor,"1,300.00",JFPR,10-Dec-2010,17-Dec-2010
1322,2010,7718,REG,"Promoting Links and Improving Coordination Among the Greater Mekong Subregion (GMS), the Brunei Daraussalam-Indonesia-Malaysia-Philippines East ASEAN Growth Area (BIMP-EAGA), the Indonesia-Malaysia-Thailand Growth Triangle (IMT-GT), and the Association of Southeast Asian Nations (ASEAN) ",PATA,E,PS,Multisector,Bilateral,Single Donor,400.00,AUS,10-Dec-2010,15-Dec-2010
1323,2010,7720,BAN,Support to Local Government Engineering Department in Institutionalizing Women's Benefits from Rural Infrastructure Initiatives,CDTA,E,C,Agriculture and Natural Resources,Bilateral,Single Donor,500.00,JFPR,01-Nov-2010,03-Dec-2010
1324,2010,7721,PRC,Developing Smart Grid Technology for Efficient Utilization of Renewable Energy,CDTA,E,C,Energy,Multi-Donor Trust Fund,Multidonor,900.00,CEF-CEFPF,15-Sep-2010,08-Dec-2010
1325,2010,7722,IND,Advanced Project Preparedness for Poverty Reduction-Capacity Development for Community-based Flood Risk Management in Assam (Subproject 10),CDTA,E,PS,Agriculture and Natural Resources,Bilateral,Single Donor,600.00,UKG,18-Nov-2009,07-Dec-2010
1326,2010,7727,NEP,Integrated Urban Development,PPTA,E,C,Water and Other Municipal Infrastructure and Services,Bilateral,Single Donor,800.00,JFPR,09-Dec-2010,13-Dec-2010
1327,2010,7728,LAO,Rural Access Improvement Project along the East-West Economic Corridor,PPTA,E,C,Agriculture and Natural Resources,Bilateral,Single Donor,"1,200.00",JFPR,09-Dec-2010,14-Dec-2010
1328,2010,7729,INO,Capacity Development Assistance for Public-Private Partnerships,CDTA,E,C,Multisector,Bilateral,Single Donor,500.00,JFPR,01-Nov-2010,10-Dec-2010
1329,2010,7731,PRC,Strengthening Participatory Irrigation Management and Project Management Capacity in Qinghai Province,CDTA,J,C,Agriculture and Natural Resources,Multi-Donor Trust Fund,Multidonor,200.00,MDTF-WFPF,09-Mar-2010,16-Dec-2010
1330,2010,7733,PHI,Support for Social Protection Reform,PATA,E,C,Multisector,Bilateral,Single Donor,"1,400.00",JFPR,09-Dec-2010,13-Dec-2010
1331,2010,7735,REG,"Building Capacity for Environmental Prosecution, Adjudication, Dispute Resolution, Compliance, and Enforcement in Asia",RETA,J,C,Public Sector Management,Special Fund,ADB,500.00,RCIF,02-Aug-2010,16-Dec-2010
1332,2010,7739,INO,Supporting Water Operators Partnerships,CDTA,E,PS,Water and Other Municipal Infrastructure and Services,Bilateral,Single Donor,825.00,AUS,20-May-2010,14-Dec-2010
1333,2010,7741,TIM,Support for Effective Aid Management,CDTA,E,C,Public Sector Management,Bilateral,Single Donor,600.00,JFPR,10-Dec-2010,14-Dec-2010
1334,2010,7743,REG,Strengthening Institutional Capacity to Compile and Analyze Financial Soundness Indicators for Investment Climate Assessment,R-CDTA,E,C,Finance,Bilateral,Single Donor,500.00,ICFF,24-Jun-2010,17-Dec-2010
1335,2010,7745,IND,Advanced Project Preparedness for Poverty Reduction-Meghalaya Public Resources Management Development Program (Subproject 9),PPTA,E,PS,Public Sector Management,Bilateral,Single Donor,200.00,UKG,18-Nov-2009,17-Nov-2010
1336,2010,7746,SRI,Technical Education and Vocational Training Sector Development,PPTA,E,C,Education,Bilateral,Single Donor,800.00,JFPR,09-Dec-2010,10-Dec-2010
1337,2010,7749,IND,Capacity Development for Project Management of Infrastructure Development for Rural Livelihood Enhancement,CDTA,E,C,Water and Other Municipal Infrastructure and Services,Bilateral,Single Donor,"1,000.00",JFPR,01-Nov-2010,29-Nov-2010
1338,2010,7753,REG,Strengthening Coastal and Marine Resources Management in the Coral Triangle of the Pacific (Phase 2),R-PATA,J,C,Agriculture and Natural Resources,Special Fund,ADB,800.00,RCIF,18-May-2010,14-Dec-2010
