Partner,Year,Approval Numbers CoFin,Proj No,Country Mnemonic,Loan/Grant Title,Department,Division,Approval,OCR,ADF Loan,ADF Grant,SF,Total,Grants,Loans,Commercial,Total CF
EC,1978,0389/8030,48192,INO,South-East Sulawesi Transmigration and  Area Development,SERD,,12/22/1978,,,,,0,5.99,,,5.99
EC,1979,0396,,BAN,Ashuganj Fertilizer (Supplementary),SARD,BRM,04/26/1979,,,,,0,,3,,3
EC,1979,0417,,PHI,Bicol River Basin Irrigation,SERD,,10/25/1979,,,,,0,,6.2,,6.2
EC,1979,0434,,INO,Tulungagung Drainage,SERD,,12/06/1979,,,,,0,,8.5,,8.5
EC,1979,0439,,PAK,Baluchistan Livestock Development,CWRD,SAAE,12/12/1979,,,,,0,,8.7,,8.7
EC,1979,0445,,NEP,Livestock Development,SARD,SAAE,12/19/1979,,,,,0,,3.08,,3.08
EC,1980,0479,,INO,Lower Citanduy Irrigation,SERD,SEAE,11/13/1980,,,,,0,,4.9,,4.9
EC,1980,0494,,PAK,Second Marine Fisheries Development,CWRD,,12/11/1980,,,,,0,,12,,12
EC,1980,0505,,PAK,Load Despatch and Transmission,CWRD,,12/22/1980,,,,,0,,35,,35
EC,1981,0515,,MYA,Pump Irrigation and Area Development,SERD,,06/23/1981,,,,,0,,6,,6
EC,1981,0522,,INO,Bali Irrigation Sector,SERD,SEAE,09/17/1981,,,,,0,,12.5,,12.5
EC,1981,0529,,PHI,Palawan Integrated Area Development,SERD,,09/29/1981,,,,,0,,7,,7
EC,1981,0558,,BAN,Small-Scale Irrigation (Sector Loan),SARD,SAAE,12/10/1981,,,,,0,,12,,12
EC,1982,0593,,BAN,Bhola Irrigation,SARD,SAAE,11/04/1982,,,,,0,,2.8,,2.8
EC,1983,0664,,THA,Agricultural Credit,SERD,SERD,12/06/1983,,,,,0,,17,,17
EC,1986,0813,,SAM,Afulilo Hydroelectric,PARD,,12/14/1986,,,,,0,,4.75,,4.75
EC,1990,1034,,PHI,Second Palawan Integrated Area Development,SERD,,09/27/1990,,,,,0,,9.9,,9.9
EC,1993,1228,,SAM,Afulilo Hydroelectric (Supplementary),PARD,,04/22/1993,,,,,0,,1.6,,1.6
EC,1994,1331,,PHI,Women's Health & Safe Motherhood,SERD,SESS,11/10/1994,,,,,0,13,,,13
EC,1996,1493,,PAK,Social Action Program (Sector) Project II,CWRD,,11/28/1996,,,,,0,,50,,50
EC,2003,2015/4209(L),30216,BAN,Second Primary Education Development Program (Sector Loan),SARD,SASS,11/03/2003,,,,,0,100,,,100
EC,2004,2123,,VIE,Support to Implementation of Poverty Reduction Program,SERD,VRM,12/09/2004,,,,,0,18,,,18
EC,2005,2167/0006/0011/0045/8221,39144,SRI,Tsunami-Affected Areas Rebuilding Project,SARD,SLRM,04/14/2005,,,,,0,53.2,,,53.2
EC,2005,2194,,VIE,Support to Implementation on Poverty Reduction Program II,SERD,VRM,11/03/2005,,,,,0,9.8,,,9.8
EC,2005,2213/0029/0037,39631,PAK,Earthquake Emergency Assistance,CWRD,PRM,12/13/2005,,,,,0,37.5,,,37.5
EC,2006,2262,,VIE,Support the Implementation of Poverty Reduction Program III,SERD,VRM,10/05/2006,,,,,0,11.6,,,11.6
EC,2007,0078,,SOL,Emergency Assistance,PARD,PAHQ,06/27/2007,,,,,0,4,,,4
EC,2007,2167/0006/0011/0045/8221,39144,SRI,Tsunami-Affected Areas Rebuilding Project (Supplementary),SARD,,06/19/2007,,,,,0,16,,,16
EC,2007,2352,,VIE,Support the Implementation of Poverty Reduction Program IV,SERD,VRM,10/02/2007,,,,,0,27,,,27
EC,2008,0127/0292/0293,40263-033,SOL,Domestic Maritime Support (Sector),PARD,PAHQ,11/25/2008,,,,,0,4.65,,,4.65
EC,2009,0078,,SOL,Emergency Assistance (Supplementary),PARD,PAHQ,08/27/2009,,,,,0,4.04,,,4.04
EC,2009,0175/0176/0177/0207/0210,43381,SOL,Second Road Improvement (Sector),PARD,,11/12/2009,,,,,0,3.34,,,3.34
EC,2011,2761,42122-013,BAN,Third Primary Education Development,SARD,SAHS,07/05/2011,,,,,0,70,,,70
EC,2011,G0272/0289,35174-082,NEP,School Sector Program,SARD,NRM,11/22/2011,,,,,0,47.9,,,47.9
EC,2014,0414/0424/0443,46455-004,NAU,Electricity Supply Security and Sustainability,PARD,PATE,11/07/2014,,,,,0,2.7,,,2.7
EC,2014,0422/0423,44482-025,AFG,Transport Network Development Investment Program ﾖ Tranche 4,CWRD,CWTC,12/15/2014,,,,,0,21,,,21
EC,2014,3193/0415,46453-002,COO,Renewable Energy Sector,PARD,PATE,11/21/2014,,,,,0,7.26,,,7.26
EC,2015,0347/0348/0444/0445/0446,43452-023,TON,Outer Island Renewable EnergyﾗAdditional Financing,PARD,PATE,10/20/2015,,,,,0,3.57,,,3.57
EC,2015,0456/0457,46044-003,SAM,Renewable Energy Development and Power Sector RehabilitationﾗAdditional Financing,PARD,PATE,11/18/2015,,,,,0,5.06,,,5.06
EC,2015,3256,42122-013,BAN,Third Primary Education DevelopmentﾗAdditional Financing,SARD,SAHS,05/20/2015,,,,,0,55.48,,,55.48
EDB,,,,,,,,,0,0,0,0,0,0,310,0,310
EDB,2013,3056/0366,45169-001,KGZ,"Central Asia Regional Economic Cooperation Corridor 3 (Bishkek-Osh Road) Improvement, Phase 4",CWRD,CWTC,11/05/2013,,,,,0,,60,,60
EDB,2014,3212/0419,46348-003,KGZ,Toktogul Rehabilitation Phase 2,CWRD,CWEN,12/02/2014,,,,,0,,100,,100
EDB,2015,2993,42145-043,ARM,North-South Road Corridor Investment ProgramﾗTranche 3 ﾖ Additional Cofinancing,CWRD,CWTC,04/16/2015,,,,,0,,150,,150
EIB,,,,,,,,,0,0,0,0,0,7,2161.08,0,2168.08
EIB,1978,0345,,FIJ,Second Power,PARD,PARD,06/29/1978,,,,,0,,14.8,,14.8
EIB,1981,0536,,FIJ,Third Power,PARD,,11/10/1981,,,,,0,,13.3,,13.3
EIB,1986,0813,,SAM,Afulilo Hydroelectric,PARD,,12/14/1986,,,,,0,,2.54,,2.54
EIB,1993,1276,26347,THA,Second Erawan Gas Transmission,SERD,SEEN,12/02/1993,,,,,0,,35.6,,35.6
EIB,1994,1333,,PHI,Airport Development,SERD,SEID,11/24/1994,,,,,0,,23.19,,23.19
EIB,1995,1357,,INO,Gas Transmission and Distribution,SERD,SEID,06/08/1995,,,,,0,,125.25,,125.25
EIB,1995,1419,,PRC,Ping Hu Oil and Gas Development,EARD,EAEN,12/21/1995,,,,,0,,59.82,,59.82
EIB,1996,1424,,PAK,Ghazi-Barotha Hydropower,CWRD,SAEN,01/18/1996,,,,,0,,60,,60
EIB,1997,1597,,BAN,Lafarge Surma Cement Ltd,PSOD,,12/18/1997,,,,,0,,22.5,,22.5
EIB,1999,1669,,PRC,Chengdu Generale Des Eaux-Marubeni Waterworks Company Limited,PSOD,,02/11/1999,,,,,0,,26.5,,26.5
EIB,2001,1851,,PRC,Guangxi Roads Development,EARD,,10/30/2001,,,,,0,,50,,50
EIB,2005,2162,37734,LAO,GMS: Nam Theun 2 Hydroelectric,SERD,SEID,04/04/2005,,,,,0,,52,,52
EIB,2008,2476,,IND,Rural Electrification of India,SARD,SAGF,11/27/2008,,,,,0,,100,,100
EIB,2011,2741,40080-013,VIE,Ha Noi Metro Rail System (Line 3: Nhon-Ha Noi Station Section),SERD,SETC,03/29/2011,,,,,0,,95,,95
EIB,2012,2956,39500-033,VIE,Ho Chi Minh City Urban Mass Rapid Transit Line 2 Investment Program - Tranche 2,SERD,SETC,11/27/2012,,,,,0,,195,,195
EIB,2012,2966/0320,42378-015,BAN,Power System Expansion and Efficiency Improvement Investment Program - Tranche 1,SARD,SAEN,12/12/2012,,,,,0,,91,,91
EIB,2012,2966/0320,42378-015,BAN,Power System Expansion and Efficiency Improvement Investment Program - Tranche 1,SARD,SAEN,12/12/2012,,,,,0,7,,,7
EIB,2013,2990/2991,43281-013,NEP,Tanahu Hydropower,SARD,SAEN,02/21/2013,,,,,0,,70,,70
EIB,2013,2993,42145-043,ARM,North-South Road Corridor Investment ProgramﾗTranche 3,CWRD,CWTC,09/27/2013,,,,,0,,79.2,,79.2
EIB,2013,3051/8292,42173-013,BAN,Dhaka Environmentally Sustainable Water Supply,SARD,SAUW,10/22/2013,,,,,0,,136,,136
EIB,2013,3098/3099/0380,45007-004,MON,Ulaanbaatar Urban Services and Ger Areas Development Investment Program ﾗ Tranche 1,EARD,EASS,12/12/2013,,,,,0,,28.38,,28.38
EIB,2014,0409/0410/0429,46122-003,MLD,Preparing Outer Islands for Sustainable Energy Development,SARD,SAEN,09/29/2014,,,,,0,,50,,50
EIB,2014,2966/0320,42378-015,BAN,Power System Expansion and Efficiency Improvement Investment Program ﾖ Tranche 1 (Supplementary),SARD,SAEN,02/19/2014,,,,,0,,21,,21
EIB,2014,2990/2991,43281-013,NEP,Tanahu Hydropower,SARD,SAEN,07/18/2014,,,,,0,,15,,15
EIB,2014,3139/0397/0398,44219-014,NEP,South Asia  Subregional Economic Cooperation Power System Expansion,SARD,SAEN,07/04/2014,,,,,0,,120,,120
EIB,2014,3169/3170,46168-001,BAN,South Asia Subregional Economic Cooperation Railway Connectivity: Akhaura-Laksam Double Track,SARD,SATC,09/30/2014,,,,,0,,175,,175
EIB,2014,3186,46268-002,IND,Clean Energy Finance Investment Program ﾖ Tranche 1 ,SARD,SAPF,12/10/2014,,,,,0,,253,,253
EIB,2015,2783/2784,43200-024,PNG,Bridge Replacement for Improved Rural Access Sector,PARD,PNRM,08/24/2015,,,,,0,,50,,50
EIB,2015,3020/3021/0404,46260,TIM,Road Network Upgrading,PARD,PATE,11/20/2015,,,,,0,,50,,50
EIB,2015,3250/0471/8303,45041-002,LAO,Vientiane Sustainable Urban Transport,SERD,SETC,03/10/2015,,,,,0,,20,,20
EIB,2015,3348/3349,45148-008,SRI,Greater Colombo Water and Wastewater Management Improvement Investment ProgramﾗTranche 3,SARD,SAUW,12/08/2015,,,,,0,,50,,50
EIB,2015,3363/3364/8302,40080-025,VIE,Ha Noi Metro Rail System(Line 3: Nhon-Ha Noi Station Section)ﾗAdditional Financing,SERD,SETC,12/10/2015,,,,,0,,77,,77
Finland,,,,,,,,,0,0,0,0,0,24.19,13.32,0,37.51
Finland,1983,0633,,NEP,Hill Forest Development,SARD,AWFN,08/09/1983,,,,,0,,1.4,,1.4
Finland,1983,0665,,MYA,Rangoon General Hospital,SERD,SESS,12/08/1983,,,,,0,,4,,4
Finland,1985,0762,,INO,Forestry Development,SERD,SEAE,11/28/1985,,,,,0,,2,,2
Finland,1988,0889,,PHI,Forestry Sector Program,SERD,SEAE,06/28/1988,,,,,0,,0.92,,0.92
Finland,2003,2063,32499,PHI,Development of Poor Urban Communities Sector,SERD,SESS,12/18/2003,,,,,0,,5,,5
Finland,2005,0034/0035,,CAM,Tonle Sap Sustainable Livelihoods,SERD,SEAE,12/21/2005,,,,,0,4.74,,,4.74
Finland,2007,2168/7/13/75/0193,36601-013,SRI,North East Community Restoration and Development II (Supplementary),SARD,,02/05/2007,,,,,0,0.5,,,0.5
Finland,2009,2599/0186/0191/0192/8243,41435,CAM,Tonle Sap Poverty Reduction and Smallholder Development,SERD,,12/08/2009,,,,,0,5.75,,,5.75
Finland,2011,G0272/0289,35174-082,NEP,School Sector Program,SARD,NRM,11/22/2011,,,,,0,13.2,,,13.2
France,,,,,,,,,0,0,0,0,0,47.59,2595.54,0,2643.13
France,1981,0533,,NEP,Fourth Power,SARD,SAID,11/01/1981,,,,,0,,3.5,,3.5
France,1985,0774,,BAN,Chhatak Cement Plant Expansion,SARD,,12/19/1985,,,,,0,,3.74,,3.74
France,1990,1025,,PAK,Third Telecommunications,CWRD,,08/16/1990,,,,,0,,15,,15
France,1993,1266,26366,LAO,Airports Improvement,SERD,SEID,11/18/1993,,,,,0,,2,,2
France,1994,1143,,PAK,WAPDA Twelfth Power (Sector),CWRD,,11/01/1994,,,,,0,,25,,25
France,1997,1558,,LAO,Power Transmission and Distribution,SERD,,09/30/1997,,,,,0,2.82,,,2.82
France,1997,1561,26451,BAN,Jamuna Bridge Railway Link,SARD,SATC,10/02/1997,,,,,0,,7,,7
France,1997,1564,,VIE,Rural Infrastructure Sector,SERD,SEAE,10/23/1997,,,,,0,,14.78,,14.78
France,1997,1575,,SRI,Third Water Supply and Sanitation Sector,SARD,SASS,11/06/1997,,,,,0,15,,,15
France,1998,1655,,VIE,Vocational and Technical Education,SERD,,11/11/1998,,,,,0,,12.22,,12.22
France,2000,1753,,CAM,Stung Chinit Irrigation and Rural Infrastructure,SERD,SEAE,09/05/2000,,,,,0,2.7,,,2.7
France,2000,1788,30254,LAO,Decentralized Irrigation Development and Management Sector,SERD,SEAE,11/28/2000,,,,,0,2.7,,,2.7
France,2000,1794,,CAM,Provincial Power Supply,SERD,SEEN,12/05/2000,,,,,0,4.63,,,4.63
France,2001,1834,,LAO,Vientiane Urban Infrastructure and Services,SERD,SESS,08/23/2001,,,,,0,4.4,,,4.4
France,2001,1880,28315,VIE,Third Provincial Towns Water Supply & Sanitation,SERD,SESS,12/13/2001,,,,,0,,11,,11
France,2002,1855/3892(L),30292-01,VIE,Second Red River Basin Sector,SERD,SEAE,06/27/2002,,,,,0,,30,,30
France,2002,1903,35496,UZB,Western Uzbekistan Rural Water Supply,CWRD,URM,05/02/2002,,,,,0,,2,,2
France,2002,1932,,VIE,Second Financial Sector Program (Subprogram I),SERD,SEGF,11/20/2002,,,,,0,,19,,19
France,2002,1933,33356,LAO,Nam Ngum River Basin Development Sector,SERD,SEAE,11/11/2002,,,,,0,3.8,,,3.8
France,2003,2014,32336,PRC,Western Yunnan Roads Development (Baoshan-Longling),EARD,EATC,10/28/2003,,,,,0,,38,,38
France,2003,2025/2747,29296-013,VIE,Phuoc Hoa Water Resources,SERD,SEAE,11/27/2003,,,,,0,,34,,34
France,2003,2034,34355,VIE,Central Region Urban Environmental Improvement,SERD,SESS,12/08/2003,,,,,0,,33,,33
France,2003,2035,34379,CAM,Northwest Irrigation Sector,SERD,SERD,12/09/2003,,,,,0,3.74,,,3.74
France,2004,2095,,VIE,Small and Medium-Sized Enterprise Development Program (Subprogram I),SERD,SEGF,10/21/2004,,,,,0,,18,,18
France,2004,2116,36432,PRC,Dali-Lijiang Railway,EARD,EATC,12/02/2004,,,,,0,,40,,40
France,2004,2118,,VIE,Second Financial Sector Program - Subprogram II,SERD,SEGF,12/03/2004,,,,,0,,15.5,,15.5
France,2004,2128,32273,VIE,Northern Power Transmission Sector,SERD,SEID,12/13/2004,,,,,0,,50,,50
France,2005,2162,37734,LAO,GMS: Nam Theun 2 Hydroelectric,SERD,SEID,04/04/2005,,,,,0,6.5,,,6.5
France,2005,2162,37734,LAO,GMS: Nam Theun 2 Hydroelectric,SERD,SEID,04/04/2005,,,,,0,,27,,27
France,2005,2167/0006/0011/0045/8221,39144,SRI,Tsunami-Affected Areas Rebuilding Project,SARD,SLRM,04/14/2005,,,,,0,,13.5,,13.5
France,2005,2167/0006/0011/0045/8221,39144,SRI,Tsunami-Affected Areas Rebuilding Project,SARD,SLRM,04/14/2005,,,,,0,,34.5,,34.5
France,2006,2284,,VIE,Small and Medium Enterprise Development Program - Subprogram II,SERD,SEGF,12/12/2006,,,,,0,,16.4,,16.4
France,2006,2302/8227,39175,VIE,GMS Kunming-Hai Phong Transport Corridor: Yen Vien-Lao Cai Railway Upgrading,SERD,SEID,12/19/2006,,,,,0,,40,,40
France,2006,2302/8227,39175,VIE,GMS Kunming-Hai Phong Transport Corridor: Yen Vien-Lao Cai Railway Upgrading,SERD,SEID,12/19/2006,,,,,0,,37.5,,37.5
France,2007,2357/0103/8236,37097,VIE,Integrated Rural Development Sector Project in the Central Provinces,SERD,SEAE,10/15/2007,,,,,0,,52,,52
France,2007,2357/0103/8236,37097,VIE,Integrated Rural Development Sector Project in the Central Provinces,SERD,SEAE,10/15/2007,,,,,0,1.3,,,1.3
France,2009,2552/2553/8246,42051-023,PAK,Energy Efficiency Investment Program - Tranche I,CWRD,CWEN,09/22/2009,,,,,0,,25,,25
France,2009,2584,39516,PHI,Local Government Financing and Budget Reform Program (Subprogram 2),SERD,,11/26/2009,,,,,0,,216,,216
France,2010,2619/0198/8245,40061,INO,Java-Bali Electricity Distribution Performance Improvement,SERD,SEEN,03/22/2010,,,,,0,,50,,50
France,2010,2636,42080,VIE,Strengthening Water Management and Irrigation Systems Rehabilitation,SERD,,04/20/2010,,,,,0,,28,,28
France,2010,2710-2711,37378,SRI,Jaffna and Kilinochchi Water Supply and Sanitation,SARD,,11/29/2010,,,,,0,,40,,40
France,2011,2025/2747,29296-013,VIE,Phuoc Hoa Water Resources (Supplementary),SERD,SEAE,03/31/2011,,,,,0,,25,,25
France,2011,2741,40080-013,VIE,Ha Noi Metro Rail System (Line 3: Nhon-Ha Noi Station Section),SERD,SETC,03/29/2011,,,,,0,,30,,30
France,2011,2741,40080-013,VIE,Ha Noi Metro Rail System (Line 3: Nhon-Ha Noi Station Section),SERD,SETC,03/29/2011,,,,,0,,325,,325
France,2011,2741,40080-013,VIE,Ha Noi Metro Rail System (Line 3: Nhon-Ha Noi Station Section),SERD,SETC,03/29/2011,,,,,0,,113,,113
France,2012,2862-64/0287/8270,42169-013,BAN,Greater Dhaka Sustainable Urban Transport,SARD,SAUW,04/17/2012,,,,,0,,45,,45
France,2012,2959,42039-035,VIE,Power Transmission Investment Program - Tranche 2,SERD,SEEN,12/05/2012,,,,,0,,100,,100
France,2013,2920/8273,44507-003,VIE,Public-Private Partnership Support - Additional Cofinancing,SERD,SEPF,08/23/2013,,,,,0,,10,,10
France,2013,3015/0354/8272,41074-013,INO, West Kalimantan Power Grid Strengthening,SERD,SEEN,08/27/2013,,,,,0,,49.5,,49.5
France,2013,3051/8292,42173-013,BAN,Dhaka Environmentally Sustainable Water Supply,SARD,SAUW,10/22/2013,,,,,0,,64,,64
France,2013,3068,46093-004,INO,"Inclusive Growth through Improved Connectivity Program, Subprogram 2",SERD,IRM,11/27/2013,,,,,0,,100,,100
France,2013,3087,42378-016,BAN,Power System Expansion and Efficiency Improvement Investment Plan - Tranche 2,SARD,SAEN,12/09/2013,,,,,0,,125,,125
France,2014,3029/3030/8282,45148-007,SRI,Greater Colombo Water and Wastewater Management Improvement Investment Program ﾖ Tranche 2,SARD,SAUW,06/09/2014,,,,,0,,70,,70
France,2014,3111,44253-013,PHI,Local Government Finance and Fiscal Decentralization Reform Program ﾖ  Subprogram 1,SERD,SEPF,02/13/2014,,,,,0,,150,,150
France,2015,3303/8293,49043-001,INO,Sustainable and Inclusive Energy Program (Subprogram 1),SERD,SEEN,09/30/2015,,,,,0,,150,,150
"France,AFD",2014,3146/3147/0084/8290,47037-004,SRI,Green Power Development and Energy Efficiency Improvement Investment Program ﾖ Tranche 1,SARD,SAEN,07/29/2014,,,,,0,,30,,30
"France,AFD",2015,3151/401-2/466-7/8299-300,42334-014,CAM,Rural Roads Improvement IIﾗAdditional Financing,SERD,SETC,12/08/2015,,,,,0,,40,,40
"France,AFD",2015,3316/0455,47127-002,MYA,Mandalay Urban Services Improvement,SERD,SEUW,11/12/2015,,,,,0,,46,,46
"France,AFD",2015,3363/3364/8302,40080-025,VIE,Ha Noi Metro Rail System(Line 3: Nhon-Ha Noi Station Section)ﾗAdditional Financing,SERD,SETC,12/10/2015,,,,,0,,75.9,,75.9
"France,DGT",2015,3363/3364/8302,40080-025,VIE,Ha Noi Metro Rail System(Line 3: Nhon-Ha Noi Station Section)ﾗAdditional Financing,SERD,SETC,12/10/2015,,,,,0,,93.5,,93.5
FTI,,,,,,,,,0,0,0,0,0,70,0,0,70
FTI,2011,G0272/0289,35174-082,NEP,School Sector Program,SARD,NRM,11/22/2011,,,,,0,70,,,70
GAFSP,,,,,,,,,0,0,0,0,0,39.1,0,0,39.1
GAFSP,2012,2455/0116/0302,42186-014,CAM,Emergency Food Assistance - Additional Financing,SERD,CARM,09/11/2012,,,,,0,24.5,,,24.5
GAFSP,2013,3006/3007/0349/0350/8271,44321-013,CAM,Climate-Resilient Rice Commercialization Sector Development Program,SERD,SEER,06/27/2013,,,,,0,14.6,,,14.6
GDCF,,,,,,,,,0,0,0,0,0,1.4,0,0,1.4
GDCF,2009,0143,,LAO,Small Towns Water Supply and Sanitation Sector,SERD,,02/02/2009,,,,,0,0.5,,,0.5
GDCF,2009,2515/0148,41664,PHI,Enhancing Midwives' Entrepreneurial and Financial Literacy,SERD,,03/25/2009,,,,,0,0.4,,,0.4
GDCF,2009,2607/0188/0189,38662,PRC,Shanxi Integrated Agricultural Development,EARD,,12/16/2009,,,,,0,0.2,,,0.2
GDCF,2014,9135/0277/0382/0406,38097-013,NEP,Establishing Women and Children Service Centers ﾖ Additional Financing,SARD,SAHS,03/25/2014,,,,,0,0.3,,,0.3
GEF,,,,,,,,,0,0,0,0,0,134.43,0,0,134.43
GEF,1998,1643/3158(L)/3300(L),30032,BAN,Sundarbans Biodiversity Conservation,SARD,SAAE,11/27/1998,,,,,0,12.2,,,12.2
GEF,2001,1767/3519(L)/3778(L),31381,SRI,Protected Area Management and Wildlife Conservations,SARD,,09/13/2001,,,,,0,9,,,9
GEF,2002,1924/3945(L),33443,PRC,Efficient Utilization of Agricultural Wastes,EARD,EAAE,10/22/2002,,,,,0,6.36,,,6.36
GEF,2002,1939,,CAM,Tonle Sap Environmental Management,SERD,SEAE,11/21/2002,,,,,0,3.93,,,3.93
GEF,2004,4357(L),36445-022,PRC,Capacity Building to Combat Land Degradation,EARD,,06/28/2004,,,,,0,7.7,,,7.7
GEF,2005,2157/4571(L),35289,PRC,Sanjiang Plain Wetlands Protection,EARD,EAAE,03/14/2005,,,,,0,12.14,,,12.14
GEF,2007,2311/0071,33276,PHI,Integrated Coastal Resources Management,SERD,,01/23/2007,,,,,0,9,,,9
GEF,2008,2245-2246/0080,37536,UZB,Land Improvement,CWRD,,01/09/2008,,,,,0,3,,,3
GEF,2008,2313/0072/0111,37530,TAJ,Rural Development (Supplementary),CWRD,,05/15/2008,,,,,0,3.5,,,3.5
GEF,2008,2436/0113,38660,PRC,Ningxia Integrated Ecosystem and Agricultural Development,EARD,,08/29/2008,,,,,0,4.55,,,4.55
GEF,2009,2428/0194,36437,PRC,Integrated Ecosystem and Water Resources Management in the Baiyangdian Basin,EARD,,10/30/2009,,,,,0,2.98,,,2.98
GEF,2009,2572/0169,39321,PRC,Shaanxi Qinling Biodiversity Conservation and Demonstration,EARD,,10/22/2009,,,,,0,4.27,,,4.27
GEF,2010,2500/2501/0216,,INO,Citarum Watershed Management and Biodiversity Conservation,SERD,SEAE,08/04/2010,,,,,0,3.75,,,3.75
GEF,2010,2632/0202/0203,,PRC,Integrated Renewable Biomass Energy Development Sector,EARD,,04/16/2010,,,,,0,9.2,,,9.2
GEF,2010,2656/0212/0239,44058,NEP,Kathmandu Sustainable Urban Transport,SARD,,11/30/2010,,,,,0,2.52,,,2.52
GEF,2011,2744/G0250,40684,PRC,Forestry and Ecological Restoration in Three Northwest Provinces,EARD,EAER,03/29/2011,,,,,0,5.1,,,5.1
GEF,2012,2838/0311,40685-023,PRC,Jiangsu Yancheng Wetlands Protection - Additional Financing,EARD,EAER,09/18/2012,,,,,0,2.25,,,2.25
GEF,2012,2862-64/0287/8270,42169-013,BAN,Greater Dhaka Sustainable Urban Transport,SARD,SAUW,04/17/2012,,,,,0,4.6,,,4.6
GEF,2012,2934/2935/0315,39256-024,MON,Urban Transport Development Investment Program - Tranche 1,EARD,EASS,11/08/2012,,,,,0,1.5,,,1.5
GEF,2012,2957/0324-0325/8266,41220-013,PHI,Integrated Natural Resources and Environmental Management,SERD,SEER,12/03/2012,,,,,0,2.5,,,2.5
GEF,2012,2980/0331,44037-014,PRC,Shaanxi Weinan Luyang Integrated Saline Land Management,EARD,EAER,12/17/2012,,,,,0,2,,,2
GEF,2013,2835/0364,44012-013,PRC,Hebei Energy Efficiency Improvement and Emission Reduction - Additional Financing,EARD,EAEN,10/09/2013,,,,,0,3.65,,,3.65
GEF,2013,3094/0379,46421-001,INO,Coral Reef Rehabilitation and Management Program-Coral Triangle Initiative,SERD,SEER,12/13/2013,,,,,0,8,,,8
GEF,2014,2915/0388,44007-013,PRC,Jiangxi Fuzhou Urban Integrated Infrastructure Improvement ﾖ Additional Financing,EARD,EATC,05/14/2014,,,,,0,2.55,,,2.55
GEF,2014,3216/0420,45022-002,PRC,Jiangxi Ji'an Sustainable Urban Transport,EARD,EATC,12/09/2014,,,,,0,2.55,,,2.55
GEF,2015,0433,40253-035,VIE,Greater Mekong Subregion Biodiversity Conservation CorridorsﾗAdditional Financing,SERD,SEER,06/24/2015,,,,,0,3.79,,,3.79
GEF,2015,3250/0471/8303,45041-002,LAO,Vientiane Sustainable Urban Transport,SERD,SETC,03/10/2015,,,,,0,1.84,,,1.84
GEF-LDCF,,,,,,,,,0,0,0,0,0,7.18,0,0,7.18
GEF-LDCF,2014,3020/3021/0404,46260,TIM,Road Network Upgrading Sector ﾖ Additional Financing,PARD,PATE,09/11/2014,,,,,0,4.5,,,4.5
GEF-LDCF,2015,3331/3332/0459/0460/0461,49319-001,VAN,Cyclone Pam Road Reconstruction Project,PARD,PLCO,11/25/2015,,,,,0,2.68,,,2.68
Germany,,,,,,,,,0,0,0,0,0,185.49,3086.16,0,3271.65
Germany,ERROR: Incorrect data type for operator or @Function: Time/Date expected,2063,32499,PHI,Development of Poor Urban Communities Sector,SERD,SESS,,,,,,0,0.4,,,0.4
Germany,1971,0065,,LAO,Vientiane Power Distribution,SERD,SEID,05/06/1971,,,,,0,,3.73,,3.73
Germany,1975,0217,44236-01,BAN,Ashuganj Fertilizer,SARD,BRM,02/20/1975,,,,,0,,12.1,,12.1
Germany,1975,0231,,SRI,Urea Fertilizer,SARD,,09/18/1975,,,,,0,,24.5,,24.5
Germany,1977,0324/0612,15048,SRI,Kirindi Oya Irrigation and Settlement,SARD,,12/09/1977,,,,,0,,13.3,,13.3
Germany,1978,0375,,INO,Fifth Port,SERD,,12/07/1978,,,,,0,,40.39,,40.39
Germany,1979,0396,,BAN,Ashuganj Fertilizer (Supplementary),SARD,BRM,04/26/1979,,,,,0,,9.95,,9.95
Germany,1979,0403,,SRI,Urea Fertilizer (Supplementary),SARD,AWFN,06/21/1979,,,,,0,,3,,3
Germany,1979,0412,,PHI,Manila Port,SERD,,09/27/1979,,,,,0,,12.25,,12.25
Germany,1979,0437,,MYA,Cement Industry Program,SERD,,12/12/1979,,,,,0,,1.35,,1.35
Germany,1980,0505,,PAK,Load Despatch and Transmission,CWRD,,12/22/1980,,,,,0,,18,,18
Germany,1982,0324/0612,15048,SRI,Kirindi Oya Irrigation and Settlement (Supp.),SARD,,12/09/1982,,,,,0,,7.6,,7.6
Germany,1982,0570,,PAK,Telecommunications,CWRD,,06/17/1982,,,,,0,,30,,30
Germany,1982,0587,,BAN,Ashuganj Thermal Power Generation,SARD,,10/21/1982,,,,,0,,48,,48
Germany,1983,0636,,BAN,Power Transmission and Distribution,SARD,,09/13/1983,,,,,0,,18.05,,18.05
Germany,1983,0674,,INO,Power XVIII,SERD,,12/20/1983,,,,,0,,11,,11
Germany,1984,0701,,PAK,Tarbela Hydropower Extension (Units 11 and 12),CWRD,,11/01/1984,,,,,0,,24.45,,24.45
Germany,1984,0708,,NEP,Sixth Power,SARD,,11/20/1984,,,,,0,,0.5,,0.5
Germany,1985,0760,,PAK,Tarbela Units 13 & 14 and 500 kV Transmission,CWRD,,11/28/1985,,,,,0,,38.6,,38.6
Germany,1986,0824,,PAK,WAPDA Tenth Power (Sector),CWRD,,12/18/1986,,,,,0,,175,,175
