proj_no,approval_number,partner,year,approval_numbers_cofin,loan_grant_title,coms_proj_no,coms_proj_title,coms_project_title
45084-002,0310,IFAD,2012,2913/0310/8258,Coastal Climate-Resilient Infrastructure,45084-002,,COASTAL CLIMATE-RESILIENT INFRASTRUCTURE PROJECT
45084-002,8258,IFAD,2012,2913/0310/8258,Coastal Climate-Resilient Infrastructure,45084-002,,COASTAL CLIMATE-RESILIENT INFRASTRUCTURE PROJECT
41220-013,2957,IFAD,2012,2957/0324-0325/8266,Integrated Natural Resources and Environmental Management,not in CoMs,,not in CoMs
41220-013,8266,IFAD,2012,2957/0324-0325/8266,Integrated Natural Resources and Environmental Management,41220-013,,INTEGRATED NATURAL RESOURCES AND ENVIRONMENTAL MANAGEMENT PROJECT
43566-013,2867,IsDB,2012,2867/0290,"Inclusive Micro, Small, and Medium-sized Enterprise Development",not in CoMs,,not in CoMs
43566-013,0290,IsDB,2012,2867/0290,"Inclusive Micro, Small, and Medium-sized Enterprise Development",not in CoMs,,not in CoMs
42378-015,2966,IsDB,2012,2966/0320,Power System Expansion and Efficiency Improvement Investment Program - Tranche 1,not in CoMs,,not in CoMs
42378-015,0320,IsDB,2012,2966/0320,Power System Expansion and Efficiency Improvement Investment Program - Tranche 1,42378-015,,MFF:POWER SYSTEM EXPANSION AND EFFICIENCY IMPROVEM
45094-001,2857,Japan,2012,2857/2858,Road Network Upgrading,not in CoMs,,not in CoMs
45094-001,2858,Japan,2012,2857/2858,Road Network Upgrading,not in CoMs,,not in CoMs
43396-013,2872,Japan,2012,2872,Increasing Competitiveness for Inclusive Growth Program - Subprogram 1,not in CoMs,,not in CoMs
45127-001,9161,Japan,2012,9161,Enhancing Access to Quality Early Childhood Education Services for Children in Poor Communities,45127-001,,ENHANCING ACCESS TO QLTY ERLY CHILDHD EDUC SRVCS F
45320-001,9162,Japan,2012,9162,Promoting Partnerships and Innovation in Poor and Underserved Communities,45320-001,,PROMTNG PARTNRSHPS & INNOVATN N POOR & UNDERSERVD
41504-024,9163,Japan,2012,9163/0288,Improved Energy Access for Rural Communities,41504-024,,IMPROVED ENERGY ACCESS FOR RURAL COMMUNITIES
41504-024,0288,Japan,2012,9163/0288,Improved Energy Access for Rural Communities,41504-024,,IMPROVED ENERGY ACCESS FOR RURAL COMMUNITIES (NEW
45145-001,9164,Japan,2012,9164,Establishment of Climate-Resilient Rural Livelihoods,45145-001,,ESTABLISHMENT OF CLIMATE-RESILIENT RURAL LIVELIHOO
36222-013,9165,Japan,2012,9165,Community-Based Irrigation Rehabilitation and Development,36222-013,,COMMUNITY-BASED IRRIGATION REHABILITATION AND DEVE
45520-001,9166,Japan,2012,9166,Community Sanitation,45520-001,,COMMUNITY SANITATION PROJECT
45259-001,9167,Japan,2012,9167,Enhanced Agricultural Value Chains for Sustainable Livelihoods,45259-001,,ENHANCED AGRICULTURAL VALUE CHAINS FOR SUSTAINABLE
43069-012,9168,Japan,2012,9168,Livelihood Improvement for River Erosion Victims in Assam,43069-012,,LIVELIHOOD IMPROVEMENT FOR RIVER EROSION VICTIMS I
44359-012,9169,Japan,2012,9169,Agribusiness Development Assistance for Smallholders in Mindanao,44359-012,,AGRIBUSINESS DEVELOPMENT ASSISTANCE FOR_SMALLHOLDE
39581-012,0049,New Zealand,2012,0049/50,Road Improvement (Sector) (3rd Supplementary),39581-012,,ROAD IMPROVEMENT (SECTOR) PROJECT (AUS)
39581-012,0050,New Zealand,2012,0049/50,Road Improvement (Sector) (3rd Supplementary),39581-012,,ROAD IMPROVEMENT (SECTOR) PROJECT (NZ)
40263-033,0127,New Zealand,2012,0127/0292/0293,Domestic Maritime Support (Sector) (Supplementary),40263-022,,DOMESTIC MARITIME SUPPORT (SECTOR) PROJECT
40263-033,0292,New Zealand,2012,0127/0292/0293,Domestic Maritime Support (Sector) (Supplementary),40263-022,,ADDL FIN:DOMESTIC MARITIME SUPPORT (SECTOR) PROJ-
40263-033,0293,New Zealand,2012,0127/0292/0293,Domestic Maritime Support (Sector) (Supplementary),40263-022,,ADDL FIN:DOMESTIC MARITIME SUPPORT (SECTOR) PROJEC
41504-024,9163,New Zealand,2012,9163/0288,Improved Energy Access for Rural Communities,41504-024,,IMPROVED ENERGY ACCESS FOR RURAL COMMUNITIES
41504-024,0288,New Zealand,2012,9163/0288,Improved Energy Access for Rural Communities,41504-024,,IMPROVED ENERGY ACCESS FOR RURAL COMMUNITIES (NEW
45432-002,0301,OFID,2012,0301/8259,Central Asia Regional Economic Cooperation Corridor 6 (Ayni-Uzbekistan Border Road) Improvement,not in CoMs,,not in CoMs
45432-002,8259,OFID,2012,0301/8259,Central Asia Regional Economic Cooperation Corridor 6 (Ayni-Uzbekistan Border Road) Improvement,45432-002,,CAREC 6 (AYNI-UZBEKISTAN BORDER ROAD)IMPROVEMENT PROJECT
40540-014,2949,OFID,2012,2949/8263,South Asia Subregional Economic Cooperation Road Connectivity,not in CoMs,,not in CoMs
40540-014,8263,OFID,2012,2949/8263,South Asia Subregional Economic Cooperation Road Connectivity,40540-014,,SASEC ROAD CONNECTIVITY PROJECT
42361-014,2979,OFID,2012,2979/8264/0468,Medium-Voltage Sub-Transmission Expansion Sector,not in CoMs,,not in CoMs
42361-014,8264,OFID,2012,2979/8264/0468,Medium-Voltage Sub-Transmission Expansion Sector,42361-013,,MEDIUM-VOLTAGE SUB-TRANSMISSION EXPANSION SECTOR PROJECT
42361-014,0468,OFID,2012,2979/8264/0468,Medium-Voltage Sub-Transmission Expansion Sector,42361-014,,MEDIUM-VOLTAGE SUB-TRANSMISSION EXPANSION SECTOR P
43031-013,2962,P.R.C.,2012,2962,Hunan Xiangjiang Inland Waterway Transport,not in CoMs,,not in CoMs
45084-002,2913,SCF-PPCR,2012,2913/0310/8258,Coastal Climate-Resilient Infrastructure,not in CoMs,,not in CoMs
45084-002,0310,SCF-PPCR,2012,2913/0310/8258,Coastal Climate-Resilient Infrastructure,45084-002,,COASTAL CLIMATE-RESILIENT INFRASTRUCTURE PROJECT
45084-002,8258,SCF-PPCR,2012,2913/0310/8258,Coastal Climate-Resilient Infrastructure,45084-002,,COASTAL CLIMATE-RESILIENT INFRASTRUCTURE PROJECT
45084-002,2913,SCF-PPCR,2012,2913/0310/8258,Coastal Climate-Resilient Infrastructure,not in CoMs,,not in CoMs
45084-002,0310,SCF-PPCR,2012,2913/0310/8258,Coastal Climate-Resilient Infrastructure,45084-002,,COASTAL CLIMATE-RESILIENT INFRASTRUCTURE PROJECT
45084-002,8258,SCF-PPCR,2012,2913/0310/8258,Coastal Climate-Resilient Infrastructure,45084-002,,COASTAL CLIMATE-RESILIENT INFRASTRUCTURE PROJECT
40190-013,2970,SCF-PPCR,2012,2970/0330/8262,Greater Mekong Subregion Flood and Drought Risk Management and Mitigation,not in CoMs,,not in CoMs
40190-013,0330,SCF-PPCR,2012,2970/0330/8262,Greater Mekong Subregion Flood and Drought Risk Management and Mitigation,40190-013,,GMS FLOOD AND DROUGHT RISK MANAGEMENT AND MITIGATI
40190-013,8262,SCF-PPCR,2012,2970/0330/8262,Greater Mekong Subregion Flood and Drought Risk Management and Mitigation,40190-013,,GMS FLOOD & DROUGHT RISK MANAGEMENT & MITIGATION PROJECT
40190-013,2970,SCF-PPCR,2012,2970/0330/8262,Greater Mekong Subregion Flood and Drought Risk Management and Mitigation,not in CoMs,,not in CoMs
40190-013,0330,SCF-PPCR,2012,2970/0330/8262,Greater Mekong Subregion Flood and Drought Risk Management and Mitigation,40190-013,,GMS FLOOD AND DROUGHT RISK MANAGEMENT AND MITIGATI
40190-013,8262,SCF-PPCR,2012,2970/0330/8262,Greater Mekong Subregion Flood and Drought Risk Management and Mitigation,40190-013,,GMS FLOOD & DROUGHT RISK MANAGEMENT & MITIGATION PROJECT
43319-033,2983,SCF-PPCR,2012,2983/0334/0335/8265,Greater Mekong Subregion Southern Economic Corridor Towns Development,not in CoMs,,not in CoMs
43319-033,0334,SCF-PPCR,2012,2983/0334/0335/8265,Greater Mekong Subregion Southern Economic Corridor Towns Development,43319-033,,GMS SOUTHERN ECONOMIC CORRIDOR TOWNS DEVELOPMENT P
43319-033,0335,SCF-PPCR,2012,2983/0334/0335/8265,Greater Mekong Subregion Southern Economic Corridor Towns Development,43319-033,,GMS SOUTHERN ECONOMIC CORRIDOR TOWNS DEVELOPMENT P
43319-033,8265,SCF-PPCR,2012,2983/0334/0335/8265,Greater Mekong Subregion Southern Economic Corridor Towns Development,43319-033,,GMS SOUTHERN ECONOMIC CORRIDOR TOWNS DEVELOPMENT PROJECT
43319-033,2983,SCF-PPCR,2012,2983/0334/0335/8265,Greater Mekong Subregion Southern Economic Corridor Towns Development,not in CoMs,,not in CoMs
43319-033,0334,SCF-PPCR,2012,2983/0334/0335/8265,Greater Mekong Subregion Southern Economic Corridor Towns Development,43319-033,,GMS SOUTHERN ECONOMIC CORRIDOR TOWNS DEVELOPMENT P
43319-033,0335,SCF-PPCR,2012,2983/0334/0335/8265,Greater Mekong Subregion Southern Economic Corridor Towns Development,43319-033,,GMS SOUTHERN ECONOMIC CORRIDOR TOWNS DEVELOPMENT P
43319-033,8265,SCF-PPCR,2012,2983/0334/0335/8265,Greater Mekong Subregion Southern Economic Corridor Towns Development,43319-033,,GMS SOUTHERN ECONOMIC CORRIDOR TOWNS DEVELOPMENT PROJECT
39298-013,2695,Sweden,2012,2695/0323,City Region Development - Additional Financing,not in CoMs,,not in CoMs
39298-013,0323,Sweden,2012,2695/0323,City Region Development - Additional Financing,39298-013,,CITY REGION DEVELOPMENT PROJECT-ADDITIONAL FINANCI
42177-013,2878,Sweden,2012,2878/0298,Urban Primary Health Care Services Delivery,not in CoMs,,not in CoMs
42177-013,0298,Sweden,2012,2878/0298,Urban Primary Health Care Services Delivery,42177-013,,URBAN PRIMARY HEALTH CARE SERVICES DELIVERY PROJEC
43319-022,2931,UFPF-UEIF,2012,2931/G0313-0314,Greater Mekong Subregion East-West Economic Corridor Towns Development,not in CoMs,,not in CoMs
43319-043,2969,UFPF-UEIF,2012,2969/0329,Greater Mekong Subregion Corridor Towns Development,not in CoMs,,not in CoMs
43319-043,0329,UFPF-UEIF,2012,2969/0329,Greater Mekong Subregion Corridor Towns Development,43319-043,,GMS CORRIDOR TOWNS DEVELOPMENT PROJECT
43319-033,2983,UFPF-UEIF,2012,2983/0334/0335/8265,Greater Mekong Subregion Southern Economic Corridor Towns Development,not in CoMs,,not in CoMs
43319-033,0334,UFPF-UEIF,2012,2983/0334/0335/8265,Greater Mekong Subregion Southern Economic Corridor Towns Development,43319-033,,GMS SOUTHERN ECONOMIC CORRIDOR TOWNS DEVELOPMENT P
43319-033,0335,UFPF-UEIF,2012,2983/0334/0335/8265,Greater Mekong Subregion Southern Economic Corridor Towns Development,43319-033,,GMS SOUTHERN ECONOMIC CORRIDOR TOWNS DEVELOPMENT P
43319-033,8265,UFPF-UEIF,2012,2983/0334/0335/8265,Greater Mekong Subregion Southern Economic Corridor Towns Development,43319-033,,GMS SOUTHERN ECONOMIC CORRIDOR TOWNS DEVELOPMENT PROJECT
36172-063,0368,U.K.,2012,0305-0306/0368,Strengthening Public Management Program,36172-063,,STRENGTHENING PUBLIC MANAGEMENT PROGRAM
45009-002,2963,WHO,2012,2963,Fifth Health Sector Development,not in CoMs,,not in CoMs
46093-001,2942,World Bank,2012,2942,Inclusive Growth through Improved Connectivity Program - Subprogram 1,not in CoMs,,not in CoMs
43281-013,2990,ADFD,2013,2990/2991,Tanahu Hydropower,not in CoMs,,not in CoMs
43281-013,2991,ADFD,2013,2990/2991,Tanahu Hydropower,not in CoMs,,not in CoMs
42362-013,3083,AIF,2013,3083/8276,Java-Bali 500-Kilovolt Power Transmission Crossing,not in CoMs,,not in CoMs
42362-013,8276,AIF,2013,3083/8276,Java-Bali 500-Kilovolt Power Transmission Crossing,42362-013,,JAVA-BALI 500-KILOVOLT POWER TRANSMISSION CROSSING
46392-001,0374,AITF,2013,0374/0375,North-South Power Transmission Enhancement,not in CoMs,,not in CoMs
46392-001,0375,AITF,2013,0374/0375,North-South Power Transmission Enhancement,46392-001,,NORTH-SOUTH POWER TRANSMISSION ENHANCEMENT PROJECT
45303-001,0336,Australia,2013,336,Rural Energy,45303-001,,RURAL ENERGY PROJECT
43452-023,0347,Australia,2013,0347/0348/0444/0445/0446,Outer Island Renewable Energy,not in CoMs,,not in CoMs
43452-023,0348,Australia,2013,0347/0348/0444/0445/0446,Outer Island Renewable Energy,43452-022,,OUTER ISLAND RENEWABLE ENERGY PROJECT
43452-023,0444,Australia,2013,0347/0348/0444/0445/0446,Outer Island Renewable Energy,not in CoMs,,not in CoMs
43452-023,0445,Australia,2013,0347/0348/0444/0445/0446,Outer Island Renewable Energy,43452-022,,OUTER ISLAND RENEWABLE ENERGY PROJECT - ADDL FIN
43452-023,0446,Australia,2013,0347/0348/0444/0445/0446,Outer Island Renewable Energy,43452-022,,OUTER ISLAND RENEWABLE ENERGY PROJECT - ADDL FIN
36353-013,2372,Australia,2013,2372/0095/2988/0337,Greater Mekong Subregion: Southern Coastal Corridor - Additional Financing,not in CoMs,,not in CoMs
36353-013,0095,Australia,2013,2372/0095/2988/0337,Greater Mekong Subregion: Southern Coastal Corridor - Additional Financing,36353-013,,GMS SOUTHERN COASTAL CORRIDOR PJT (VIET NAM)
36353-013,2988,Australia,2013,2372/0095/2988/0337,Greater Mekong Subregion: Southern Coastal Corridor - Additional Financing,not in CoMs,,not in CoMs
36353-013,0337,Australia,2013,2372/0095/2988/0337,Greater Mekong Subregion: Southern Coastal Corridor - Additional Financing,41496-014,,GMS SOUTHERN COASTAL CORRIDOR PROJECT-ADDITIONAL F
40255-033,3013,Australia,2013,3013/0353,Central Mekong Delta Region Connectivity ,not in CoMs,,not in CoMs
40255-033,0353,Australia,2013,3013/0353,Central Mekong Delta Region Connectivity ,40255-033,,CENTRAL MEKONG DELTA REGION CONNECTIVITY PROJECT
42099-013,2928,Canada,2013,2928/0343,Polytechnic Education Development,not in CoMs,,not in CoMs
42099-013,0343,Canada,2013,2928/0343,Polytechnic Education Development,42099-013,,POLYTECHNIC EDUCATION DEVELOPMENT PROJECT
46044-002,0370,CEF-CEFPF,2013,0370/0371/0373,Renewable Energy Development and Power Sector Rehabilitation,not in CoMs,,not in CoMs
46044-002,0371,CEF-CEFPF,2013,0370/0371/0373,Renewable Energy Development and Power Sector Rehabilitation,46044-002,,RENEWABLE ENERGY DEVELOPMENT & POWER SECTOR REHABI
46044-002,0373,CEF-CEFPF,2013,0370/0371/0373,Renewable Energy Development and Power Sector Rehabilitation,not in CoMs,,not in CoMs
41074-013,3015,CEF-CEFPF,2013,3015/0354/8272, West Kalimantan Power Grid Strengthening,not in CoMs,,not in CoMs
41074-013,0354,CEF-CEFPF,2013,3015/0354/8272, West Kalimantan Power Grid Strengthening,41074-013,,WEST KALIMANTAN POWER GRID STRENGTHENING PROJECT
41074-013,8272,CEF-CEFPF,2013,3015/0354/8272, West Kalimantan Power Grid Strengthening,41074-013,,WEST KALIMANTAN POWER GRID STRENGTHENING PROJECT
45224-003,3052,CTF,2013,3052/8275,Rajasthan Renewable Energy Transmission Investment Program - Tranche 1,not in CoMs,,not in CoMs
45224-003,8275,CTF,2013,3052/8275,Rajasthan Renewable Energy Transmission Investment Program - Tranche 1,45224-003,,MFF:RAJASTHAN RENEWABLE ENERGY TRANSMISSION INVESTMENT PROG-TRNCH
45169-001,3056,EDB,2013,3056/0366,"Central Asia Regional Economic Cooperation Corridor 3 (Bishkek-Osh Road) Improvement, Phase 4",not in CoMs,,not in CoMs
45169-001,0366,EDB,2013,3056/0366,"Central Asia Regional Economic Cooperation Corridor 3 (Bishkek-Osh Road) Improvement, Phase 4",not in CoMs,,not in CoMs
43281-013,2990,EIB,2013,2990/2991,Tanahu Hydropower,not in CoMs,,not in CoMs
43281-013,2991,EIB,2013,2990/2991,Tanahu Hydropower,not in CoMs,,not in CoMs
42145-043,2993,EIB,2013,2993,North-South Road Corridor Investment ProgramﾗTranche 3,not in CoMs,,not in CoMs
42173-013,3051,EIB,2013,3051/8292,Dhaka Environmentally Sustainable Water Supply,not in CoMs,,not in CoMs
42173-013,8292,EIB,2013,3051/8292,Dhaka Environmentally Sustainable Water Supply,42173-013,,DHAKA ENVIRONMENTALLY SUSTAINABLE WATER SUPPLY PROJECT
45007-004,3098,EIB,2013,3098/3099/0380,Ulaanbaatar Urban Services and Ger Areas Development Investment Program ﾗ Tranche 1,not in CoMs,,not in CoMs
45007-004,3099,EIB,2013,3098/3099/0380,Ulaanbaatar Urban Services and Ger Areas Development Investment Program ﾗ Tranche 1,not in CoMs,,not in CoMs
45007-004,0380,EIB,2013,3098/3099/0380,Ulaanbaatar Urban Services and Ger Areas Development Investment Program ﾗ Tranche 1,45007-004,,MFF:ULAANBAATAR URBAN SERVICES AND GER AREAS DEV'T
44507-003,2920,France,2013,2920/8273,Public-Private Partnership Support - Additional Cofinancing,not in CoMs,,not in CoMs
44507-003,8273,France,2013,2920/8273,Public-Private Partnership Support - Additional Cofinancing,44507-002,,PUBLIC-PRIVATE PARTNERSHIP SUPPORT PROJECT(ADD'L FINANCING)
41074-013,3015,France,2013,3015/0354/8272, West Kalimantan Power Grid Strengthening,not in CoMs,,not in CoMs
41074-013,0354,France,2013,3015/0354/8272, West Kalimantan Power Grid Strengthening,41074-013,,WEST KALIMANTAN POWER GRID STRENGTHENING PROJECT
41074-013,8272,France,2013,3015/0354/8272, West Kalimantan Power Grid Strengthening,41074-013,,WEST KALIMANTAN POWER GRID STRENGTHENING PROJECT
42173-013,3051,France,2013,3051/8292,Dhaka Environmentally Sustainable Water Supply,not in CoMs,,not in CoMs
42173-013,8292,France,2013,3051/8292,Dhaka Environmentally Sustainable Water Supply,42173-013,,DHAKA ENVIRONMENTALLY SUSTAINABLE WATER SUPPLY PROJECT
46093-004,3068,France,2013,3068,"Inclusive Growth through Improved Connectivity Program, Subprogram 2",not in CoMs,,not in CoMs
42378-016,3087,France,2013,3087,Power System Expansion and Efficiency Improvement Investment Plan - Tranche 2,not in CoMs,,not in CoMs
44321-013,3006,GAFSP,2013,3006/3007/0349/0350/8271,Climate-Resilient Rice Commercialization Sector Development Program,not in CoMs,,not in CoMs
44321-013,3007,GAFSP,2013,3006/3007/0349/0350/8271,Climate-Resilient Rice Commercialization Sector Development Program,not in CoMs,,not in CoMs
44321-013,0349,GAFSP,2013,3006/3007/0349/0350/8271,Climate-Resilient Rice Commercialization Sector Development Program,44321-013,,CLIMATE-RESILIENT RICE COMMERCIALIZATION SECTOR DE
44321-013,0350,GAFSP,2013,3006/3007/0349/0350/8271,Climate-Resilient Rice Commercialization Sector Development Program,44321-013,,CLIMATE-RESILIENT RICE COMMERCIALIZATION SECTOR DE
44321-013,8271,GAFSP,2013,3006/3007/0349/0350/8271,Climate-Resilient Rice Commercialization Sector Development Program,44321-013,,CLIMATE-RESILIENT RICE COMMERCIALIZATION SECTOR DEVELOPMENT PROG
44012-013,2835,GEF,2013,2835/0364,Hebei Energy Efficiency Improvement and Emission Reduction - Additional Financing,not in CoMs,,not in CoMs
44012-013,0364,GEF,2013,2835/0364,Hebei Energy Efficiency Improvement and Emission Reduction - Additional Financing,44012-013,,HEBEI ENERGY EFFICIENCY IMPROVEMENT&EMISSION REDUC
46421-001,3094,GEF,2013,3094/0379,Coral Reef Rehabilitation and Management Program-Coral Triangle Initiative,not in CoMs,,not in CoMs
46421-001,0379,GEF,2013,3094/0379,Coral Reef Rehabilitation and Management Program-Coral Triangle Initiative,46421-001,,CORAL REEF REHAB&MANAGEMENT PROGRAM-CORAL TRIANGLE
42378-016,3087,IsDB,2013,3087,Power System Expansion and Efficiency Improvement Investment Plan - Tranche 2,not in CoMs,,not in CoMs
47094-001,3090,IsDB,2013,3090/3091/3092,Jamshoro Power Generation,not in CoMs,,not in CoMs
47094-001,3091,IsDB,2013,3090/3091/3092,Jamshoro Power Generation,not in CoMs,,not in CoMs
47094-001,3092,IsDB,2013,3090/3091/3092,Jamshoro Power Generation,not in CoMs,,not in CoMs
46265-001,0365,Japan,2013,365,Energy Efficiency for Ho Chi Minh City Water Supply,46265-001,,ENERGY EFFICIENCY FOR HO CHI MINH CITY WATER SUPPL
41414-043,2730,Japan,2013,2730,Greater Mekong Subregion Ben Luc-Long Thanh Expressway - Tranche 1,not in CoMs,,not in CoMs
43281-013,2990,Japan,2013,2990/2991,Tanahu Hydropower,not in CoMs,,not in CoMs
43281-013,2991,Japan,2013,2990/2991,Tanahu Hydropower,not in CoMs,,not in CoMs
44458-013,3025,Japan,2013,3025/3026,Amu Bukhara Irrigation System Rehabilitation,not in CoMs,,not in CoMs
44458-013,3026,Japan,2013,3025/3026,Amu Bukhara Irrigation System Rehabilitation,not in CoMs,,not in CoMs
42180-013,3045,Japan,2013,3045/3046,Second Public-Private Infrastructure Development Facility,not in CoMs,,not in CoMs
42180-013,3046,Japan,2013,3045/3046,Second Public-Private Infrastructure Development Facility,not in CoMs,,not in CoMs
46093-004,3068,Japan,2013,3068,"Inclusive Growth through Improved Connectivity Program, Subprogram 2",not in CoMs,,not in CoMs
46010-001,9170,Japan,2013,9170,Women's Entrepreneurship Development,46010-001,,WOMEN'S ENTREPRENEURSHIP DEVELOPMENT PROJECT
46077-001,9171,Japan,2013,9171,Improved Maternal and Child Health through Connectivity,46077-001,,IMPROVED MATERNAL AND CHILD HEALTH THROUGH CONNECT
46284-001,9172,Japan,2013,9172,Pilot Project on Weather Index-Based Crop Insurance,46284-001,,PILOT PROJECT ON WEATHER INDEX-BASED CROP INSURANC
46074-001,9173,Japan,2013,9173,Greater Mekong Subregion: Livelihood Support for Corridor Towns,46074-001,,GREATER MEKONG SUBREGION:LIVELIHOOD SUPPORT FOR CO
47311-001,9174,Japan,2013,9174,Enhancing Rural Livelihoods and Incomes,47311-001,,ENHANCING RURAL LIVELIHOODS AND INCOMES
47338-001,9175,Japan,2013,9175,Emergency Assistance and Early Recovery for Poor Municipalities Affected by Typhoon Yolanda ,47338-001,,EMERG ASSIST&EARLY RECOV FR POOR MUNICIPALITIES_AF
46490-001,9176,Japan,2013,9176,Greater Mekong Subregion (GMS) Capacity Building for HIV/AIDs Prevention,46490-001,,GREATER MEKONG SUBREGION CAPACITY BUILDING FOR HIV
40255-033,3013,Korea,2013,3013/0353,Central Mekong Delta Region Connectivity ,not in CoMs,,not in CoMs
40255-033,0353,Korea,2013,3013/0353,Central Mekong Delta Region Connectivity ,40255-033,,CENTRAL MEKONG DELTA REGION CONNECTIVITY PROJECT
44213-016,3047,Korea,2013,3047,Secondary Education Sector Investment Program - Tranche 1 (Supplementary),not in CoMs,,not in CoMs
44214-024,0357,NDF,2013,0357/0358,Building Climate Resilience of Watersheds in Mountain Eco-Regions,44214-024,,BUILDING CLIMATE RESILIENCE OF WATERSHEDS IN MOUNT
44214-024,0358,NDF,2013,0357/0358,Building Climate Resilience of Watersheds in Mountain Eco-Regions,44214-024,,PART ADMIN:BLDG CLIMATE RESILIENCE OF WATERSHEDS I
42145-043,2993,Neighbourhood Investment Facility,2013,2993,North-South Road Corridor Investment ProgramﾗTranche 3,not in CoMs,,not in CoMs
43524-014,3000,OFID,2013,3000/0342/8269,Kathmandu Valley Wastewater Management,not in CoMs,,not in CoMs
43524-014,0342,OFID,2013,3000/0342/8269,Kathmandu Valley Wastewater Management,43524-014,,PART ADMIN: KATHMANDU VALLEY WASTEWASTER MANAGEMEN
43524-014,8269,OFID,2013,3000/0342/8269,Kathmandu Valley Wastewater Management,43524-014,,KATHMANDU VALLEY WASTEWATER MANAGEMENT PROJECT
45301-002,3041,Phu Bia Mining Limited,2013,3041/0363,Water Supply and Sanitation Sector,not in CoMs,,not in CoMs
45301-002,0363,Phu Bia Mining Limited,2013,3041/0363,Water Supply and Sanitation Sector,45301-002,,WATER SUPPLY AND SANITATION_SECTOR PROJECT
46058-002,3075,P.R.C.,2013,3075,Qinghai Delingha Concentrated Solar Thermal Power,not in CoMs,,not in CoMs
45354-002,0352,SCF-PPCR,2013,352,Building Climate Resilience in the Pyanj River Basin,45354-002,,BUILDING CLIMATE RESILIENCE IN THE PYANJ RIVER BAS
44214-024,0357,SCF-PPCR,2013,0357/0358,Building Climate Resilience of Watersheds in Mountain Eco-Regions,44214-024,,BUILDING CLIMATE RESILIENCE OF WATERSHEDS IN MOUNT
44214-024,0358,SCF-PPCR,2013,0357/0358,Building Climate Resilience of Watersheds in Mountain Eco-Regions,44214-024,,PART ADMIN:BLDG CLIMATE RESILIENCE OF WATERSHEDS I
46351-002,0378,SCF-PPCR,2013,378,Climate Resilience Sector,46351-002,,CLIMATE RESILIENCE SECTOR PROJECT
44321-013,3006,SCF-PPCR,2013,3006/3007/0349/0350/8271,Climate-Resilient Rice Commercialization Sector Development Program,not in CoMs,,not in CoMs
44321-013,3007,SCF-PPCR,2013,3006/3007/0349/0350/8271,Climate-Resilient Rice Commercialization Sector Development Program,not in CoMs,,not in CoMs
44321-013,0349,SCF-PPCR,2013,3006/3007/0349/0350/8271,Climate-Resilient Rice Commercialization Sector Development Program,44321-013,,CLIMATE-RESILIENT RICE COMMERCIALIZATION SECTOR DE
44321-013,0350,SCF-PPCR,2013,3006/3007/0349/0350/8271,Climate-Resilient Rice Commercialization Sector Development Program,44321-013,,CLIMATE-RESILIENT RICE COMMERCIALIZATION SECTOR DE
44321-013,8271,SCF-PPCR,2013,3006/3007/0349/0350/8271,Climate-Resilient Rice Commercialization Sector Development Program,44321-013,,CLIMATE-RESILIENT RICE COMMERCIALIZATION SECTOR DEVELOPMENT PROG
44321-013,3006,SCF-PPCR,2013,3006/3007/0349/0350/8271,Climate-Resilient Rice Commercialization Sector Development Program,not in CoMs,,not in CoMs
44321-013,3007,SCF-PPCR,2013,3006/3007/0349/0350/8271,Climate-Resilient Rice Commercialization Sector Development Program,not in CoMs,,not in CoMs
44321-013,0349,SCF-PPCR,2013,3006/3007/0349/0350/8271,Climate-Resilient Rice Commercialization Sector Development Program,44321-013,,CLIMATE-RESILIENT RICE COMMERCIALIZATION SECTOR DE
44321-013,0350,SCF-PPCR,2013,3006/3007/0349/0350/8271,Climate-Resilient Rice Commercialization Sector Development Program,44321-013,,CLIMATE-RESILIENT RICE COMMERCIALIZATION SECTOR DE
44321-013,8271,SCF-PPCR,2013,3006/3007/0349/0350/8271,Climate-Resilient Rice Commercialization Sector Development Program,44321-013,,CLIMATE-RESILIENT RICE COMMERCIALIZATION SECTOR DEVELOPMENT PROG
45007-004,3098,UFPF-UEIF,2013,3098/3099/0380,Ulaanbaatar Urban Services and Ger Areas Development Investment Program ﾗ Tranche 1,not in CoMs,,not in CoMs
45007-004,3099,UFPF-UEIF,2013,3098/3099/0380,Ulaanbaatar Urban Services and Ger Areas Development Investment Program ﾗ Tranche 1,not in CoMs,,not in CoMs
45007-004,0380,UFPF-UEIF,2013,3098/3099/0380,Ulaanbaatar Urban Services and Ger Areas Development Investment Program ﾗ Tranche 1,45007-004,,MFF:ULAANBAATAR URBAN SERVICES AND GER AREAS DEV'T
39293-037,3008,World Bank,2013,3008/3009,Education Sector Development Program,not in CoMs,,not in CoMs
39293-037,3009,World Bank,2013,3008/3009,Education Sector Development Program,not in CoMs,,not in CoMs
42180-013,3045,World Bank,2013,3045/3046,Second Public-Private Infrastructure Development Facility,not in CoMs,,not in CoMs
42180-013,3046,World Bank,2013,3045/3046,Second Public-Private Infrastructure Development Facility,not in CoMs,,not in CoMs
44213-016,3047,World Bank,2013,3047,Secondary Education Sector Investment Program - Tranche 1,not in CoMs,,not in CoMs
46093-004,3068,World Bank,2013,3068,"Inclusive Growth through Improved Connectivity Program, Subprogram 2",not in CoMs,,not in CoMs
