Year,TA No,DMC,Project Name,Type of TA,Type of Cofg,Type of Agreement,Sector,Source Type,Donor Type,Coft Amt,Source,Cofr Approval,ADB Approval
2003,4140,BAN,Supporting Good Governance Initiatives,ADTA,J,C,Finance,Multi-Donor Trust Fund,Multidonor,250.00,GCF,15-May-2003,04-Jul-2003
2003,4142,PRC,Preventing HIV/AIDS on Road Projects in Yunnan Province,ADTA,C,C,Health and Social Protection,Multi-Donor Trust Fund,Multidonor,800.00,PRF,01-Jul-2002,14-Jul-2003
2003,4148,INO,Sustainable Aquaculture Development for Food Security and Poverty Reduction,PPTA,E,PS,Agriculture and Natural Resources,Bilateral,Single Donor,800.00,UKG,10-Jul-2003,16-Jul-2003
2003,4150,IND,Assam Governance and Public Resource Management Program,PPTA,E,C,Public Sector Management,Bilateral,Single Donor,700.00,UKG,30-Jun-2003,17-Jul-2003
2003,4153,IND,Administration of Justice,ADTA,E,C,Public Sector Management,Bilateral,Single Donor,500.00,UKG,30-Jun-2003,25-Jul-2003
2003,4159,INO,Flood Management in Selected River Basins Project,PPTA,J,PS,Agriculture and Natural Resources,Bilateral,Single Donor,"1,000.00",NET,,12-Aug-2003
2003,4161,INO,"Strengthening Civil Society Participation in the Design, Implementation and Monitoring of ADB Projects",ADTA,J,PS,Public Sector Management,Bilateral,Single Donor,100.00,UKG,,13-Aug-2003
2003,4163,VIE,Provincial Development Planning in the Central Highlands,ADTA,E,C,Public Sector Management,Multi-Donor Trust Fund,Multidonor,150.00,GCF,15-May-2003,20-Aug-2003
2003,4169,CAM,Capacity Building of Electricity Authority of Cambodia,ADTA,E,C,Energy,Multi-Donor Trust Fund,Multidonor,240.00,GCF,15-May-2003,02-Sep-2003
2003,4173,UZB,Off-Grid Renewable Energy Development,ADTA,E,C,Energy,Bilateral,Single Donor,350.00,Denmark-Energy,15-Aug-2003,15-Sep-2003
2003,4174,PHI,Rehabilitation of Renewable Energy Projects for Rural Electrification and Livelihood Development,ADTA,E,C,Energy,Bilateral,Single Donor,450.00,Denmark-Energy,28-Jan-2003,16-Sep-2003
2003,4176,INO,Development of a Poverty Reduction Strategy Towards Achieving the MDGs,ADTA,J,PS,Public Sector Management,Bilateral,Single Donor,110.00,UKG,,17-Sep-2003
2003,4182,IND,Urban Clean Fuel ,PPTA,E,C,Energy,Bilateral,Single Donor,995.00,UKG,30-Jun-2003,24-Sep-2003
2003,4190,KAZ,Supporting Local Government Reforms,ADTA,J,C,Public Sector Management,Multi-Donor Trust Fund,Multidonor,100.00,GCF,15-May-2003,06-Oct-2003
2003,4191,KAZ,Strengthening Government Program Performance,ADTA,J,C,Public Sector Management,Multi-Donor Trust Fund,Multidonor,150.00,GCF,15-May-2003,06-Oct-2003
2003,4192,IND,Agribusiness and Commercial Agriculture Assessment,ADTA,E,C,Agriculture and Natural Resources,Bilateral,Single Donor,600.00,UKG,30-Jun-2003,09-Oct-2003
2003,4193,PAK,Industrial Environmental Management Capacity Building,ADTA,E,PS,Industry and Trade,Bilateral,Single Donor,"1,000.00",NOR,03-Dec-2002,09-Oct-2003
2003,4197,CAM,Tonle Sap Sustainable Livelihoods Project,PPTA,J,PS,Agriculture and Natural Resources,Bilateral,Single Donor,560.00,FIN,29-Oct-2003,16-Oct-2003
2003,4200,PRC,A Fund for Strategic Policy Conferences and Studies for Poverty Reduction,ADTA,E,C,Public Sector Management,Multi-Donor Trust Fund,Multidonor,400.00,PRF,01-Aug-2003,21-Oct-2003
2003,4205,VIE,Early Childhood Development for the Poor,ADTA,E,C,Health and Social Protection,Multi-Donor Trust Fund,Multidonor,450.00,PRF,01-Dec-2002,24-Oct-2003
2003,4207,PAK,Support to Implementation of Decentralization II,ADTA,J,PS,Public Sector Management,Bilateral,Single Donor,159.00,CAN,,27-Oct-2003
2003,4207,PAK,Support to Implementation of Decentralization II,ADTA,J,PS,Public Sector Management,Bilateral,Single Donor,550.00,NET,09-Jul-2003,27-Oct-2003
2003,4207,PAK,Support to Implementation of Decentralization II,ADTA,J,PS,Public Sector Management,Bilateral,Single Donor,"1,440.00",UKG,30-Jul-2003,27-Oct-2003
2003,4215,PRC,Safe Drinking Water and Sanitation for the Rural Poor,ADTA,E,C,Water and Other Municipal Infrastructure and Services,Multi-Donor Trust Fund,Multidonor,400.00,PRF,01-Aug-2003,12-Nov-2003
2003,4216,IND,Chhattisgarh Irrigation Development Sector Project,PPTA,E,C,Agriculture and Natural Resources,Bilateral,Single Donor,900.00,UKG,14-Aug-2003,13-Nov-2003
2003,4220,IND,Rural Roads Sector II,PPTA,E,C,Transport and ICT,Bilateral,Single Donor,"1,000.00",UKG,14-Apr-2003,20-Nov-2003
2003,4222,PRC,"Policy Study on the Poverty Reduction Program of PRC - Trends, Challenges, Future Direction",ADTA,E,C,Public Sector Management,Multi-Donor Trust Fund,Multidonor,150.00,PRF,01-Aug-2003,20-Nov-2003
2003,4226,IND,Pension Reforms for the Unorganized Sector,ADTA,E,C,Finance,Bilateral,Single Donor,"1,000.00",UKG,14-Apr-2003,25-Nov-2003
2003,4230,PAK,Balochistan Resource Management Program,PPTA,J,PS,Public Sector Management,Bilateral,Single Donor,250.00,NET,04-Sep-2003,28-Nov-2003
2003,4231,TAJ,Institutional Development for Improved Environmental Strategic Planning and Policy,ADTA,E,C,Agriculture and Natural Resources,Bilateral,Single Donor,220.00,Second Finnish Technical Assistance Grant Fund,,02-Dec-2003
2003,4241,IND,Reorganization of Assam State Electricity Board,ADTA,E,C,Energy,Bilateral,Single Donor,"1,000.00",UKG,14-Apr-2003,10-Dec-2003
2003,4242,IND,Institutional Development for Rural Electrification,ADTA,E,C,Energy,Bilateral,Single Donor,400.00,UKG,14-Apr-2003,10-Dec-2003
2003,4243,IND,Policy and Legal Support for Power Sector Reform,ADTA,E,C,Energy,Bilateral,Single Donor,100.00,UKG,14-Apr-2003,10-Dec-2003
2003,4247,IND,Rural Finance Sector Restructuring and Development Project,PPTA,E,C,Finance,Bilateral,Single Donor,"1,000.00",UKG,14-Apr-2003,12-Dec-2003
2003,4252,VIE,Support to Poverty Reduction Activities in Viet Nam,ADTA,J,C,Public Sector Management,Multi-Donor Trust Fund,Multidonor,37.00,NPRS,01-Aug-2003,12-Dec-2003
2003,4252,VIE,Support to Poverty Reduction Activities in Viet Nam,ADTA,J,C,Public Sector Management,Multi-Donor Trust Fund,Multidonor,73.00,PRF,01-Jul-2003,12-Dec-2003
2003,4258,FSM,Strengthening of Public Sector Management and Administration,ADTA,J,PS,Public Sector Management,Bilateral,Single Donor,333.00,USA,,16-Dec-2003
2003,4259,NEP,Strengthening Selected Rural Financial Institutions,ADTA,J,PS,Finance,Bilateral,Single Donor,15.00,GTZ,17-Nov-2003,16-Dec-2003
2003,4263,IND,Capacity Building for Tax Administration,ADTA,J,C,Public Sector Management,Bilateral,Single Donor,500.00,UKG,14-Aug-2003,16-Dec-2003
2003,4276,VIE,Developing the Social Security System,ADTA,E,C,Finance,Multi-Donor Trust Fund,Multidonor,750.00,PRF,01-Jul-2003,18-Dec-2003
2003,4277,PAK,Support for Poverty Reduction Initiatives in Pakistan,ADTA,J,C,Public Sector Management,Multi-Donor Trust Fund,Multidonor,31.50,NPRS,01-Sep-2003,18-Dec-2003
2003,4277,PAK,Support for Poverty Reduction Initiatives in Pakistan,ADTA,J,C,Public Sector Management,Multi-Donor Trust Fund,Multidonor,63.50,PRF,01-Jul-2003,18-Dec-2003
2003,4278,SRI,Poverty Assessment and Information Management,ADTA,E,C,Public Sector Management,Multi-Donor Trust Fund,Multidonor,350.00,NPRS,01-Jul-2003,18-Dec-2003
2003,4279,LAO,Advisory Assistance on SME and Private Sector Development,ADTA,J,C,Industry and Trade,Multi-Donor Trust Fund,Multidonor,170.00,GCF,15-May-2003,18-Dec-2003
2003,4281,INO,Provincial Small and Medium Industrial Sector Development Program,PPTA,E,PS,Industry and Trade,Bilateral,Single Donor,800.00,UKG,,18-Dec-2003
2003,4283,CAM,Participatory Poverty Assessment of the Tonle Sap,ADTA,E,C,Public Sector Management,Multi-Donor Trust Fund,Multidonor,250.00,PRF,01-Dec-2002,18-Dec-2003
2003,4286,INO,Local Grids Development Project,PPTA,J,PS,Energy,Bilateral,Single Donor,400.00,UKG,,18-Dec-2003
2003,4297,IND,Capacity Building for Fiscal Reforms in Sikkim,ADTA,E,C,Public Sector Management,Bilateral,Single Donor,600.00,UKG,14-Apr-2003,18-Dec-2003
2003,4298,PRC,Capacity Strengthening of PRC's Nat'l Development Planning Svcs,ADTA,E,C,Public Sector Management,Multi-Donor Trust Fund,Multidonor,360.00,PRF,01-Aug-2003,19-Dec-2003
2003,4303,BAN,Strengthening Capacity for Poverty Monitoring and Evaluation,ADTA,E,C,Public Sector Management,Multi-Donor Trust Fund,Multidonor,350.00,PRF,01-Dec-2002,19-Dec-2003
2003,4307,PRC,Poverty Reduction in Key Forestry Conservation Programs,ADTA,E,C,Agriculture and Natural Resources,Multi-Donor Trust Fund,Multidonor,400.00,PRF,,19-Dec-2003
2003,4308,PRC,Poverty Reduction in Grassland Improvement Program,ADTA,E,C,Agriculture and Natural Resources,Multi-Donor Trust Fund,Multidonor,400.00,PRF,01-Aug-2003,19-Dec-2003
2003,4309,PRC,Renewable Energy for Poverty Reduction,ADTA,J,C,Energy,Bilateral,Single Donor,450.00,Denmark-Energy,,19-Dec-2003
2003,5945,REG,Fifth Agriculture and Natural Resources Research at CGIAR Centers,RETA,E,C,Agriculture and Natural Resources,Multi-Donor Trust Fund,Multidonor,905.00,PRF,01-Feb-2003,13-Feb-2003
2003,6016,REG,Clean Air Initiatives for Asian Cities ,RETA,E,PS,Water and Other Municipal Infrastructure and Services,Private Sector,Multidonor,175.00,Private Sector,,05-Nov-2003
2003,6016,REG,Clean Air Initiatives for Asian Cities ,RETA,J,PS,Water and Other Municipal Infrastructure and Services,Bilateral,Single Donor,62.00,AUS,,13-Aug-2003
2003,6016,REG,Clean Air Initiatives for Asian Cities ,RETA,J,PS,Water and Other Municipal Infrastructure and Services,Private Sector,Multidonor,30.00,Private Sector,,13-Aug-2003
2003,6016,REG,Clean Air Initiatives for Asian Cities ,RETA,E,PS,Water and Other Municipal Infrastructure and Services,Private Sector,Multidonor,145.00,Private Sector,,11-Apr-2003
2003,6093,REG,Promoting Effective Water Management Policies and Practices - Phase 2,RETA,E,C,Agriculture and Natural Resources,Multi-Donor Trust Fund,Multidonor,"1,000.00",CFWS,11-Dec-2002,31-Jan-2003
2003,6096,REG,Supporting the Sector Approach and Results-Based Management in ADB Operations,RETA,E,PS,Public Sector Management,Bilateral,Single Donor,300.00,UKG,27-Feb-2002,07-Mar-2003
2003,6102,REG,Renewable Energy and Energy Efficiency Program for the Pacific,RETA,E,C,Energy,Bilateral,Single Donor,600.00,Denmark-Energy,17-Apr-2003,28-Apr-2003
2003,6109,REG,NGO Partnership for Poverty Reduction ,RETA,E,C,Public Sector Management,Multi-Donor Trust Fund,Multidonor,500.00,PRF,01-Dec-2002,27-May-2003
2003,6113,REG,Making Markets Work Better for the Poor,RETA,J,PS,Public Sector Management,Bilateral,Single Donor,"2,000.00",UKG,05-Aug-2003,02-Jul-2003
2003,6115,REG,Poverty Reduction in Upland Communities in the Mekong Region through Improved Community and Industrial Forestry,RETA,E,C,Agriculture and Natural Resources,Multi-Donor Trust Fund,Multidonor,800.00,PRF,01-Jul-2002,04-Aug-2003
2003,6117,REG,Promoting Knowledge Transfer Through Diaspora Networks,RETA,E,C,Public Sector Management,Multi-Donor Trust Fund,Multidonor,150.00,GCF,15-May-2003,13-Aug-2003
2003,6118,REG,Promoting NGO Support for Poverty Reduction in the GMS,RETA,E,C,Public Sector Management,Multi-Donor Trust Fund,Multidonor,150.00,PRF,01-Dec-2002,22-Aug-2003
2003,6120,REG,Social Protection Index for Committed Poverty Reduction,RETA,J,C,Health and Social Protection,Multi-Donor Trust Fund,Multidonor,300.00,NPRS,01-Dec-2002,27-Aug-2003
2003,6120,REG,Social Protection Index for Committed Poverty Reduction,RETA,J,C,Health and Social Protection,Multi-Donor Trust Fund,Multidonor,300.00,PRF,01-Dec-2002,27-Aug-2003
2003,6123,REG,Promoting Effective Water Management Policies and Practices - Phase 3,RETA,E,C,Agriculture and Natural Resources,Multi-Donor Trust Fund,Multidonor,"4,300.00",CFWS,,03-Oct-2003
2003,6124,REG,ADB-OSI Central Asia Education Cooperation Network,RETA,E,C,Education,Multi-Donor Trust Fund,Multidonor,200.00,GCF,15-May-2003,06-Oct-2003
2003,6125,REG,Regional Workshop on Forest and Climate Change: 9th Conference of Parties,RETA,E,C,Agriculture and Natural Resources,Bilateral,Single Donor,20.00,Canada-Climate,22-Mar-2001,16-Oct-2003
2003,6126,REG,Civil Society Participation in Budget Formulation in the Pacific,RETA,E,C,Public Sector Management,Multi-Donor Trust Fund,Multidonor,250.00,GCF,15-May-2003,16-Oct-2003
2003,6130,REG,Study of Urban Violence in Asia Towards More Effective Urban Upgrading,RETA,E,C,Public Sector Management,Multi-Donor Trust Fund,Multidonor,150.00,PRF,01-Jul-2003,30-Oct-2003
2003,6138,REG,Asia Recovery Information Center - Phase 3,RETA,J,C,Public Sector Management,Bilateral,Single Donor,381.01,AUS,,13-Nov-2003
2003,6143,REG,Promoting Gender Equality and Women's Empowerment,RETA,E,C,Public Sector Management,Multi-Donor Trust Fund,Multidonor,"1,500.00",GDCF,,28-Nov-2003
2003,6150,REG,Poverty and Environment Program,RETA,J,C,Multisector,Multi-Donor Trust Fund,Multidonor,"3,420.00",PEF,,16-Dec-2003
2003,6155,REG,Capacity Building in Environmental Information Mgmt Systems in Central Asia,RETA,E,C,Agriculture and Natural Resources,Bilateral,Single Donor,800.00,Second Finnish Technical Assistance Grant Fund,,18-Dec-2003
2003,6157,REG,Strengthening Poverty Analysis and Strategies in the Pacific,RETA,J,C,Public Sector Management,Multi-Donor Trust Fund,Multidonor,400.00,NPRS,01-Dec-2002,18-Dec-2003
2003,6157,REG,Strengthening Poverty Analysis and Strategies in the Pacific,RETA,J,C,Public Sector Management,Multi-Donor Trust Fund,Multidonor,400.00,PRF,01-Dec-2002,18-Dec-2003
2004,3528,VIE,Capacity Building for Water Resources Mgmt (TA Cluster),ADTA,E,PS,Agriculture and Natural Resources,Bilateral,Single Donor,360.00,NET,,20-Dec-2004
2004,3874,AFG,Capacity Building for Reconstruction and Development,ADTA,E,C,Multisector,Bilateral,Single Donor,271.00,AUS,,01-Jun-2004
2004,3874,AFG,Capacity Building for Reconstruction and Development,ADTA,E,C,Multisector,Bilateral,Single Donor,90.00,Denmark-Energy,,28-Jan-2004
2004,3997,CAM,Chong Kneas Environmental Improvement Project,PPTA,E,PS,Agriculture and Natural Resources,Bilateral,Single Donor,113.00,FIN,,17-Jun-2004
2004,4096,NEP,Kathmandu Valley Water Management Support,PPTA,E,PS,Water and Other Municipal Infrastructure and Services,Bilateral,Single Donor,100.00,NOR,,12-Jan-2004
2004,4131,CAM,Preventing Poverty and Empowering Female Garment WorkersAffected by the Changing International Trade Environment,ADTA,E,C,Industry and Trade,Multi-Donor Trust Fund,Multidonor,100.00,PRF,,11-Aug-2004
2004,4230,PAK,Preparing Balochistan Public Resource Management Program,PPTA,E,PS,Public Sector Management,Bilateral,Single Donor,165.00,NET,,22-Dec-2004
2004,4283,CAM,Participatory Poverty Assessment of the Tonle Sap,ADTA,E,C,Public Sector Management,Multi-Donor Trust Fund,Multidonor,75.00,PRF,,01-Oct-2004
2004,4319,PAK,Determinants and Drivers of Poverty Reduction and ADB's Contribution in Rural Pakistan,ADTA,E,C,Public Sector Management,Multi-Donor Trust Fund,Multidonor,400.00,PRF,,05-Mar-2004
2004,4320,BAN,Social Protection of Poor Female Workers in the Garment Sector in the Context of Changing Trade Environments,ADTA,E,C,Health and Social Protection,Multi-Donor Trust Fund,Multidonor,420.00,PRF,,16-Mar-2004
2004,4322,PRC,Poverty Impact of Area-Wide Road Networks,ADTA,E,C,Transport and ICT,Multi-Donor Trust Fund,Multidonor,"1,000.00",PRF,,26-Mar-2004
2004,4324,PRC,Hunan Flood Management Project,PPTA,J,C,Agriculture and Natural Resources,Bilateral,Single Donor,550.00,SPA,,29-Mar-2004
2004,4331,VIE,Support for Pro-Poor Health Policies,ADTA,E,C,Health and Social Protection,Multi-Donor Trust Fund,Multidonor,500.00,PRF,,28-Apr-2004
2004,4333,INO,Gas Generation from Waste,ADTA,J,C,Energy,Bilateral,Single Donor,250.00,Canada-Climate,,03-May-2004
2004,4335,PRC,Town-Based Urbanization Strategy Study,ADTA,J,C,Water and Other Municipal Infrastructure and Services,Bilateral,Single Donor,500.00,SPA,,06-May-2004
2004,4339,LAO,"Study of Gender Inequality in Women's Access to Land,Forests, and Water",ADTA,E,C,Health and Social Protection,Multi-Donor Trust Fund,Multidonor,250.00,PRF,20-May-2004,20-May-2004
2004,4348,IND,North Eastern Region Urban Development,PPTA,E,C,Water and Other Municipal Infrastructure and Services,Bilateral,Single Donor,"1,000.00",UKG,,08-Jun-2004
2004,4353,NEP,Promoting Pro-Poor and Gender Responsive Service Delivery,ADTA,E,C,Agriculture and Natural Resources,Multi-Donor Trust Fund,Multidonor,200.00,PRF,,07-Jul-2004
2004,4366,INO,SSTA for Institutionalizing of Participatory Approaches to Shelter Provision,PPTA,E,PS,Water and Other Municipal Infrastructure and Services,Bilateral,Single Donor,50.00,UKG,,02-Aug-2004
2004,4367,PAK,Balochistan Rural Development and Drought Mitigation,PPTA,E,C,Agriculture and Natural Resources,Bilateral,Single Donor,300.00,2nd Danish Cooperation Fund for Technical Assistance,,03-Aug-2004
2004,4368,INO,Financing Integrated Settlements Development Project,PPTA,E,PS,Finance,Bilateral,Single Donor,800.00,UKG,,03-Aug-2004
2004,4369,VIE,Upper Secondary and Professional Teacher Development,PPTA,E,C,Education,Bilateral,Single Donor,250.00,2nd Danish Cooperation Fund for Technical Assistance,,03-Aug-2004
2004,4370,IND,West Bengal Development Finance,ADTA,E,C,Public Sector Management,Bilateral,Single Donor,800.00,UKG,,06-Aug-2004
2004,4373,INO,Integrated Coastal Fisheries Resources Management Project,PPTA,E,PS,Agriculture and Natural Resources,Bilateral,Single Donor,790.00,UKG,,10-Aug-2004
2004,4376,CAM,Capacity Building for the Tonle Sap Poverty Reduction Initiative,ADTA,E,C,Agriculture and Natural Resources,Multi-Donor Trust Fund,Multidonor,500.00,PRF,,16-Aug-2004
2004,4378,IND,North Eastern State Roads Project,PPTA,E,C,Transport and ICT,Bilateral,Single Donor,800.00,UKG,,23-Aug-2004
2004,4383,MON,Participatory Poverty Assessment and Monitoring,ADTA,E,C,Public Sector Management,Multi-Donor Trust Fund,Multidonor,300.00,NPRS,,31-Aug-2004
2004,4388,PNG,Strengthening the Capacity of the Parliamentary Accounts Committee,ADTA,J,C,Public Sector Management,Bilateral,Single Donor,200.00,AUS,,10-Sep-2004
2004,4392,LAO,Marketing Support for Organic Produce of Ethnic Minorities,ADTA,E,C,Agriculture and Natural Resources,Multi-Donor Trust Fund,Multidonor,600.00,PRF,,17-Sep-2004
2004,4393,MON,Establishing Effective Anti-Money Laundering Regime,ADTA,J,C,Finance,Bilateral,Single Donor,286.00,SPA,,17-Sep-2004
2004,4401,PRC,Rural Income and Sustainable Development,ADTA,E,C,Agriculture and Natural Resources,Multi-Donor Trust Fund,Multidonor,900.00,PRF,,30-Sep-2004
2004,4402,PRC,Heating Supply for Urban Poor in Liaoning Province,ADTA,E,C,Energy,Multi-Donor Trust Fund,Multidonor,500.00,PRF,,05-Oct-2004
2004,4405,KGZ,Study on Pricing Systems and Cost-Recovery Mechanisms for Irrigation,ADTA,E,C,Agriculture and Natural Resources,Multi-Donor Trust Fund,Multidonor,300.00,PRF,,11-Oct-2004
2004,4406,LAO,Capacity Building for Smallholder Livestock Systems,ADTA,E,C,Agriculture and Natural Resources,Multi-Donor Trust Fund,Multidonor,550.00,PRF,,11-Oct-2004
2004,4407,IND,Agribusiness Development Support Project,PPTA,E,C,Agriculture and Natural Resources,Bilateral,Single Donor,"1,000.00",UKG,,11-Oct-2004
2004,4408,KGZ,"A Study of the Impact of Land Reform on Agriculture, Poverty Reduction and Environment",ADTA,E,C,Agriculture and Natural Resources,Multi-Donor Trust Fund,Multidonor,400.00,PRF,,12-Oct-2004
2004,4411,INO,Water Supply and Sanitation Project,PPTA,J,PS,Water and Other Municipal Infrastructure and Services,Bilateral,Single Donor,700.00,UKG,,12-Oct-2004
2004,4412,BHU,Small and Medium Enterprise,ADTA,E,C,Industry and Trade,Bilateral,Single Donor,300.00,2nd Danish Cooperation Fund for Technical Assistance,,08-Oct-2004
2004,4414,PAK,Non-Formal Primary Education and Functional Literacy forRural Women in Selected Barani Areas of Punjab,ADTA,E,C,Education,Multi-Donor Trust Fund,Multidonor,400.00,PRF,,13-Oct-2004
2004,4415,AFG,Kabul Air Quality Management,ADTA,E,C,Transport and ICT,Bilateral,Single Donor,450.00,2nd Danish Cooperation Fund for Technical Assistance,,15-Oct-2004
2004,4418,VIE,Capacity Building for SME Development,ADTA,J,C,Industry and Trade,Bilateral,Single Donor,300.00,2nd Danish Cooperation Fund for Technical Assistance,,21-Oct-2004
2004,4418,VIE,Capacity Building for SME Development,ADTA,J,C,Industry and Trade,Bilateral,Single Donor,600.00,Swiss Cooperation Fund for Consulting Services,,21-Oct-2004
2004,4420,AFG,Western Basins Water Resources Mgt & Irrigated Agri. Devt. Proj.,PPTA,J,PS,Agriculture and Natural Resources,Bilateral,Single Donor,760.00,CAN,,26-Oct-2004
2004,4421,SRI,Implementing Products and Services for the Domestic Debt Market,ADTA,J,PS,Finance,Bilateral,Single Donor,"1,200.00",SWE,,26-Oct-2004
2004,4423,TAJ,Development of Community Based Micro-Hydropower Supply in RemoteRural Areas ,ADTA,E,C,Energy,Multi-Donor Trust Fund,Multidonor,800.00,PRF,,05-Nov-2004
2004,4428,CAM,Strengthening National Program Budgeting for the Agricultural Sector,ADTA,E,C,Agriculture and Natural Resources,Multi-Donor Trust Fund,Multidonor,250.00,GCF,,08-Nov-2004
2004,4430,PRC,Rural Finance Reforms and Development of Microfinance Institutions,ADTA,E,C,Finance,Multi-Donor Trust Fund,Multidonor,"1,000.00",PRF,,09-Nov-2004
2004,4434,LAO,"Poverty Reduction through Land Tenure Consolidation, Participatory Natural Resources Mgmt, and Local Communities Skills Bldg",ADTA,E,C,Agriculture and Natural Resources,Multi-Donor Trust Fund,Multidonor,850.00,PRF,,17-Nov-2004
2004,4437,IND,Preparing the Administration of Justice Project,PPTA,E,C,Public Sector Management,Bilateral,Single Donor,750.00,UKG,25-Oct-2004,19-Nov-2004
2004,4442,SRI,Psychosocial Health in Conflict-Affected Areas,ADTA,E,C,Health and Social Protection,Multi-Donor Trust Fund,Multidonor,400.00,PRF,,22-Nov-2004
2004,4452,VIE,Gender Mainstreaming Action Plan for Agriculture and RuralDevelopment,ADTA,E,C,Agriculture and Natural Resources,Multi-Donor Trust Fund,Multidonor,250.00,GDCF,,26-Nov-2004
2004,4453,VIE,Supporting the Preparation of the Law on Gender Equality,ADTA,E,C,Public Sector Management,Multi-Donor Trust Fund,Multidonor,370.00,PRF,,26-Nov-2004
2004,4454,PRC,Developing a Poverty Monitoring System at the Country Level,ADTA,E,C,Public Sector Management,Multi-Donor Trust Fund,Multidonor,300.00,PRF,,01-Dec-2004
2004,4457,VAN,Secured Transactions Reforms,ADTA,J,C,Finance,Bilateral,Single Donor,200.00,AUS,,02-Dec-2004
2004,4458,RMI,SSTA for Increasing Ownership and Effective Demand for Improved Education,ADTA,E,C,Education,Multi-Donor Trust Fund,Multidonor,150.00,GCF,,02-Dec-2004
2004,4459,CAM,Implementation of the Action Plan for Gender Mainstreaming in theAgriculture Sector,ADTA,E,C,Agriculture and Natural Resources,Multi-Donor Trust Fund,Multidonor,300.00,GDCF,,02-Dec-2004
2004,4461,AFG,Poverty Reduction and Rural Renewable Energy Development,ADTA,E,C,Energy,Multi-Donor Trust Fund,Multidonor,750.00,PRF,,03-Dec-2004
2004,4467,VIE,Capacity Bldg Support to Government Inspectorate of Viet Nam,ADTA,E,C,Public Sector Management,Multi-Donor Trust Fund,Multidonor,150.00,GCF,,07-Dec-2004
2004,4473,INO,Support for the Implementation of the State Audit Reform InvestmentProject,ADTA,E,PS,Public Sector Management,Bilateral,Single Donor,"1,300.00",NET,,13-Dec-2004
2004,4474,INO,Support for the Implementation of the State Audit Reform InvestmentProject,ADTA,E,PS,Public Sector Management,Bilateral,Single Donor,"3,700.00",NET,,13-Dec-2004
2004,4476,CAM,Small and Medium Enterprise Sector Development,ADTA,J,C,Industry and Trade,Bilateral,Single Donor,350.00,2nd Danish Cooperation Fund for Technical Assistance,,14-Dec-2004
2004,4479,INO,Gender Responsive Public Policy and Administration,ADTA,E,PS,Public Sector Management,Bilateral,Single Donor,400.00,UKG,,14-Dec-2004
2004,4480,VIE,Developing Agricultural Insurance,ADTA,E,C,Agriculture and Natural Resources,Multi-Donor Trust Fund,Multidonor,600.00,PRF,,15-Dec-2004
2004,4482,SOL,State-Owned Enterprise Reforms and Private Sector Participation,ADTA,E,C,Public Sector Management,Bilateral,Single Donor,500.00,AUS,,15-Dec-2004
2004,4483,AFG,Capacity Building for Land Policy and Administration Reform,ADTA,J,PS,Agriculture and Natural Resources,Bilateral,Single Donor,600.00,UKG,,15-Dec-2004
2004,4496,IND,Capacity Bldg for Clean Development Mechanism,ADTA,E,C,Energy,Bilateral,Single Donor,700.00,Canada-Climate,,17-Dec-2004
2004,4497,IND,Capacity Bldg for Municipal Service Delivery in Kerala,ADTA,E,C,Public Sector Management,Bilateral,Single Donor,800.00,UKG,,17-Dec-2004
2004,4500,PAK,Capacity Bldg for Alternative Energy Dev Board,ADTA,E,C,Energy,Bilateral,Single Donor,150.00,Denmark-Energy,,17-Dec-2004
2004,4504,PAK,Punjab Devolved Social Services Program ,PPTA,E,PS,Multisector,Bilateral,Single Donor,"20,000.00",UKG,,20-Dec-2004
2004,4515,IND,Preparation of the Jammu and Kashmir Uban Infrastructure Dev,PPTA,E,C,Water and Other Municipal Infrastructure and Services,Bilateral,Single Donor,500.00,UKG,,21-Dec-2004
2004,4524,PHI,Development of a Basic Education in the Autonomous Region in Muslim Mindanao,ADTA,E,C,Education,Bilateral,Single Donor,375.00,AUS,,23-Dec-2004
2004,4527,SOL,Diagnostic Assessment of Interisland Transport,ADTA,E,C,Transport and ICT,Bilateral,Single Donor,150.00,AUS,,23-Dec-2004
2004,4537,PAK,Implementing Public Safety Reforms in Four Districts of the Province of Punjab,ADTA,E,C,Public Sector Management,Multi-Donor Trust Fund,Multidonor,950.00,PRF,,23-Dec-2004
2004,4538,PAK,Improving Governance in the Nonprofit Sector of Pakistan,ADTA,E,C,Public Sector Management,Multi-Donor Trust Fund,Multidonor,240.00,GCF,,23-Dec-2004
2004,4541,AFG,Natural Resources Management and Poverty Reduction,ADTA,J,C,Agriculture and Natural Resources,Multi-Donor Trust Fund,Multidonor,810.00,PRF,,23-Dec-2004
2004,4541,AFG,Natural Resources Management and Poverty Reduction,ADTA,J,PS,Agriculture and Natural Resources,Global Fund,Multidonor,975.00,GEF,,23-Dec-2004
2004,4544,PHI,Enhancing Access of the Poor to Microfinance Services in Frontier Areas,ADTA,E,C,Finance,Multi-Donor Trust Fund,Multidonor,250.00,GCF,,23-Dec-2004
2004,4547,INO,Madrasah Education Development Project,PPTA,J,C,Education,Bilateral,Single Donor,600.00,AUS,,23-Dec-2004
2004,4550,INO,Development of an Anti-Money Laundering Regime II,ADTA,E,C,Finance,Multi-Donor Trust Fund,Multidonor,500.00,RTFSI,,23-Dec-2004
2004,4554,INO,Analysis and Dissemination of Lessons from Poverty Reduction,ADTA,E,PS,Public Sector Management,Bilateral,Single Donor,150.00,UKG,,14-Dec-2004
