,Partner,Year,Approval Numbers CoFin,Extracted Approval Number,Proj No,Loan/Grant Title
687,Canada,2013.0,2928/0343,2928,42099-013,Polytechnic Education Development
688,Canada,2013.0,2928/0343,0343,42099-013,Polytechnic Education Development
695,CEF-CEFPF,2013.0,0370/0371/0373,0370,46044-002,Renewable Energy Development and Power Sector Rehabilitation
696,CEF-CEFPF,2013.0,0370/0371/0373,0371,46044-002,Renewable Energy Development and Power Sector Rehabilitation
697,CEF-CEFPF,2013.0,0370/0371/0373,0373,46044-002,Renewable Energy Development and Power Sector Rehabilitation
698,CEF-CEFPF,2013.0,3015/0354/8272,3015,41074-013, West Kalimantan Power Grid Strengthening
699,CEF-CEFPF,2013.0,3015/0354/8272,0354,41074-013, West Kalimantan Power Grid Strengthening
700,CEF-CEFPF,2013.0,3015/0354/8272,8272,41074-013, West Kalimantan Power Grid Strengthening
704,CTF,2013.0,3052/8275,3052,45224-003,Rajasthan Renewable Energy Transmission Investment Program - Tranche 1
705,CTF,2013.0,3052/8275,8275,45224-003,Rajasthan Renewable Energy Transmission Investment Program - Tranche 1
709,EDB,2013.0,3056/0366,3056,45169-001,"Central Asia Regional Economic Cooperation Corridor 3 (Bishkek-Osh Road) Improvement, Phase 4"
710,EDB,2013.0,3056/0366,0366,45169-001,"Central Asia Regional Economic Cooperation Corridor 3 (Bishkek-Osh Road) Improvement, Phase 4"
711,EIB,2013.0,2990/2991,2990,43281-013,Tanahu Hydropower
712,EIB,2013.0,2990/2991,2991,43281-013,Tanahu Hydropower
713,EIB,2013.0,2993,2993,42145-043,North-South Road Corridor Investment ProgramﾗTranche 3
714,EIB,2013.0,3051/8292,3051,42173-013,Dhaka Environmentally Sustainable Water Supply
715,EIB,2013.0,3051/8292,8292,42173-013,Dhaka Environmentally Sustainable Water Supply
716,EIB,2013.0,3098/3099/0380,3098,45007-004,Ulaanbaatar Urban Services and Ger Areas Development Investment Program ﾗ Tranche 1
717,EIB,2013.0,3098/3099/0380,3099,45007-004,Ulaanbaatar Urban Services and Ger Areas Development Investment Program ﾗ Tranche 1
718,EIB,2013.0,3098/3099/0380,0380,45007-004,Ulaanbaatar Urban Services and Ger Areas Development Investment Program ﾗ Tranche 1
719,France,2013.0,2920/8273,2920,44507-003,Public-Private Partnership Support - Additional Cofinancing
720,France,2013.0,2920/8273,8273,44507-003,Public-Private Partnership Support - Additional Cofinancing
721,France,2013.0,3015/0354/8272,3015,41074-013, West Kalimantan Power Grid Strengthening
722,France,2013.0,3015/0354/8272,0354,41074-013, West Kalimantan Power Grid Strengthening
723,France,2013.0,3015/0354/8272,8272,41074-013, West Kalimantan Power Grid Strengthening
724,France,2013.0,3051/8292,3051,42173-013,Dhaka Environmentally Sustainable Water Supply
725,France,2013.0,3051/8292,8292,42173-013,Dhaka Environmentally Sustainable Water Supply
726,France,2013.0,3068,3068,46093-004,"Inclusive Growth through Improved Connectivity Program, Subprogram 2"
727,France,2013.0,3087,3087,42378-016,Power System Expansion and Efficiency Improvement Investment Plan - Tranche 2
728,GAFSP,2013.0,3006/3007/0349/0350/8271,3006,44321-013,Climate-Resilient Rice Commercialization Sector Development Program
729,GAFSP,2013.0,3006/3007/0349/0350/8271,3007,44321-013,Climate-Resilient Rice Commercialization Sector Development Program
730,GAFSP,2013.0,3006/3007/0349/0350/8271,0349,44321-013,Climate-Resilient Rice Commercialization Sector Development Program
731,GAFSP,2013.0,3006/3007/0349/0350/8271,0350,44321-013,Climate-Resilient Rice Commercialization Sector Development Program
732,GAFSP,2013.0,3006/3007/0349/0350/8271,8271,44321-013,Climate-Resilient Rice Commercialization Sector Development Program
733,GEF,2013.0,2835/0364,2835,44012-013,Hebei Energy Efficiency Improvement and Emission Reduction - Additional Financing
734,GEF,2013.0,2835/0364,0364,44012-013,Hebei Energy Efficiency Improvement and Emission Reduction - Additional Financing
735,GEF,2013.0,3094/0379,3094,46421-001,Coral Reef Rehabilitation and Management Program-Coral Triangle Initiative
736,GEF,2013.0,3094/0379,0379,46421-001,Coral Reef Rehabilitation and Management Program-Coral Triangle Initiative
737,IsDB,2013.0,3087,3087,42378-016,Power System Expansion and Efficiency Improvement Investment Plan - Tranche 2
738,IsDB,2013.0,3090/3091/3092,3090,47094-001,Jamshoro Power Generation
739,IsDB,2013.0,3090/3091/3092,3091,47094-001,Jamshoro Power Generation
740,IsDB,2013.0,3090/3091/3092,3092,47094-001,Jamshoro Power Generation
741,Japan,2013.0,365,0365,46265-001,Energy Efficiency for Ho Chi Minh City Water Supply
742,Japan,2013.0,2730,2730,41414-043,Greater Mekong Subregion Ben Luc-Long Thanh Expressway - Tranche 1
743,Japan,2013.0,2990/2991,2990,43281-013,Tanahu Hydropower
744,Japan,2013.0,2990/2991,2991,43281-013,Tanahu Hydropower
745,Japan,2013.0,3025/3026,3025,44458-013,Amu Bukhara Irrigation System Rehabilitation
746,Japan,2013.0,3025/3026,3026,44458-013,Amu Bukhara Irrigation System Rehabilitation
747,Japan,2013.0,3045/3046,3045,42180-013,Second Public-Private Infrastructure Development Facility
748,Japan,2013.0,3045/3046,3046,42180-013,Second Public-Private Infrastructure Development Facility
749,Japan,2013.0,3068,3068,46093-004,"Inclusive Growth through Improved Connectivity Program, Subprogram 2"
750,Japan,2013.0,9170,9170,46010-001,Women's Entrepreneurship Development
751,Japan,2013.0,9171,9171,46077-001,Improved Maternal and Child Health through Connectivity
752,Japan,2013.0,9172,9172,46284-001,Pilot Project on Weather Index-Based Crop Insurance
753,Japan,2013.0,9173,9173,46074-001,Greater Mekong Subregion: Livelihood Support for Corridor Towns
754,Japan,2013.0,9174,9174,47311-001,Enhancing Rural Livelihoods and Incomes
755,Japan,2013.0,9175,9175,47338-001,Emergency Assistance and Early Recovery for Poor Municipalities Affected by Typhoon Yolanda 
756,Japan,2013.0,9176,9176,46490-001,Greater Mekong Subregion (GMS) Capacity Building for HIV/AIDs Prevention
757,Korea,2013.0,3013/0353,3013,40255-033,Central Mekong Delta Region Connectivity 
758,Korea,2013.0,3013/0353,0353,40255-033,Central Mekong Delta Region Connectivity 
759,Korea,2013.0,3047,3047,44213-016,Secondary Education Sector Investment Program - Tranche 1 (Supplementary)
760,NDF,2013.0,0357/0358,0357,44214-024,Building Climate Resilience of Watersheds in Mountain Eco-Regions
761,NDF,2013.0,0357/0358,0358,44214-024,Building Climate Resilience of Watersheds in Mountain Eco-Regions
762,Neighbourhood Investment Facility,2013.0,2993,2993,42145-043,North-South Road Corridor Investment ProgramﾗTranche 3
763,OFID,2013.0,3000/0342/8269,3000,43524-014,Kathmandu Valley Wastewater Management
764,OFID,2013.0,3000/0342/8269,0342,43524-014,Kathmandu Valley Wastewater Management
765,OFID,2013.0,3000/0342/8269,8269,43524-014,Kathmandu Valley Wastewater Management
766,Phu Bia Mining Limited,2013.0,3041/0363,3041,45301-002,Water Supply and Sanitation Sector
767,Phu Bia Mining Limited,2013.0,3041/0363,0363,45301-002,Water Supply and Sanitation Sector
768,P.R.C.,2013.0,3075,3075,46058-002,Qinghai Delingha Concentrated Solar Thermal Power
769,SCF-PPCR,2013.0,352,0352,45354-002,Building Climate Resilience in the Pyanj River Basin
770,SCF-PPCR,2013.0,0357/0358,0357,44214-024,Building Climate Resilience of Watersheds in Mountain Eco-Regions
771,SCF-PPCR,2013.0,0357/0358,0358,44214-024,Building Climate Resilience of Watersheds in Mountain Eco-Regions
772,SCF-PPCR,2013.0,378,0378,46351-002,Climate Resilience Sector
773,SCF-PPCR,2013.0,3006/3007/0349/0350/8271,3006,44321-013,Climate-Resilient Rice Commercialization Sector Development Program
774,SCF-PPCR,2013.0,3006/3007/0349/0350/8271,3007,44321-013,Climate-Resilient Rice Commercialization Sector Development Program
775,SCF-PPCR,2013.0,3006/3007/0349/0350/8271,0349,44321-013,Climate-Resilient Rice Commercialization Sector Development Program
776,SCF-PPCR,2013.0,3006/3007/0349/0350/8271,0350,44321-013,Climate-Resilient Rice Commercialization Sector Development Program
777,SCF-PPCR,2013.0,3006/3007/0349/0350/8271,8271,44321-013,Climate-Resilient Rice Commercialization Sector Development Program
778,SCF-PPCR,2013.0,3006/3007/0349/0350/8271,3006,44321-013,Climate-Resilient Rice Commercialization Sector Development Program
779,SCF-PPCR,2013.0,3006/3007/0349/0350/8271,3007,44321-013,Climate-Resilient Rice Commercialization Sector Development Program
780,SCF-PPCR,2013.0,3006/3007/0349/0350/8271,0349,44321-013,Climate-Resilient Rice Commercialization Sector Development Program
781,SCF-PPCR,2013.0,3006/3007/0349/0350/8271,0350,44321-013,Climate-Resilient Rice Commercialization Sector Development Program
782,SCF-PPCR,2013.0,3006/3007/0349/0350/8271,8271,44321-013,Climate-Resilient Rice Commercialization Sector Development Program
783,UFPF-UEIF,2013.0,3098/3099/0380,3098,45007-004,Ulaanbaatar Urban Services and Ger Areas Development Investment Program ﾗ Tranche 1
784,UFPF-UEIF,2013.0,3098/3099/0380,3099,45007-004,Ulaanbaatar Urban Services and Ger Areas Development Investment Program ﾗ Tranche 1
785,UFPF-UEIF,2013.0,3098/3099/0380,0380,45007-004,Ulaanbaatar Urban Services and Ger Areas Development Investment Program ﾗ Tranche 1
786,World Bank,2013.0,3008/3009,3008,39293-037,Education Sector Development Program
787,World Bank,2013.0,3008/3009,3009,39293-037,Education Sector Development Program
788,World Bank,2013.0,3045/3046,3045,42180-013,Second Public-Private Infrastructure Development Facility
789,World Bank,2013.0,3045/3046,3046,42180-013,Second Public-Private Infrastructure Development Facility
790,World Bank,2013.0,3047,3047,44213-016,Secondary Education Sector Investment Program - Tranche 1
791,World Bank,2013.0,3068,3068,46093-004,"Inclusive Growth through Improved Connectivity Program, Subprogram 2"
792,"France,AFD",2014.0,3146/3147/0084/8290,3146,47037-004,Green Power Development and Energy Efficiency Improvement Investment Program ﾖ Tranche 1
793,"France,AFD",2014.0,3146/3147/0084/8290,3147,47037-004,Green Power Development and Energy Efficiency Improvement Investment Program ﾖ Tranche 1
794,"France,AFD",2014.0,3146/3147/0084/8290,0084,47037-004,Green Power Development and Energy Efficiency Improvement Investment Program ﾖ Tranche 1
795,"France,AFD",2014.0,3146/3147/0084/8290,8290,47037-004,Green Power Development and Energy Efficiency Improvement Investment Program ﾖ Tranche 1
798,AIF,2014.0,3161/8286,3161,46391-001,Ha Noi and Ho Chi Minh City Power Grid Development Sector
799,AIF,2014.0,3161/8286,8286,46391-001,Ha Noi and Ho Chi Minh City Power Grid Development Sector
800,AITF,2014.0,0411/0412,0411,48326-001,Northern Flood-Damaged Infrastructure Emergency Rehabilitation
801,AITF,2014.0,0411/0412,0412,48326-001,Northern Flood-Damaged Infrastructure Emergency Rehabilitation
804,"Australia,Australia",2014.0,2852/3125/0285,2852,46009-003,Flood Damage Emergency Reconstruction ﾖ Additional Financing
805,"Australia,Australia",2014.0,2852/3125/0285,3125,46009-003,Flood Damage Emergency Reconstruction ﾖ Additional Financing
806,"Australia,Australia",2014.0,2852/3125/0285,0285,46009-003,Flood Damage Emergency Reconstruction ﾖ Additional Financing
807,"Australia,Australia",2014.0,3151/401/402/466/467/8299/8300,3151,42334-014,Rural Roads Improvement II
808,"Australia,Australia",2014.0,3151/401/402/466/467/8299/8300,0401,42334-014,Rural Roads Improvement II
809,"Australia,Australia",2014.0,3151/401/402/466/467/8299/8300,0402,42334-014,Rural Roads Improvement II
810,"Australia,Australia",2014.0,3151/401/402/466/467/8299/8300,0466,42334-014,Rural Roads Improvement II
811,"Australia,Australia",2014.0,3151/401/402/466/467/8299/8300,0467,42334-014,Rural Roads Improvement II
812,"Australia,Australia",2014.0,3151/401/402/466/467/8299/8300,8299,42334-014,Rural Roads Improvement II
813,"Australia,Australia",2014.0,3151/401/402/466/467/8299/8300,8300,42334-014,Rural Roads Improvement II
814,Canada,2014.0,3130/7407/8281,3130,47919-014,Adjaristsqali Hydropower
815,Canada,2014.0,3130/7407/8281,7407,47919-014,Adjaristsqali Hydropower
816,Canada,2014.0,3130/7407/8281,8281,47919-014,Adjaristsqali Hydropower
817,CEF-CEFPF,2014.0,2517/0384,2517,42182-013,Renewable Energy Development and Network Expansion and Rehabilitation for Remote Communes Sector ﾖ Additional Financing
818,CEF-CEFPF,2014.0,2517/0384,0384,42182-013,Renewable Energy Development and Network Expansion and Rehabilitation for Remote Communes Sector ﾖ Additional Financing
819,CTF,2014.0,3113/8279,3113,45200-002,Sustainable Urban Transport for Ho Chi Minh City Mass Rapid Transit Line 2
820,CTF,2014.0,3113/8279,8279,45200-002,Sustainable Urban Transport for Ho Chi Minh City Mass Rapid Transit Line 2
821,CTF,2014.0,3219/7435/8289,3219,48233-001,Subyai Wind Power
822,CTF,2014.0,3219/7435/8289,7435,48233-001,Subyai Wind Power
823,CTF,2014.0,3219/7435/8289,8289,48233-001,Subyai Wind Power
824,CTF,2014.0,3235/8291,3235,40080-024,Strengthening Sustainable Urban Transport for Ha Noi Metro Line 3
825,CTF,2014.0,3235/8291,8291,40080-024,Strengthening Sustainable Urban Transport for Ha Noi Metro Line 3
826,CTF,2014.0,7409/8283,7409,47937-001,Rantau Dedap Geothermal Development (Phase 1)
827,CTF,2014.0,7409/8283,8283,47937-001,Rantau Dedap Geothermal Development (Phase 1)
828,EBRD,2014.0,3150,3150,46416-002,Power Transmission Rehabilitation
829,EBRD,2014.0,3150,3150,46416-002,Power Transmission Rehabilitation
830,EC,2014.0,0414/0424/0443,0414,46455-004,Electricity Supply Security and Sustainability
831,EC,2014.0,0414/0424/0443,0424,46455-004,Electricity Supply Security and Sustainability
832,EC,2014.0,0414/0424/0443,0443,46455-004,Electricity Supply Security and Sustainability
833,EC,2014.0,0422/0423,0422,44482-025,Transport Network Development Investment Program ﾖ Tranche 4
834,EC,2014.0,0422/0423,0423,44482-025,Transport Network Development Investment Program ﾖ Tranche 4
835,EC,2014.0,3193/0415,3193,46453-002,Renewable Energy Sector
836,EC,2014.0,3193/0415,0415,46453-002,Renewable Energy Sector
837,EDB,2014.0,3212/0419,3212,46348-003,Toktogul Rehabilitation Phase 2
838,EDB,2014.0,3212/0419,0419,46348-003,Toktogul Rehabilitation Phase 2
839,EIB,2014.0,0409/0410/0429,0409,46122-003,Preparing Outer Islands for Sustainable Energy Development
840,EIB,2014.0,0409/0410/0429,0410,46122-003,Preparing Outer Islands for Sustainable Energy Development
841,EIB,2014.0,0409/0410/0429,0429,46122-003,Preparing Outer Islands for Sustainable Energy Development
842,EIB,2014.0,2966/0320,2966,42378-015,Power System Expansion and Efficiency Improvement Investment Program ﾖ Tranche 1 (Supplementary)
843,EIB,2014.0,2966/0320,0320,42378-015,Power System Expansion and Efficiency Improvement Investment Program ﾖ Tranche 1 (Supplementary)
844,EIB,2014.0,2990/2991,2990,43281-013,Tanahu Hydropower
845,EIB,2014.0,2990/2991,2991,43281-013,Tanahu Hydropower
846,EIB,2014.0,3139/0397/0398,3139,44219-014,South Asia  Subregional Economic Cooperation Power System Expansion
847,EIB,2014.0,3139/0397/0398,0397,44219-014,South Asia  Subregional Economic Cooperation Power System Expansion
848,EIB,2014.0,3139/0397/0398,0398,44219-014,South Asia  Subregional Economic Cooperation Power System Expansion
849,EIB,2014.0,3169/3170,3169,46168-001,South Asia Subregional Economic Cooperation Railway Connectivity: Akhaura-Laksam Double Track
850,EIB,2014.0,3169/3170,3170,46168-001,South Asia Subregional Economic Cooperation Railway Connectivity: Akhaura-Laksam Double Track
851,EIB,2014.0,3186,3186,46268-002,Clean Energy Finance Investment Program ﾖ Tranche 1 
852,France,2014.0,3029/3030/8282,3029,45148-007,Greater Colombo Water and Wastewater Management Improvement Investment Program ﾖ Tranche 2
853,France,2014.0,3029/3030/8282,3030,45148-007,Greater Colombo Water and Wastewater Management Improvement Investment Program ﾖ Tranche 2
854,France,2014.0,3029/3030/8282,8282,45148-007,Greater Colombo Water and Wastewater Management Improvement Investment Program ﾖ Tranche 2
855,France,2014.0,3111,3111,44253-013,Local Government Finance and Fiscal Decentralization Reform Program ﾖ  Subprogram 1
856,"France,AFD",2014.0,3146/3147/0084/8290,3146,47037-004,Green Power Development and Energy Efficiency Improvement Investment Program ﾖ Tranche 1
857,"France,AFD",2014.0,3146/3147/0084/8290,3147,47037-004,Green Power Development and Energy Efficiency Improvement Investment Program ﾖ Tranche 1
858,"France,AFD",2014.0,3146/3147/0084/8290,0084,47037-004,Green Power Development and Energy Efficiency Improvement Investment Program ﾖ Tranche 1
859,"France,AFD",2014.0,3146/3147/0084/8290,8290,47037-004,Green Power Development and Energy Efficiency Improvement Investment Program ﾖ Tranche 1
860,GDCF,2014.0,9135/0277/0382/0406,9135,38097-013,Establishing Women and Children Service Centers ﾖ Additional Financing
861,GDCF,2014.0,9135/0277/0382/0406,0277,38097-013,Establishing Women and Children Service Centers ﾖ Additional Financing
862,GDCF,2014.0,9135/0277/0382/0406,0382,38097-013,Establishing Women and Children Service Centers ﾖ Additional Financing
863,GDCF,2014.0,9135/0277/0382/0406,0406,38097-013,Establishing Women and Children Service Centers ﾖ Additional Financing
864,GEF,2014.0,2915/0388,2915,44007-013,Jiangxi Fuzhou Urban Integrated Infrastructure Improvement ﾖ Additional Financing
865,GEF,2014.0,2915/0388,0388,44007-013,Jiangxi Fuzhou Urban Integrated Infrastructure Improvement ﾖ Additional Financing
866,GEF,2014.0,3216/0420,3216,45022-002,Jiangxi Ji'an Sustainable Urban Transport
867,GEF,2014.0,3216/0420,0420,45022-002,Jiangxi Ji'an Sustainable Urban Transport
871,Germany,2014.0,3164,3164,48134-001,Stepping Up Investments for Growth Acceleration Program ﾖ Subprogram 1
872,"Germany,Germany",2014.0,3119/3120,3119,42251-018,Skills Sector Enhancement Program
873,"Germany,Germany",2014.0,3119/3120,3120,42251-018,Skills Sector Enhancement Program
874,IFAD,2014.0,3198,3198,47300-002,Northern Smallholder Livestock Commercialization
875,IFAD,2014.0,3198,3198,47300-002,Northern Smallholder Livestock Commercialization
876,IsDB,2014.0,0409/0410/0429,0409,46122-003,Preparing Outer Islands for Sustainable Energy Development
877,IsDB,2014.0,0409/0410/0429,0410,46122-003,Preparing Outer Islands for Sustainable Energy Development
878,IsDB,2014.0,0409/0410/0429,0429,46122-003,Preparing Outer Islands for Sustainable Energy Development
879,IsDB,2014.0,3090/3091/3092,3090,47094-001,Jamshoro Power Generation (Supplementary)
880,IsDB,2014.0,3090/3091/3092,3091,47094-001,Jamshoro Power Generation (Supplementary)
881,IsDB,2014.0,3090/3091/3092,3092,47094-001,Jamshoro Power Generation (Supplementary)
882,Japan,2014.0,3117/0383,3117,39399-034,South Asia Tourism Infrastructure Development ﾖ Additional Financing
883,Japan,2014.0,3117/0383,0383,39399-034,South Asia Tourism Infrastructure Development ﾖ Additional Financing
884,Japan,2014.0,9177,9177,47187-001,Pro-Poor Community Infrastructure and Basic Services
885,"Japan,JFPR",2014.0,9178,9178,46009-002,Community-Based Disaster Risk Reduction
886,"Japan,JFPR",2014.0,9179,9179,46270-002,Community-Based Flood Risk Management and Disaster Response in the Chao Phraya Basin
887,"Japan,JICA",2014.0,3126,3126,47015-001,Sustainable Energy Sector Reform Program ﾖ Subprogram 1 (additional)
888,"Japan,JICA",2014.0,3227/3228,3227,47293-001,Improving Competitiveness Program
889,"Japan,JICA",2014.0,3227/3228,3228,47293-001,Improving Competitiveness Program
890,"Japan,JFPR",2014.0,9178,9178,46009-002,Community-Based Disaster Risk Reduction
891,"Japan,JFPR",2014.0,9179,9179,46270-002,Community-Based Flood Risk Management and Disaster Response in the Chao Phraya Basin
892,"Japan,JICA",2014.0,3126,3126,47015-001,Sustainable Energy Sector Reform Program ﾖ Subprogram 1 (additional)
893,"Japan,JICA",2014.0,3227/3228,3227,47293-001,Improving Competitiveness Program
894,"Japan,JICA",2014.0,3227/3228,3228,47293-001,Improving Competitiveness Program
895,Korea,2014.0,3119/3120,3119,42251-018,Skills Sector Enhancement Program
896,Korea,2014.0,3119/3120,3120,42251-018,Skills Sector Enhancement Program
897,Korea,2014.0,3151/401/402/466/467/8299/8300,3151,42334-014,Rural Roads Improvement II
898,Korea,2014.0,3151/401/402/466/467/8299/8300,0401,42334-014,Rural Roads Improvement II
899,Korea,2014.0,3151/401/402/466/467/8299/8300,0402,42334-014,Rural Roads Improvement II
900,Korea,2014.0,3151/401/402/466/467/8299/8300,0466,42334-014,Rural Roads Improvement II
901,Korea,2014.0,3151/401/402/466/467/8299/8300,0467,42334-014,Rural Roads Improvement II
902,Korea,2014.0,3151/401/402/466/467/8299/8300,8299,42334-014,Rural Roads Improvement II
903,Korea,2014.0,3151/401/402/466/467/8299/8300,8300,42334-014,Rural Roads Improvement II
904,MDTF-WFPF,2014.0,2795/0263/0387,2795,43072-013,South Tarawa Sanitation Improvement Sector ﾖ Additional Financing
905,MDTF-WFPF,2014.0,2795/0263/0387,0263,43072-013,South Tarawa Sanitation Improvement Sector ﾖ Additional Financing
906,MDTF-WFPF,2014.0,2795/0263/0387,0387,43072-013,South Tarawa Sanitation Improvement Sector ﾖ Additional Financing
907,NDF,2014.0,3151/401/402/466/467/8299/8300,3151,42334-014,Rural Roads Improvement II
908,NDF,2014.0,3151/401/402/466/467/8299/8300,0401,42334-014,Rural Roads Improvement II
909,NDF,2014.0,3151/401/402/466/467/8299/8300,0402,42334-014,Rural Roads Improvement II
910,NDF,2014.0,3151/401/402/466/467/8299/8300,0466,42334-014,Rural Roads Improvement II
911,NDF,2014.0,3151/401/402/466/467/8299/8300,0467,42334-014,Rural Roads Improvement II
912,NDF,2014.0,3151/401/402/466/467/8299/8300,8299,42334-014,Rural Roads Improvement II
913,NDF,2014.0,3151/401/402/466/467/8299/8300,8300,42334-014,Rural Roads Improvement II
914,Netherlands,2014.0,3138/0396,3138,44167-014,Flood and Riverbank Erosion Risk Management Investment Program ﾖ Project 1
915,Netherlands,2014.0,3138/0396,0396,44167-014,Flood and Riverbank Erosion Risk Management Investment Program ﾖ Project 1
916,New Zealand,2014.0,0127/0292/0293,0127,40263-033,Domestic Maritime Support (Sector) (Supplementary)
917,New Zealand,2014.0,0127/0292/0293,0292,40263-033,Domestic Maritime Support (Sector) (Supplementary)
918,New Zealand,2014.0,0127/0292/0293,0293,40263-033,Domestic Maritime Support (Sector) (Supplementary)
919,"New Zealand,New Zealand",2014.0,0389/0390,0389,48192-001,Cyclone Ian Recovery
920,"New Zealand,New Zealand",2014.0,0389/0390,0390,48192-001,Cyclone Ian Recovery
921,"New Zealand,New Zealand",2014.0,416,0416,47314-001,Strengthening Fiscal Stability Program
922,Norway,2014.0,3139/0397/0398,3139,44219-014,South Asia  Subregional Economic Cooperation Power System Expansion
923,Norway,2014.0,3139/0397/0398,0397,44219-014,South Asia  Subregional Economic Cooperation Power System Expansion
924,Norway,2014.0,3139/0397/0398,0398,44219-014,South Asia  Subregional Economic Cooperation Power System Expansion
925,OFID,2014.0,3124/8288,3124,33209-014,Community-Managed Irrigated Agriculture Sector ﾖ Additional Financing
926,OFID,2014.0,3124/8288,8288,33209-014,Community-Managed Irrigated Agriculture Sector ﾖ Additional Financing
927,OFID,2014.0,3142/8285,3142,39295-013,Third Urban Governance and Infrastructure Improvement (Sector)
928,OFID,2014.0,3142/8285,8285,39295-013,Third Urban Governance and Infrastructure Improvement (Sector)
929,OFID,2014.0,3157/0405/8304,3157,35173-013,Third Small Towns Water Supply and Sanitation Sector
930,OFID,2014.0,3157/0405/8304,0405,35173-013,Third Small Towns Water Supply and Sanitation Sector
931,OFID,2014.0,3157/0405/8304,8304,35173-013,Third Small Towns Water Supply and Sanitation Sector
932,"P.R.C.,SpDB",2014.0,3218,3218,47052-002,Low-Carbon District Heating Project in Hohhot in Inner Mongolia Autonomous Region
933,SCF-PPCR,2014.0,3133/0394/0395/8284,3133,44212-013,Coastal Towns Environmental Infrastructure
934,SCF-PPCR,2014.0,3133/0394/0395/8284,0394,44212-013,Coastal Towns Environmental Infrastructure
935,SCF-PPCR,2014.0,3133/0394/0395/8284,0395,44212-013,Coastal Towns Environmental Infrastructure
936,SCF-PPCR,2014.0,3133/0394/0395/8284,8284,44212-013,Coastal Towns Environmental Infrastructure
937,SCF-PPCR,2014.0,3133/0394/0395/8284,3133,44212-013,Coastal Towns Environmental Infrastructure
938,SCF-PPCR,2014.0,3133/0394/0395/8284,0394,44212-013,Coastal Towns Environmental Infrastructure
939,SCF-PPCR,2014.0,3133/0394/0395/8284,0395,44212-013,Coastal Towns Environmental Infrastructure
940,SCF-PPCR,2014.0,3133/0394/0395/8284,8284,44212-013,Coastal Towns Environmental Infrastructure
941,SCF-PPCR,2014.0,3158/8287,3158,48901-014,Spice Value Chain Development Project
942,SCF-PPCR,2014.0,3158/8287,8287,48901-014,Spice Value Chain Development Project
943,SCF-SREP,2014.0,0409/0410/0429,0409,46122-003,Preparing Outer Islands for Sustainable Energy Development
944,SCF-SREP,2014.0,0409/0410/0429,0410,46122-003,Preparing Outer Islands for Sustainable Energy Development
945,SCF-SREP,2014.0,0409/0410/0429,0429,46122-003,Preparing Outer Islands for Sustainable Energy Development
946,SCF-SREP,2014.0,3139/0397/0398,3139,44219-014,South Asia  Subregional Economic Cooperation Power System Expansion
947,SCF-SREP,2014.0,3139/0397/0398,0397,44219-014,South Asia  Subregional Economic Cooperation Power System Expansion
948,SCF-SREP,2014.0,3139/0397/0398,0398,44219-014,South Asia  Subregional Economic Cooperation Power System Expansion
949,"P.R.C.,SpDB",2014.0,3218,3218,47052-002,Low-Carbon District Heating Project in Hohhot in Inner Mongolia Autonomous Region
950,Switzerland,2014.0,3131/0391,3131,42466-015,Skills for Employment Investment Program ﾖ Tranche 1
951,Switzerland,2014.0,3131/0391,0391,42466-015,Skills for Employment Investment Program ﾖ Tranche 1
952,UFPF-UEIF,2014.0,3148/0399,3148,43253-025,Karnataka Integrated Urban Water Management Investment Program ﾖ Tranche 1
953,UFPF-UEIF,2014.0,3148/0399,0399,43253-025,Karnataka Integrated Urban Water Management Investment Program ﾖ Tranche 1
954,"Uzbekistan,UFRD",2014.0,3141,3141,45306-001,Takhiatash Power Plant Efficiency Improvement
955,"U.K.,United Kingdom",2014.0,9135/0277/0382/0406,9135,38097-013,Establishing Women and Children Service Centers ﾖ Additional Financing
956,"U.K.,United Kingdom",2014.0,9135/0277/0382/0406,0277,38097-013,Establishing Women and Children Service Centers ﾖ Additional Financing
957,"U.K.,United Kingdom",2014.0,9135/0277/0382/0406,0382,38097-013,Establishing Women and Children Service Centers ﾖ Additional Financing
958,"U.K.,United Kingdom",2014.0,9135/0277/0382/0406,0406,38097-013,Establishing Women and Children Service Centers ﾖ Additional Financing
959,"Uzbekistan,UFRD",2014.0,3141,3141,45306-001,Takhiatash Power Plant Efficiency Improvement
960,"U.K.,United Kingdom",2014.0,9135/0277/0382/0406,9135,38097-013,Establishing Women and Children Service Centers ﾖ Additional Financing
961,"U.K.,United Kingdom",2014.0,9135/0277/0382/0406,0277,38097-013,Establishing Women and Children Service Centers ﾖ Additional Financing
962,"U.K.,United Kingdom",2014.0,9135/0277/0382/0406,0382,38097-013,Establishing Women and Children Service Centers ﾖ Additional Financing
963,"U.K.,United Kingdom",2014.0,9135/0277/0382/0406,0406,38097-013,Establishing Women and Children Service Centers ﾖ Additional Financing
964,WFPF-SFPTF,2014.0,3133/0394/0395/8284,3133,44212-013,Coastal Towns Environmental Infrastructure
965,WFPF-SFPTF,2014.0,3133/0394/0395/8284,0394,44212-013,Coastal Towns Environmental Infrastructure
966,WFPF-SFPTF,2014.0,3133/0394/0395/8284,0395,44212-013,Coastal Towns Environmental Infrastructure
967,WFPF-SFPTF,2014.0,3133/0394/0395/8284,8284,44212-013,Coastal Towns Environmental Infrastructure
968,WFPF-SFPTF,2014.0,3157/0405/8304,3157,35173-013,Third Small Towns Water Supply and Sanitation Sector
