,type,approval number,country,year,title,status
237,TA,1093,PHI,1988,INSTITUTIONAL STRENGTHENING OF NGO'S (SWISS),FIN COMPL
238,TA,1097,PHI,1988,PALAWAN INTEGRATED AREA DEVELOPMENT-PHASE II (CO-FINANCED WITH UNDP),FIN COMPL
239,TA,1099,PAK,1988,RURAL DEVELOPMENT STRATEGY FOR SIND ARID ZONE(CO-FIN W/ UNDP & SWISS),FIN COMPL
240,TA,1120,NEP,1989,IMPLEMENTATN OF THE MASTR PLAN FOR THE FORSTRY SECTR (CO-FIN FINNIDA),FIN COMPL
241,TA,1134,LAO,1989,AGRICULTURAL RESEARCH (UNDP-FINANCED),FIN COMPL
242,TA,1142,BAN,1989,UPAZILA AFFORESTATION & NURSERY DEV.(UNDP-FINANCED),FIN COMPL
243,TA,1147,INO,1989,AGRICULTURAL TECHNOLOGY SCHOOLS (JSF & NORWAY),FIN COMPL
244,TA,1170,PAK,1989,FORESTRY SECTOR MASTER PLAN (BANK/JSF/UNDP),FIN COMPL
245,TA,1177,BAN,1989,SECOND ROAD IMPROVEMENT (FIN BY SWISS GOV'T),FIN COMPL
246,TA,1186,NEP,1989,FERTILIZER SECTOR MANAGEMENT STUDY(UNDP FINANCED),FIN COMPL
247,TA,1196,NEP,1989,"PROG BUDGETING,PROJ MONITORING & MGT INFO SYS(PHASE 3)(CO-FIN W/UNDP)",FIN COMPL
248,TA,1245,PAK,1989,MARINE OUTFALL STUDY,FIN COMPL
249,TA,1256,BAN,1989,HORTICULTURE DEVELOPMENT PROJECT (UNDP-FINANCED),FIN COMPL
250,TA,1262,LAO,1989,SECOND FORESTRY DEVELOPMENT(INSTITUTIONAL SUPPORT)-(CO-FINCD W/ UNDP),FIN COMPL
251,TA,1289,LAO,1990,PREPARATION OF AN EDUCATION PROJECT (FRENCH TA FUND-FINANCED),FIN COMPL
252,TA,1292,THA,1990,A VOLUNTEER PROGRAM FOR NATURAL RESOURCE & ENVIRONMENT CONSERVATION,FIN COMPL
253,TA,1301,LAO,1990,NAM NGUM-LUANG PRABANG POWER TRANSMISSION PROJECT-(PART C) (SWISS),FIN COMPL
254,TA,1318,BAN,1990,DHAKA INTEGRATED FLOOD PROTECTION (ADB/FIN),FIN COMPL
255,TA,1325,IND,1990,VADODARA-BOMBAY EXPRESSWAY PROJECT,FIN COMPL
256,TA,1337,SRI,1990,SOUTHERN PROVINCE DEVELOPMENT(JSF/NORWAY),FIN COMPL
257,TA,1349,PAK,1990,URBAN WATER SUPPLY AND SANITATION,FIN COMPL
258,TA,1355,BAN,1990,FORESTRY MASTER PLAN (UNDP & JSF-FINANCED),FIN COMPL
259,TA,1357,PAK,1991,BARANI FARMING SYSTEM TRAINING AND RESEARCH (UNDP-FINANCED),FIN COMPL
260,TA,1386,PAK,1990,TEACHER TRAINING PROJECT (FINANCED BY JSF & GOV'T. OF NORWAY),FIN COMPL
261,TA,1445,BAN,1990,LOAN/TA GRANT-STRENGTHENING OF SCI TERM LENDING CAPABILITIES OF PCB'S,CANCELLED
262,TA,1454,BAN,1990,GANGES-KOBADAK IRRIGATION REHABILITATION (PHASE II) - UNDP-FINANCED,FIN COMPL
263,TA,1467,PHI,1991,LOAN AND TA GRANT - STUDY ON FOODCROP POLICIES (TASF),FIN COMPL
264,TA,1470,BAN,1991,SOCIAL PREPARATORY AND TRAINING OF BENEFICIARIES PROJ STAFF (NORWAY),FIN COMPL
265,TA,1477,PAK,1991,THIRD ON-FARM WATER MANAGEMENT PROJECT (FINANCED BY SWISS GOV'T.),FIN COMPL
266,TA,1498,BAN,1991,SOUTHWEST AREA WATER RESOURCES MANAGEMENT STUDY (UNDP/JSF-FINANCED),FIN COMPL
267,TA,1507,NEP,1991,SMALL-SCALE TA FOR AGRICULTURAL PRICING POLICY,FIN COMPL
268,TA,1511,LAO,1990,XESET HYDROPOWER (SUPPLEMENTARY),FIN COMPL
269,TA,1513,PHI,1991,MANILA NORTH-EAST WATER SUPPLY (FINANCED BY GOV'T. OF FRANCE),FIN COMPL
270,TA,1536,MON,1991,T. A. FOR THE ADVISER TO MONGOLIAN STOCK EXCHANGE,FIN COMPL
271,TA,1544,PRC,1991,LOAN AND TA GRANT - POWER SYSTEM PLANNING (JSF-FINANCED),FIN COMPL
272,TA,1554,INO,1991,EAST JAVA RAINFED AGRICULTURE PROJECT (DUTCH GRANT),FIN COMPL
273,TA,1570,LAO,1991,CURRICULUM DEVELOPMENT FOR TEACHER EDUCATION (NORWAY),FIN COMPL
274,TA,1574,MAL,1991,ENERGY CONSERVATION STUDY(FRANCE),FIN COMPL
275,TA,1584,SRI,1991,SECOND WATER SUPPLY SECTOR,FIN COMPL
276,TA,1603,MAL,1991,REHABILITATION & UPGRADING OF WATER SUPPLY SYSTEMS,FIN COMPL
277,TA,1608,BAN,1991,HIGHER SECONDARY EDUCATION,CANCELLED
278,TA,1619,PAK,1991,ENV'L. SAFETY & EFFICIENCY IMPROVEMENTS OF SSGC'S OPS.(FRANCE),FIN COMPL
279,TA,1628,PRC,1991,ENERGY-CUM-ELECTRICITY DEMAND & SUPPLY ANALYSIS,FIN COMPL
280,TA,1663,NEP,1992,"LOAN/TA GRANT - ENVIRONMENTAL PROTECTION STUDY OF PHEWA LAKE, POKHARA",FIN COMPL
281,TA,1672,SRI,1992,SECOND TECHNICAL EDUCATION,FIN COMPL
282,TA,1694,CAM,1992,STRENGTHENING MACROECONOMIC MANAGEMENT,FIN COMPL
283,TA,1695,BAN,1992,ASSESSMENT OF THE ROLE AND IMPACT OF NGOS,FIN COMPL
284,TA,1713,INO,1992,INSTITUTIONAL SUPPORT TO WATER SUPPLY ENTERPRISES(FRANCE),FIN COMPL
285,TA,1722,IND,1992,SMALL-SCALE TA - ASSESSMENT OF NATIONAL RENEWAL FUND(NETHERLANDS),FIN COMPL
286,TA,1729,BHU,1992,POWER SECTOR INSTITUTIONAL AND FINANCIAL DEVELOPMENT(NORWAY),FIN COMPL
287,TA,1730,THA,1992,SMALL-SCALE TA FOR INSTITUTION BLDG FOR ENERGY CONSERVATION,FIN COMPL
288,TA,1737,NEP,1992,"KALI GANDAKI ""A"" HYDROELECTRIC(UNDP/FINNIDA)",FIN COMPL
289,TA,1764,LAO,1992,STRENGTHENING AND RESTRUCTURING IRRIGATION DEVELOPMENT(BANK/NETHERLAND,FIN COMPL
290,TA,1782,INO,1992,INSTITUTIONAL STRENGTHENING FOR BIODIVERSITY CONSERVATION(NORWAY),FIN COMPL
291,TA,1783,VAN,1992,FEASIBI'TY STUDY OF CONST. OF COPRA & COCOA STORAGE FACILITIES,FIN COMPL
292,TA,1807,BAN,1992,INS'L. STRNG. OF BANGLADESH RURAL DEV'T. BOARD(NORWAY),FIN COMPL
293,TA,1810,PHI,1992,INSTITUTIONAL STRENGTHENING OF COOPERATIVES(JSF/NORWAY),FIN COMPL
294,TA,1816,BAN,1992,TREE AND PALM PLANTATION PROJ IN CYCLONE-PRONE AREAS,FIN COMPL
295,TA,1827,FSM,1992,POWER SECTOR DEVELOPMENT(NORWAY),FIN COMPL
296,TA,1833,RMI,1992,PREPARATION OF HEALTH & POPULATION PROJECT(NORWAY),FIN COMPL
297,TA,1838,NEP,1992,PRIMARY EDUCATION DEVELOPMENT(NORWAY),FIN COMPL
298,TA,1858,THA,1993,SSTA FOR DRAFTING IMPLEMENTATION ORDERS FOR THE ENERGY CONSERVATION P,FIN COMPL
299,TA,1866,CAM,1993,TRANSPORT REHABILITATION STUDY(UNDP/SWEDEN),FIN COMPL
300,TA,1871,NEP,1993,INSTITUTIONAL STRENGHTENING OF ADBN(UNDP),FIN COMPL
301,TA,1878,CAM,1993,SPECIAL REHABILITATION ASSISTANCE   (SWEDEN),FIN COMPL
302,TA,1889,CAM,1993,EMERGENCY TRAINING OF TEACHERS(SWEDEN),FIN COMPL
303,TA,1900,SRI,1993,LOAN & TA GRANT - MANAGEMENT STRENGTHENING OF THE NWSDB(NORWAY),FIN COMPL
304,TA,1904,NEP,1993,INSTITUTIONAL SUPPORT TO NGO'S (NORWAY),FIN COMPL
305,TA,1958,MAL,1993,URBAN TRANSPORT PLANNING(FRANCE),FIN COMPL
306,TA,1962,BAN,1993,PREPARATION OF POWER SYSTEM MASTERPLAN,FIN COMPL
307,TA,2036,PHI,1993,NONFORMAL EDUCATION PROJECT (NORWAY),FIN COMPL
308,TA,2047,LAO,1993,STRENGTHENING ECONOMIC AND FINANCIAL MANAGEMENT (CO-FINANCED BY UNDP),FIN COMPL
309,TA,2139,SAM,1994,AGRICULTURE SECTOR STRATEGY STUDY(AUSTRALIA),FIN COMPL
310,TA,2172,TON,1994,ECONOMIC MANAGEMENT STUDY(AUSTRALIA),FIN COMPL
311,TA,2193,IND,1994,LOAN RELATED-ENERGY EFFICIENCY SUPPORT (NETHERLANDS),FIN COMPL
312,TA,2212,PRC,1994,BEIJING URBAN TRANSPORT(FRANCE),FIN COMPL
313,TA,2223,CAM,1994,BASIC HEALTH SERVICES(DANIDA),FIN COMPL
314,TA,2241,CAM,1994,STRENGT'NG THE INSTITUT'L & LEGAL FRAMEWORK FOR THE ENER & MIN SECTOR,FIN COMPL
315,TA,2289,PAK,1994,IMPACT ASSESSMENT OF POLICY & INSTITUTIONAL REFORM MEASURES(NETHERLAND,FIN COMPL
316,TA,2292,THA,1995,NONGKAI-UDONTHANI WATER SUPPLY AND SANITATION PROJECT(FRANCE),FIN COMPL
317,TA,2294,FSM,1995,POLICY ADVISORY TEAM FOR ECONOMIC MANAGEMENT(BANK/JSF/US),FIN COMPL
318,TA,2295,RMI,1995,POLICY ADVISORY TEAM FOR ECONOMIC MANAGEMENT(BANK/JSF/US),FIN COMPL
319,TA,2304,BAN,1995,STRENGTHENING SOCIAL FORESTRY IN THE COASTAL REGION(NORWAY),FIN COMPL
320,TA,2360,KIR,1995,MARINE EXPORT DEVELOPMENT (AUSTRALIA),FIN COMPL
321,TA,2376,VIE,1995,COMMUNITY ENVIRON'L HEALTH IMPROVEMENTS FOR THE PROV TOWNS (DANIDA),FIN COMPL
322,TA,2387,FIJ,1995,AGRICULTURE SECTOR STUDY (AUSAID),FIN COMPL
323,TA,2396,LAO,1995,SECONDARY TOWNS INTEGRATED URBAN DEVELOPMENT,FIN COMPL
324,TA,2403,IND,1995,ENERGY & ENV'L. MGNT. OF THE IND'L. DEV'T. BANK OF INDIA,FIN COMPL
325,TA,2455,PRC,1995,STRENGTHENING THE DEPT OF ETHNIC MINORITY EDUCATION (NORWAY),FIN COMPL
326,TA,2456,PRC,1995,PILOT ENVIRONMENTAL PLANS FOR SELECTED MEDIUM SIZE CITIES (DENMARK),FIN COMPL
327,TA,2487,PHI,1995,PREPARATION OF A NATIONAL TRANSPORT STRATEGY (FRANCE),FIN COMPL
328,TA,2489,VIE,1995,CAPACITY BUILDING AT THE MINISTRY OF PLANNING & INVESTMENT (TASF/NETH),FIN COMPL
329,TA,2503,CAM,1995,EMPLOYMENT PROMOTION FOR WOMEN PROJECT (JSF/NETHERLAND),FIN COMPL
330,TA,2517,INO,1995,CAPACITY BLDG IN HUMAN SETTLEMENTS INFRA MGMT (JSF AND DENMARK),FIN COMPL
331,TA,2525,PAK,1996,POWER EFFICIENCY PROJECT (FRANCE AND BANK),CANCELLED
332,TA,2529,INO,1996,COASTAL COMMUNITY DEVT AND FISHERIES RESOURCES CONSERV'N (DENMARK),FIN COMPL
333,TA,2534,BAN,1996,INSTITUTIONAL DEVELOPMENT OF THE DIRECTORATE OF NONFORMAL EDUCATION,FIN COMPL
334,TA,2563,PAK,1996,LOAN RELATED: FORESTRY SECTOR PROJECT  (NETHERLANDS),FIN COMPL
335,TA,2564,BAN,1996,LOAN RELATED: BENEFICIARY PARTICIPATION AND PROJECT MANAGEMENT (NETH),FIN COMPL
336,TA,2594,PAK,1996,NATURAL GAS IMPORT STUDY  (FRANCE),FIN COMPL
337,TA,2615,VIE,1996,RED RIVER WATERWAYS PROJECT (JSF/DENMARK),FIN COMPL
338,TA,2617,NAU,1996,NATIONAL REFORM PROGRAM,FIN COMPL
339,TA,2629,CAM,1996,POWER REHABILITATION II  (FRANCE),FIN COMPL
340,TA,2642,LAO,1996,LOAN/TA GRANTS:RESTRUCTNG/CONSOLIDATION OF STATE-OWNED COML BANKS(FRA),FIN COMPL
341,TA,2723,CAM,1996,INST'L STRENGTHNG AND EXPANDING EIA CAPACITY (DENMARK/TASF),FIN COMPL
342,TA,2734,LAO,1996,NAM NGUM WATERSHED MANAGEMENT (JSF/DENMARK),FIN COMPL
343,TA,2751,PRC,1997,CAP. BLDG. OF WASTEWATER TREATMENT OPER.IN ANHUI PROV.(DANIDA-FINANCED,FIN COMPL
344,TA,2770,PRC,1997,FUZHOU WATER SUPPLY AND WASTEWATER TREATMENT(DANIDA- FINANCED),FIN COMPL
345,TA,2794,PHI,1997,MINDANAO BASIC EDUCATION DEVELOPMENT (JSF/BELGIUM),FIN COMPL
346,TA,2839,INO,1997,REPRODUCTIVE HEALTH CARE (FRANCE),FIN COMPL
347,TA,2851,NEP,1997,THIRD LIVESTOCK DEVELOPMENT (AUSTRALIA),FIN COMPL
348,TA,2852,VIE,1997,FORESTRY SECTOR(NETHERLANDS),FIN COMPL
349,TA,2871,VIE,1997,RED RIVER BASIN WATER RESOURCES MGT. (JSF),FIN COMPL
350,TA,2885,KIR,1997,AERIAL PHOTOGRAPHY AND MAPPING OF TARAWA (AUSTRALIA),FIN COMPL
351,TA,2921,BAN,1997,PRIMARY SCHOOL PERFORMANCE MONITORING,FIN COMPL
352,TA,2938,PRC,1997,CHINA NAT'L AUTOMATED PAYMENTS SYSTEM (COFINANCED BY GOV'T OF FRANCE),FIN COMPL
353,TA,2959,VIE,1997,PREPARATION OF A DEVELOPMENT STRATEGY FOR THE CENTRAL REGION OFVIETNAM,FIN COMPL
354,TA,2994,RMI,1998,COCONUT SECTOR DEVELOPMENT STUDY,FIN COMPL
355,TA,3014,LAO,1998,EDUCATION SECTOR DEVELOPMENT PLAN(CO-FINANCED BY THE GOV'T OF BELGIUM),FIN COMPL
356,TA,3024,FSM,1998,"ECONOMIC POLICY REFORM AND MANAGEMENT (TASF, JSF, US)",FIN COMPL
357,TA,3026,PRC,1998,STRENGTHENING RISK MANAGEMENT OF THE AGRICULTURAL BANK OF CHINA,FIN COMPL
358,TA,3041,INO,1998,MONITORING AND EVALUATING THE SOCIAL PROTECTION SECTOR DEVT PROG (JSF),FIN COMPL
359,TA,3091,VIE,1998,LOWER SECONDARY EDUCATION DEVELOPMENT (FINANCED BY GOVT OF BELGIUM),FIN COMPL
360,TA,3123,PRC,1998,PROVL LEGISLATION ON ENVL PROTECTION & NATURAL RESOURCES CONSERVATION,FIN COMPL
361,TA,3125,NAU,1998,LOAN & TA GRANT-CAPACITY BUILDING FOR FINANCIAL & ECONOMIC MANAGEMENT,FIN COMPL
362,TA,3137,INO,1998,WATER SUPPLY AND SANITATION SECTOR (FINANCED BY GOVT OF DENMARK),FIN COMPL
363,TA,3158,BAN,1998,SUNDARBANS BIODIVERSITY CONSERVATION (FINANCED BY GEF),FIN COMPL
364,TA,3273,SRI,1999,PROTECTED AREA MANAGEMENT AND WILDLIFE CONSERVATION,FIN COMPL
365,TA,3277,SOL,1999,MARINE BIODIVERSITY CONSERVATION,FIN COMPL
366,TA,3280,PNG,1999,THE GOVERNANCE AND PUBLIC SECTOR REFORM PROGRAM,FIN COMPL
367,TA,3322,VIE,1999,CAPACITY BUILDING FOR TEACHER TRAINING PROJECT,FIN COMPL
368,TA,3323,VIE,1999,3RD PROVINCIAL TOWNS WATER SUPPLY AND SANITATION (COFIN GOV OF FRANCE),FIN COMPL
369,TA,3331,LAO,1999,CAPACITY BLDG FOR URBAN DEV ADMIN AUTHORITIES (FNCED BY GOV OF NORWAY),FIN COMPL
370,TA,3344,IND,1999,STRENGTHENING MICROFINANCE INSTITUTIONS FOR URBAN & ENVIRON INFRA FIN.,FIN COMPL
371,TA,3350,KAZ,1999,STRENGTHENING ENVIRONMENTAL MANAGEMENT (GOVT OF FIN),FIN COMPL
372,TA,3363,THA,1999,CAP BLDNG IN PUBLIC DEBT MNGMT OFFICE OF THE MIN OF FIN (SWISS GOVT),FIN COMPL
373,TA,3372,PRC,1999,YUNNAN COMPREHENSIVE AGRI DEV'T & BIODIVERSITY CONSERVATION (JSF/GEF),FIN COMPL
374,TA,3376,PRC,1999,"SONGHUA RIVER FLOOD, WETLAND, AND BIODIVERSITY MANAGEMENT (JSF/GEF)",FIN COMPL
375,TA,3398,CAM,1999,LOAN & TA PRIMARY ROADS RESTORATION (AUSTRALIA),FIN COMPL
376,TA,3437,VAN,2000,SKILLS DEVELOPMENT,FIN COMPL
377,TA,3448,INO,2000,DECENTRALIZED HEALTH SERVICES PROJECT,FIN COMPL
378,TA,3456,INO,2000,PREPARATION OF THE DECENTRALIZED BASIC EDUCATION PROJECT,FIN COMPL
379,TA,3477,SRI,2000,LOAN & TA GRANT - COASTAL RESOURCE MANAGEMENT (NETHERLANDS),FIN COMPL
380,TA,3499,KGZ,2000,ENVIRONMENTAL MONITORING & MANAGEMENT CAPACITY BUILDING II (FINLAND),FIN COMPL
381,GRNT,3520,PNG,2000,L/TA - MICROFINANCE AND EMPLOYMENT (AUSAID),FIN COMPL
382,TA,3528,VIE,2000,CAP BLDG FOR WATER RESOURCES MANAGEMENT (JSF AND NETHERLANDS),FIN COMPL
383,TA,3560,VIE,2000,2NDARY EDUCATION SECTOR MASTER PLAN (COFINANCED BY GOVT OF BELGIUM),FIN COMPL
384,TA,3579,INO,2000,LOANS & GRANT-SUPPORT FOR HEALTH SECTOR POLICY REFORMS,FIN COMPL
385,TA,3583,THA,2000,MAE MOH ENVIRONMENT EVALUATION(FINANCED BY GOVT OF SWITZERLAND,FIN COMPL
386,TA,3614,TAJ,2000,CAPACITY BUILDING FOR ENVIRONMENTAL ASSESSMENT & MONITORING(FINLAND),FIN COMPL
387,TA,3619,PNG,2000,REHAB OF THE MARITIME NAVIGATION AIDS SYSTEM (GOVT OF AUSTRALIA),FIN COMPL
388,TA,3621,PAK,2001,FISCAL DECENTRALIZATION,FIN COMPL
389,TA,3638,PRC,2001,WUHAN WASTEWATER TREATMENT PROJECT (FRANCE),FIN COMPL
390,TA,3646,INO,2001,URBAN POVERTY REDUCTION (ACCSF),FIN COMPL
391,TA,3652,VIE,2001,INSTITUTIONAL SUPPORT TO THE OFFICE OF THE GOVERNMENT (NEW ZEALAND),FIN COMPL
392,TA,3656,PHI,2001,IMPROVING POVERTY MONITORING SURVEYS (NEW ZEALAND),FIN COMPL
393,TA,3657,PRC,2001,PRC-GEF PARTNERSHIP ON LAND DEGRADATION IN DRYLAND ECOSYSTEM,FIN COMPL
394,TA,3660,PNG,2001,HEALTH POLICY SUPPORT,FIN COMPL
395,TA,3674,KAZ,2001,ENERGY SECTOR STUDY (COFIN GOVT OF FINLAND),CANCELLED
396,TA,3692,PHI,2001,INTEGRATED COASTAL RESOURCE MANAGEMENT (JSF),FIN COMPL
397,TA,3715,IND,2001,MADHYA PRADESH INTEGRATED WATER RESOURCES MANAGEMENT STUDY (UK),FIN COMPL
398,TA,3739,IND,2001,IMPACT ON POVERTY REDUCTION OF FINANCIAL SECTOR POLICIES & REFORMS UKG,FIN COMPL
399,TA,3759,IND,2001,INTEGRATED URBAN DEVELOPMENT IN MADHYA PRADESH (GOVT OF UK),FIN COMPL
400,TA,3763,VIE,2001,ROAD MAP FOR POWER SECTOR REFORM (GOVT OF FRANCE),FIN COMPL
401,TA,3769,CAM,2001,CAPACITY BUILDING FOR BANKING AND FINANCIAL MANAGEMENT (FRANCE),FIN COMPL
402,TA,3770,IND,2001,SUPP FOR IMPRVMNTS IN THE ACCTG SYSTM OF THE CALCUTTA MUN CORP (UK),FIN COMPL
403,TA,3772,VIE,2001,CAP BLDG FOR CENTRAL REGION POVERTY REDUCTION (UK AND JSF),FIN COMPL
404,TA,3776,PRC,2001,NINGXIA ROADS DEVELOPMENT (ITALY AND JSF),FIN COMPL
405,TA,3781,UZB,2001,COMPRHNSVE MEDTERM STRTGY FOR IMPRVNG THE LIVING STD OF UZB (OCR/CFPR),FIN COMPL
406,TA,3782,INO,2001,REFORM OF WATER ENTERPRISES (FRANCE),FIN COMPL
407,TA,3783,FSM,2001,"ECONOMIC POLICY REFORM AND CAPACITY BLDG, PHASE I (US AND OCR)",FIN COMPL
408,TA,3784,IND,2001,CONSERVATION AND LIVELIHOOD IMPROVEMENT IN THE INDIAN SUNDARBANS (UK),FIN COMPL
409,TA,3785,NEP,2001,L/GRANT: ROAD NETWORK DEVELOPMENT (DFID),FIN COMPL
410,TA,3800,VIE,2001,L/GRNT: CENTRAL REGION LIVELIHOOD IMPROVEMENT (DFID),FIN COMPL
411,TA,3810,INO,2001,RURAL MICROFINANCE (GOVT OF FRANCE),FIN COMPL
412,TA,3818,VIE,2001,FORESTS FOR LIVELIHOOD IMPROVEMENT IN THE CENTRAL HIGHLANDS (JSF/NETH),FIN COMPL
413,TA,3823,PAK,2001,L/TA: SUPPRTNG & MNTRNG PROGRESS UNDER THE ACCESS TO JUSTICE PROGRAM,FIN COMPL
414,TA,3830,VIE,2002,ASSESSMENT AND STRENGTHENING OF COASTAL MANAGEMENT INSTITUTIONS,FIN COMPL
415,TA,3832,PAK,2002,GENDER REFORM PROGRAM (TASF/NETH),FIN COMPL
416,TA,3840,PRC,2002,OPPORTUNITIES FOR THE CLEAN DEVT MECH IN THE ENERGY SECTOR (CANADA),FIN COMPL
417,TA,3845,IND,2002,MADHYA PRADESH STATE ROAD DEVELOPMENT (UK),FIN COMPL
418,TA,3857,SRI,2002,RESTRUCTURING THE POWER SECTOR - PHASE II,FIN COMPL
419,TA,3869,IND,2002,PARTICIPATIVE AND PRO-POOR FISCAL AND ADMIN REFORMS IN KERALA (DFID),FIN COMPL
420,TA,3870,IND,2002,STRENGTHENING STATE GOVT EFFECTIVENESS & ACCOUNTBLTY IN KERALA (DFID),FIN COMPL
421,TA,3874,AFG,2002,CAPACITY BUILDING FOR RECONSTRUCTION AND DEVELOPMENT (TA CLUSTER),FIN COMPL
422,TA,3875,AFG,2002,DISASTER PREPAREDNESS AND MANAGEMENT CAPACITY BUILDING,FIN COMPL
423,TA,3880,IND,2002,INTEGRATING POVERTY REDUCTION IN PROGRAMS AND PROJECTS (DFID),FIN COMPL
424,TA,3886,VIE,2002,IMPLEMENTATION OF THE PUBLIC ADMINISTRATION REFORM PROGRAM,FIN COMPL
425,TA,3892,VIE,2002,L/G: SECOND RED RIVER BASIN SECTOR PROJECT,FIN COMPL
426,TA,3895,INO,2002,SHELTER SECTOR PROJECT (GOVT OF UK AND NORTH IRELAND),FIN COMPL
427,TA,3902,IND,2002,NORTH EASTERN REGION URBAN SECTOR PROFILE (DFID),FIN COMPL
428,TA,3907,PRC,2002,XI'AN URBAN TRANSPORT (SPAIN/ITALY),FIN COMPL
429,TA,3908,UZB,2002,AMU ZHANG WATER RESOURCES MANAGEMENT (ITALY),FIN COMPL
430,TA,3911,IND,2002,PARTICIPATORY POVERTY ASSESSMENT AT THE STATE LEVEL II (UK),FIN COMPL
431,TA,3914,IND,2002,ECONOMIC STUDIES FOR THE RURAL ROADS SECTOR DEVELOPMENT (DFID),FIN COMPL
432,TA,3915,IND,2002,ENGINEERING STUDIES FOR THE RURAL ROADS SECTOR DEVELOPMENT (DFID),FIN COMPL
433,TA,3916,IND,2002,ENVIRONMENTAL ANALYSIS FOR THE RURAL ROADS SECTOR DEVELOPMENT (DFID),FIN COMPL
434,TA,3917,IND,2002,INSTTTNL & POLICY DEVT STUDIES FOR THE RURAL ROADS SECTOR DEVT (DFID),FIN COMPL
435,TA,3918,IND,2002,SOCIAL ANALYSIS FOR THE RURAL ROADS SECTOR DEVELOPMENT (DFID),FIN COMPL
436,TA,3921,PHI,2002,PROMOTION OF CLEANER PRODUCTION,FIN COMPL
437,TA,3929,PRC,2002,HUNAN ROADS DEVELOPMENT (ITALY),FIN COMPL
438,TA,3947,CAM,2002,SUSTAINABLE EMPLOYMENT PROMOTION FOR POOR WOMEN (UKNI),FIN COMPL
439,TA,3955,CAM,2002,ENGAGEMENT OF A POVERTY CONSULTANT AT THE CAMBODIA RESIDENT MISSION,FIN COMPL
440,TA,3957,INO,2002,INTGRTION OF POVERTY CONSIDERATIONS IN DECENTRALIZED EDUC MANAGEMENT,FIN COMPL
441,TA,3965,MON,2002,RENEWABLE ENERGY DEVELOPMENT IN SMALL TOWNS AND RURAL AREAS (DENMARK),FIN COMPL
442,TA,3967,INO,2002,LOCAL GOVT PROVISION OF MINIMUM BASIC SERVICES FOR THE POOR (UK),FIN COMPL
443,TA,3976,THA,2002,STRENGTHENING ACCOUNTABILITY MECHANISMS II (GOV COOP FUND),FIN COMPL
444,TA,3987,TAJ,2002,STRENGTHENING CORPORATE AND FINANCIAL GOVERNANCE REFORMS (SPAIN),FIN COMPL
445,TA,3995,IND,2002,CHHATTISGARH STATE ROADS SECTOR DEVELOPMENT (UK),FIN COMPL
446,TA,3997,CAM,2002,CHONG KNEAS ENVIRONMENTAL IMPROVEMENT (FINLAND),FIN COMPL
447,TA,4001,VIE,2002,CENTRAL REGION WATER RESOURCES SECTOR (JSF & NETHERLANDS),FIN COMPL
448,TA,4002,LAO,2002,L/TA: STRENGTHENING CORPORATE GOVERNANCE FOR BANKING SECTOR REFORM,FIN COMPL
449,TA,4007,CAM,2002,L/TA: COMMUNE COUNCIL DEVELOPMENT (SIDA),FIN COMPL
450,TA,4008,CAM,2002,L/TA:COMMUNE COUNCIL DEVELOPMENT PROJECT (NETHERLANDS),FIN COMPL
451,TA,4009,LAO,2002,SOCIAL PROTECTION IN THE LAO PDR: ISSUES AND OPTIONS (PVRTY REDN FD),FIN COMPL
452,TA,4013,IND,2002,L/TA: INSTITUTIONAL STRNGTHNNG & CAP BLDG MADHYA PRADESH STATE RD SECT,FIN COMPL
453,TA,4014,PRC,2002,FUZHOU ENVIRONMENTAL IMPROVEMENT (SPAIN),FIN COMPL
454,TA,4015,PAK,2002,ENHANCING CAPACITY FOR RESOURCE MANAGEMENT AND POVERTY REDN IN PUNJAB,FIN COMPL
455,TA,4016,CAM,2002,REACHING THE RURAL POOR WITH PRIMARY HEALTH CARE (WB),FIN COMPL
456,TA,4023,INO,2002,L/TA: MONITORING SYSTEM FOR CAPACITY BUILDING (NETH),FIN COMPL
457,TA,4028,VIE,2002,TRANSPORT SERVICES NETWORKS FOR THE POOR (PRCF),FIN COMPL
458,TA,4031,VIE,2002,SMALL- & MEDIUM-SIZED ENTERPRISE SECTOR DEVELOPMENT PROGRAM (ITALY),FIN COMPL
459,TA,4037,CAM,2002,DISSEMINATION OF THE NATIONAL POVERTY REDUCTION STRATEGY (NPRS),FIN COMPL
460,TA,4043,PAK,2002,STR THE NATIONAL ACCOUNTABILITY BUREAU (GCF),FIN COMPL
461,TA,4049,SRI,2002,STR THE REGULATORY FRAMEWORK FOR WATER SUPPLY AND SANITATION (JSF),FIN COMPL
462,TA,4054,INO,2002,L/TA: POWER WELFARE SCHEME (DANISH COOP FUND FOR RENWBLE ENERGY),FIN COMPL
463,TA,4067,INO,2002,MANAGING REGL DISPARITY IN ECON AND POVERTY REDN PROGRAMS DECTRLZTN I,FIN COMPL
464,TA,4081,VIE,2003,L/TA:INSTITUTIONAL & CAP BLDG SUPPORT TO THE MINISTRY OF HOME AFFAIRS,FIN COMPL
465,TA,4082,VIE,2003,L: POLICY COORDINATION SUPPORT TO THE OFFICE OF GOVERNMENT,FIN COMPL
466,TA,4096,NEP,2003,KATHMANDU VALLEY WATER MANAGEMENT SUPPORT (NORWAY/JSF),FIN COMPL
467,TA,4105,VIE,2003,AGRICULTURE SECTOR DEVELOPMENT SUPPORT,FIN COMPL
